DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
2690|1540|E|1|2013|73.9|57.8|90|2.81|142|3.52
2690|1540|E|2|2013|78.9|58.4|89|2.66|142|3.34
470|1702|E|1|2011|88.2|68.3|167|2.16|263|2.71
470|1702|E|2|2011|88.9|77|165|2.25|262|2.82
470|1702|E|1|2012|87|54.7|148|2.24|246|2.81
470|1702|E|2|2012|89|84.9|146|2.23|246|2.8
470|1702|E|1|2013|88.3|77.6|143|2.32|239|2.91
470|1702|E|2|2013|89.5|86.1|144|2.14|238|2.68
1040|1718|E|1|2011|84.3|70.3|158|2.27|286|2.85
1040|1718|E|2|2011|85.2|75.5|159|2.27|283|2.84
1040|1718|E|1|2012|88.1|68.8|154|2.18|253|2.73
1040|1718|E|2|2012|87.5|73.9|153|2.19|255|2.75
1040|1718|E|1|2013|85.9|74.5|145|2.32|263|2.9
1040|1718|E|2|2013|85.1|79.3|145|2.43|262|3.04
470|1851|E|1|2011|74|54.1|109|2.81|154|3.52
470|1851|E|2|2011|66.7|52.8|106|2.69|153|3.37
470|1851|E|1|2012|67.3|32.6|92|2.91|147|3.64
470|1851|E|2|2012|57.5|52.8|89|2.85|146|3.57
470|1851|E|1|2013|67.4|31.6|79|3.38|135|4.24
470|1851|E|2|2013|56|45.2|73|3.45|134|4.32
1040|2201|E|1|2011|91.7|81.9|171|1.92|278|2.41
1040|2201|E|2|2011|95.7|81.9|171|2.17|278|2.72
1040|2201|E|1|2012|93.9|70.8|168|2.14|280|2.68
1040|2201|E|2|2012|92.5|82|167|2.07|281|2.59
1040|2201|E|1|2013|94.2|78.9|185|2.02|295|2.53
1040|2201|E|2|2013|91.2|79.5|185|2.12|295|2.66
2690|2288|E|1|2011|55.7|26.2|65|2.96|115|3.71
2690|2288|E|2|2011|55.6|28.8|66|3.17|117|3.97
2690|2288|E|1|2012|50.4|16.7|79|3.1|136|3.88
2690|2288|E|2|2012|55.3|34.7|76|3.44|135|4.31
470|2335|E|1|2011|88|77.1|140|2.29|234|2.87
470|2335|E|2|2011|77.5|74.3|140|2.29|231|2.87
470|2335|E|1|2012|81.2|46.2|145|2.38|218|2.99
470|2335|E|2|2012|79.4|64.6|144|2.31|218|2.9
470|2335|E|1|2013|77.5|54.5|132|2.45|209|3.07
470|2335|E|2|2013|73.7|64.7|133|2.37|209|2.97
470|2339|E|1|2011|78.9|67.3|101|2.6|181|3.26
470|2339|E|2|2011|77.3|63.7|102|2.75|182|3.45
470|2339|E|1|2012|76.1|41.8|122|2.34|205|2.93
470|2339|E|2|2012|75.2|63.1|122|2.34|206|2.93
470|2339|E|1|2013|76.1|47.8|138|2.26|218|2.83
470|2339|E|2|2013|77.1|66.7|138|2.49|218|3.12
1040|2369|E|1|2011|79.5|41|156|2.09|273|2.62
1040|2369|E|2|2011|83|63.5|156|2.13|270|2.66
1040|2369|E|1|2012|79.6|43.4|160|2.11|285|2.64
1040|2369|E|2|2012|85.8|72.4|159|2.31|285|2.89
1040|2369|E|1|2013|79.8|51.8|139|2.28|243|2.85
1040|2369|E|2|2013|81.1|67.6|136|2.55|244|3.2
470|2496|E|1|2011|79.9|59.2|98|2.55|149|3.19
470|2496|M|2|2011|86.6|82.3|141|2.28|149|2.85
470|2496|M|1|2011|81.9|73|141|2|149|2.51
470|2496|E|2|2011|84.7|74.7|99|2.92|150|3.66
470|2496|E|2|2012|83.3|76.3|97|2.99|180|3.75
470|2496|E|1|2012|86.1|71.1|97|2.51|180|3.15
470|2496|M|2|2012|84.9|82.3|147|2.27|159|2.84
470|2496|M|1|2012|68.6|57.1|147|2.12|159|2.65
470|2496|M|1|2013|80.5|69.9|143|2.41|154|3.02
470|2496|E|2|2013|83.9|79.5|117|2.51|205|3.15
470|2496|E|1|2013|83.9|68.9|119|2.51|205|3.14
470|2496|M|2|2013|94.1|93|142|2.24|153|2.8
1040|2607|H|1|2011|48.5|45.5|663|1.06|734|1.33
1040|2607|H|2|2011|89.8|88.7|662|1.14|732|1.43
1040|2607|H|1|2012|58.7|57.2|573|1.16|661|1.45
1040|2607|H|2|2012|91|91.1|572|1.17|660|1.47
1040|2607|H|1|2013|54.4|51|539|1.25|631|1.57
1040|2607|H|2|2013|89|89.2|536|1.24|628|1.56
2690|2683|E|1|2011|74.2|35.2|125|2.51|198|3.15
2690|2683|E|2|2011|70.4|52|125|2.66|199|3.33
2690|2683|E|1|2012|69.3|25.4|118|2.37|163|2.96
2690|2683|E|2|2012|72.7|58.5|118|2.64|165|3.31
2690|2683|E|1|2013|80.4|45.3|95|2.82|148|3.53
2690|2683|E|2|2013|76.4|55.8|95|3.12|148|3.91
1040|2905|E|1|2011|83.1|60|135|2.37|213|2.97
1040|2905|E|2|2011|88.3|71.9|135|2.63|214|3.3
1040|2905|E|1|2012|88.5|70.5|122|2.28|200|2.86
1040|2905|E|2|2012|88.4|73.8|122|2.62|199|3.28
1040|2905|E|1|2013|87.2|62.4|117|2.26|172|2.83
1040|2905|E|2|2013|84.3|76.1|117|2.72|172|3.41
470|2912|E|1|2011|57.8|28.7|143|2.16|256|2.71
470|2912|E|2|2011|53.6|45.6|125|2.33|233|2.93
470|2912|E|1|2012|60.2|25.2|155|2.08|246|2.61
470|2912|E|2|2012|56.9|54|137|2.22|232|2.78
470|2912|E|1|2013|58.5|23.9|134|2.17|229|2.72
470|2912|E|2|2013|58|51.3|119|2.53|224|3.17
470|2956|M|1|2011|51.2|43.3|657|1.04|762|1.31
470|2956|M|2|2011|61.2|61.6|658|1.07|763|1.34
470|2956|M|1|2012|47|37.1|666|1.08|743|1.36
470|2956|M|2|2012|65|65.7|667|1.06|743|1.32
470|2956|M|1|2013|49.3|32.7|666|1.09|746|1.37
470|2956|M|2|2013|63.2|60.1|682|1.07|763|1.34
1040|3031|E|1|2011|87.4|63|643|1.04|911|1.3
1040|3031|E|2|2011|88.1|77.8|643|1.11|911|1.39
1040|3031|E|1|2012|86.1|51|644|1.06|908|1.33
1040|3031|E|2|2012|90.6|78.9|643|1.09|908|1.36
1040|3031|E|1|2013|86.9|63.4|651|1.07|909|1.34
1040|3031|E|2|2013|88.3|81|651|1.08|909|1.35
1040|3115|E|1|2012|76|48.9|48|3.96|105|4.96
1040|3115|E|2|2012|85.3|72.3|48|3.83|104|4.8
1040|3115|E|1|2013|79|71|69|2.93|143|3.67
1040|3115|E|2|2013|83.2|85.5|69|3.49|143|4.38
2690|3232|E|1|2011|78.8|56.1|66|4.11|113|5.15
2690|3232|E|2|2011|77.6|67.2|64|4.15|116|5.19
2690|3232|E|1|2012|65.8|41.8|67|3.83|120|4.8
2690|3232|E|2|2012|60.8|44.8|67|4.12|120|5.17
2690|3232|E|1|2013|67|49.3|67|4.21|115|5.28
2690|3232|E|2|2013|62.9|55.9|68|3.57|116|4.47
1040|3312|E|1|2011|80.1|65.2|178|2.09|287|2.62
1040|3312|E|2|2011|88.4|81.7|176|2.02|285|2.53
1040|3312|E|1|2012|81.8|56|141|2.38|209|2.98
1040|3312|E|2|2012|84.1|72.5|142|2.55|207|3.2
1040|3312|E|1|2013|80.1|62.4|149|2.21|216|2.77
1040|3312|E|2|2013|86.5|79.6|147|2.23|215|2.8
470|3325|H|1|2011|40.3|37|593|1.14|650|1.43
470|3325|H|2|2011|74.7|75.9|592|1.2|649|1.51
470|3325|H|1|2012|35.3|33.7|562|1.2|608|1.51
470|3325|H|2|2012|67.4|69.1|561|1.22|608|1.53
470|3325|H|1|2013|35.2|32.7|523|1.27|563|1.6
470|3325|H|2|2013|68.1|67.7|523|1.26|561|1.57
2690|3620|E|1|2011|76.6|26.7|90|2.82|158|3.54
2690|3620|M|2|2011|61.4|44.6|83|3.14|89|3.93
2690|3620|M|1|2011|46.7|22|82|3.13|90|3.93
2690|3620|E|2|2011|70.5|37.1|90|2.47|158|3.1
2690|3620|E|2|2012|53.4|34.4|96|3.15|163|3.94
2690|3620|E|1|2012|68.1|39.6|96|3.29|166|4.13
2690|3620|M|2|2012|51.8|50|80|2.94|83|3.68
2690|3620|M|1|2012|35.4|18.3|82|3.01|82|3.77
2690|3620|M|1|2013|59.6|56.6|53|3.87|57|4.85
2690|3620|E|2|2013|46.3|32.9|85|2.69|147|3.38
2690|3620|E|1|2013|61.5|32.6|86|2.96|148|3.71
2690|3620|M|2|2013|75.4|73.6|53|4.06|57|5.09
2690|3719|E|1|2011|70.8|63.9|72|3.04|120|3.81
2690|3719|E|2|2011|73.3|53.5|71|3.42|120|4.28
2690|3719|E|1|2012|71.3|40.3|77|2.74|129|3.43
2690|3719|E|2|2012|72.9|64.9|77|3.35|129|4.2
2690|3719|E|1|2013|61.8|38.6|88|3.01|152|3.77
2690|3719|E|2|2013|67.1|45.5|88|3.13|152|3.92
2690|3818|H|1|2011|13.2|11|502|1.24|571|1.55
2690|3818|H|2|2011|54.7|57.7|498|1.26|568|1.58
2690|3818|H|1|2012|14.7|10.6|492|1.23|586|1.55
2690|3818|H|2|2012|55.7|58.2|489|1.3|584|1.63
2690|3818|H|1|2013|13.3|11.9|430|1.34|502|1.68
2690|3818|H|2|2013|54.1|56.5|434|1.41|508|1.77
2690|3848|H|1|2012|0|50|2|10|5|12.53
2690|3848|H|2|2012|40|50|2|4.5|5|5.64
2690|3848|M|1|2012|0|0|1|NULL|1|NULL
470|3876|M|1|2011|63.7|47.9|559|1.2|595|1.5
470|3876|M|2|2011|79.8|75.2|560|1.23|598|1.54
470|3876|M|1|2012|65.3|52.1|535|1.18|578|1.48
470|3876|M|2|2012|79.3|75.2|537|1.15|580|1.45
470|3876|M|1|2013|72.8|61.7|545|1.07|584|1.33
470|3876|M|2|2013|81.8|81.7|545|1.16|583|1.45
470|3923|E|1|2011|84.8|61.9|42|4.28|92|5.36
470|3923|M|2|2011|87.5|73.1|52|4.09|64|5.12
470|3923|M|1|2011|62.5|40.4|52|3.86|64|4.84
470|3923|E|2|2011|91.3|81|42|4.22|92|5.29
470|3923|E|2|2012|90.5|92.1|63|3.25|137|4.07
470|3923|E|1|2012|89.8|69.8|63|3.56|137|4.46
470|3923|M|2|2012|80.5|78.5|65|3.2|77|4.01
470|3923|M|1|2012|58.4|33.8|65|3.52|77|4.41
470|3923|M|1|2013|63|41.3|63|3.75|81|4.7
470|3923|E|2|2013|88.5|80.2|91|2.87|192|3.6
470|3923|E|1|2013|82.5|71.4|91|2.74|194|3.44
470|3923|M|2|2013|85|74.2|62|3.7|80|4.64
2690|3933|E|1|2011|81.8|32.4|145|2.1|236|2.63
2690|3933|M|2|2011|79.7|65.5|226|1.93|271|2.41
2690|3933|M|1|2011|56.5|28|225|1.92|271|2.41
2690|3933|E|2|2011|78.5|52.1|146|2.45|237|3.08
2690|3933|E|2|2012|72.9|41.6|209|1.95|328|2.44
2690|3933|E|1|2012|67.3|16.7|210|1.75|327|2.2
2690|3933|M|2|2012|73.3|62.9|327|1.57|357|1.97
2690|3933|M|1|2012|53.4|37|327|1.61|356|2.01
2690|3933|M|1|2013|49.7|29.5|356|1.47|382|1.84
2690|3933|E|2|2013|70.9|56.4|236|1.92|364|2.4
2690|3933|E|1|2013|66.6|32.2|236|1.84|362|2.3
2690|3933|M|2|2013|80.7|77.7|358|1.5|384|1.88
2690|3997|E|1|2011|65.2|35.7|98|2.49|158|3.12
2690|3997|E|2|2011|66.2|36.4|99|2.79|157|3.5
2690|3997|E|1|2012|73.9|38.5|91|3.17|153|3.98
2690|3997|E|2|2012|73.9|50.5|91|3.14|153|3.93
2690|3997|E|1|2013|84.2|62.3|106|2.8|165|3.51
2690|3997|E|2|2013|79.4|62.6|107|2.83|165|3.55
1040|4241|E|1|2011|87.2|81.4|43|3.93|86|4.93
1040|4241|E|2|2011|86|79.1|43|4.13|86|5.18
1040|4241|E|1|2012|78.7|57.1|35|4.39|62|5.5
1040|4241|E|2|2012|82|58.8|35|5.01|62|6.28
2690|4318|E|1|2011|0|0|1|NULL|1|NULL
1040|4318|E|1|2011|0|0|1|NULL|1|NULL
470|4318|E|1|2011|0|0|1|NULL|1|NULL
2690|4318|E|2|2011|0|0|1|NULL|1|NULL
1040|4318|E|2|2011|0|0|1|NULL|1|NULL
470|4318|E|2|2011|0|0|1|NULL|1|NULL
2690|4318|H|1|2011|0|0|21|6.6|28|8.27
1040|4318|H|1|2011|0|0|21|6.6|28|8.27
470|4318|H|1|2011|0|0|21|6.6|28|8.27
2690|4318|H|2|2011|53.8|52.6|21|5.38|30|6.74
1040|4318|H|2|2011|53.8|52.6|21|5.38|30|6.74
470|4318|H|2|2011|53.8|52.6|21|5.38|30|6.74
2690|4318|M|1|2011|0|0|14|8.6|19|10.78
1040|4318|M|1|2011|0|0|14|8.6|19|10.78
470|4318|M|1|2011|0|0|14|8.6|19|10.78
2690|4318|M|2|2011|15.4|11.1|15|8.56|21|10.73
1040|4318|M|2|2011|15.4|11.1|15|8.56|21|10.73
470|4318|M|2|2011|15.4|11.1|15|8.56|21|10.73
1040|4318|H|1|2012|35.7|45.5|11|9.34|16|11.71
2690|4318|H|1|2012|35.7|45.5|11|9.34|16|11.71
470|4318|H|1|2012|35.7|45.5|11|9.34|16|11.71
1040|4318|H|2|2012|92.9|83.3|12|10.39|16|13.02
2690|4318|H|2|2012|92.9|83.3|12|10.39|16|13.02
470|4318|H|2|2012|92.9|83.3|12|10.39|16|13.02
1040|4318|M|1|2012|8|0|23|5.17|25|6.47
2690|4318|M|1|2012|8|0|23|5.17|25|6.47
470|4318|M|1|2012|8|0|23|5.17|25|6.47
1040|4318|M|2|2012|19.2|20|25|5.64|26|7.07
2690|4318|M|2|2012|19.2|20|25|5.64|26|7.07
470|4318|M|2|2012|19.2|20|25|5.64|26|7.07
470|4329|M|1|2011|72.7|67.5|296|1.53|320|1.92
470|4329|M|2|2011|84.3|81.7|296|1.61|320|2.01
470|4329|M|1|2012|73.7|65.8|302|1.46|335|1.83
470|4329|M|2|2012|84|81.7|301|1.6|333|2
470|4329|M|1|2013|75.5|69|319|1.44|347|1.8
470|4329|M|2|2013|88.2|85.9|319|1.52|347|1.9
1040|4374|H|1|2011|3.6|4|25|5.69|28|7.14
1040|4374|H|2|2011|57.1|56|25|6.57|28|8.23
1040|4374|H|1|2012|21.6|18.5|27|5.53|38|6.92
1040|4374|H|2|2012|77.8|74.1|27|5.66|37|7.09
1040|4374|H|1|2013|21.4|10|20|5.6|28|7.02
1040|4374|H|2|2013|51.6|43.5|23|6.09|31|7.63
2690|4408|E|1|2011|60.7|54|50|4.25|89|5.32
2690|4408|E|2|2011|67|48|50|3.91|88|4.89
2690|4408|E|1|2012|74.2|49.1|53|4.31|89|5.41
2690|4408|E|2|2012|64.8|45.3|53|3.44|88|4.32
2690|4408|E|1|2013|58.2|35.7|56|3.93|98|4.93
2690|4408|E|2|2013|65.3|58.2|55|3.66|98|4.58
2690|4487|H|1|2011|23.3|19.7|605|1.16|708|1.45
2690|4487|H|2|2011|67.6|66.8|605|1.13|708|1.41
2690|4487|H|1|2012|20.7|17.5|637|1.13|777|1.41
2690|4487|H|2|2012|62.4|60.9|640|1.15|776|1.44
2690|4487|H|1|2013|17.8|15.2|630|1.12|726|1.4
2690|4487|H|2|2013|68.4|69.6|626|1.15|725|1.44
1040|4498|H|1|2011|50.4|44.1|788|1.05|898|1.31
1040|4498|H|2|2011|86.1|86.9|786|1.04|897|1.3
1040|4498|H|1|2012|50.7|48.6|773|1.05|858|1.31
1040|4498|H|2|2012|84.9|84|769|1.04|855|1.31
1040|4498|H|1|2013|46.5|43.6|690|1.12|803|1.41
1040|4498|H|2|2013|82.9|84.1|687|1.1|800|1.37
470|4515|H|1|2011|47.8|44|420|1.42|478|1.78
470|4515|H|2|2011|78|78.3|419|1.38|478|1.73
470|4515|H|1|2012|49.9|45.1|515|1.27|563|1.6
470|4515|H|2|2012|81.9|81.9|514|1.27|563|1.59
470|4515|H|1|2013|50.3|48.4|508|1.25|559|1.57
470|4515|H|2|2013|84.2|85.3|509|1.27|558|1.59
470|4541|E|1|2011|63.4|48|102|2.92|164|3.65
470|4541|E|2|2011|65.3|57.8|90|3.28|147|4.11
470|4541|E|1|2012|58.3|31|101|2.95|164|3.7
470|4541|E|2|2012|64.4|59.5|85|3.14|150|3.93
470|4541|E|1|2013|58|38.9|90|3.2|162|4.01
470|4541|E|2|2013|65.3|52|75|3.45|150|4.32
1040|4615|H|1|2011|49.9|45.7|593|1.16|698|1.45
1040|4615|H|2|2011|84.6|84.2|592|1.19|696|1.49
1040|4615|H|1|2012|49|45.5|647|1.12|738|1.41
1040|4615|H|2|2012|83.7|81.8|645|1.12|733|1.41
1040|4615|H|1|2013|43.8|43.1|612|1.17|720|1.46
1040|4615|H|2|2013|84.5|86.3|605|1.16|716|1.46
470|4845|E|1|2011|89.2|80.6|129|2.31|260|2.9
470|4845|E|2|2011|81.7|79.5|127|2.4|262|3.01
470|4845|E|1|2012|92.2|60.2|108|2.5|232|3.14
470|4845|E|2|2012|85.2|75|108|2.47|236|3.1
470|4845|E|1|2013|80.5|67.9|137|2.23|221|2.79
470|4845|E|2|2013|79.4|77.9|136|2.43|218|3.05
2690|4894|M|1|2011|20.2|7.9|307|1.43|344|1.79
2690|4894|M|2|2011|37.8|38.9|302|1.62|345|2.03
2690|4894|M|1|2012|19.2|9.7|279|1.63|305|2.04
2690|4894|M|2|2012|39.8|38.8|280|1.64|307|2.05
2690|4894|M|1|2013|17.9|8.2|245|1.59|280|1.99
2690|4894|M|2|2013|40.6|38.8|245|1.72|278|2.15
470|5074|H|1|2011|26.5|25|654|1.13|708|1.41
470|5074|H|2|2011|58.7|59.7|655|1.11|711|1.39
470|5074|H|1|2012|30.3|27.6|672|1.12|740|1.41
470|5074|H|2|2012|59.1|59.3|671|1.1|739|1.38
470|5074|H|1|2013|27.5|25.7|673|1.12|737|1.4
470|5074|H|2|2013|62.2|64.3|672|1.08|735|1.35
1040|5106|H|1|2011|49.5|43.7|639|1.1|763|1.38
1040|5106|H|2|2011|89.8|88.2|634|1.14|764|1.43
1040|5106|H|1|2012|51.1|46.8|613|1.17|697|1.46
1040|5106|H|2|2012|85.5|84.9|614|1.2|696|1.51
1040|5106|H|1|2013|54|49.1|534|1.2|618|1.51
1040|5106|H|2|2013|89.4|90.6|530|1.27|616|1.59
2690|5155|H|1|2011|0|1.3|84|2.96|154|3.71
2690|5155|H|2|2011|30.2|29.3|86|3.14|151|3.93
2690|5155|H|1|2012|1.5|0|52|3.53|146|4.42
2690|5155|H|2|2012|18.5|10|51|4.3|142|5.38
2690|5155|H|1|2013|0.8|1.8|57|3.68|128|4.61
2690|5155|H|2|2013|18.5|16.7|54|3.96|119|4.97
2690|5346|E|1|2011|82.4|43.6|140|2.3|210|2.88
2690|5346|E|2|2011|86.7|65.7|140|2.62|210|3.28
2690|5346|E|1|2012|81.4|43.5|138|2.6|215|3.26
2690|5346|E|2|2012|87.4|63|138|2.32|215|2.91
2690|5346|E|1|2013|80.3|44.4|135|2.46|208|3.08
2690|5346|E|2|2013|82.3|55.6|135|2.38|209|2.99
470|5465|H|1|2011|57.8|57.9|108|2.67|117|3.35
470|5465|M|2|2011|86.7|82.6|173|2.29|189|2.87
470|5465|M|1|2011|74.1|64.5|173|2.05|190|2.57
470|5465|H|2|2011|82.8|84.1|108|2.72|117|3.41
470|5465|H|2|2012|84.1|85.7|133|2.33|151|2.92
470|5465|H|1|2012|60.3|54.1|133|2.28|151|2.86
470|5465|M|2|2012|83.2|77.8|162|2.26|173|2.83
470|5465|M|1|2012|71.1|62.3|162|2.15|173|2.7
470|5465|M|1|2013|74.3|56.8|176|1.96|191|2.45
470|5465|H|2|2013|88.5|87.3|134|2.48|139|3.11
470|5465|H|1|2013|65.5|62.7|134|2.69|139|3.37
470|5465|M|2|2013|81.2|69.9|176|2.34|191|2.93
470|5477|E|1|2011|72.8|52.5|139|2.5|244|3.13
470|5477|E|2|2011|77.8|62.3|138|2.4|244|3.01
470|5477|E|1|2012|72.7|44.8|154|2.31|265|2.9
470|5477|E|2|2012|74.7|65.6|154|2.28|264|2.86
470|5477|E|1|2013|71.4|49.7|161|2.36|245|2.96
470|5477|E|2|2013|76.2|63.8|160|2.33|244|2.92
470|5513|E|1|2013|70|42.7|117|2.6|227|3.26
470|5513|E|2|2013|75.8|62.5|112|2.91|223|3.64
470|5552|E|1|2011|44.2|46.2|106|2.81|172|3.53
470|5552|E|2|2011|31.6|35.1|77|3.21|155|4.03
470|5552|E|1|2012|37.2|19.3|109|2.69|172|3.37
470|5552|E|2|2012|35.2|24.7|93|2.66|145|3.33
470|5552|E|1|2013|29.4|18.3|93|3.22|163|4.04
470|5552|E|2|2013|38.7|40|65|3.53|142|4.43
470|5575|E|1|2011|76.1|54.7|64|3.48|113|4.36
470|5575|E|2|2011|79.5|70.3|64|3.38|112|4.24
470|5575|E|1|2012|78.7|54.1|74|3.95|122|4.95
470|5575|E|2|2012|83.6|74.3|74|3.41|122|4.27
470|5575|E|1|2013|63.7|67.2|67|3.84|113|4.82
470|5575|E|2|2013|81.4|83.6|67|3.04|113|3.81
470|5579|H|1|2011|61.8|58.5|589|1.18|674|1.47
470|5579|H|2|2011|85.8|86.1|589|1.21|674|1.52
470|5579|H|1|2012|61.3|56.2|623|1.15|711|1.44
470|5579|H|2|2012|84.3|84.5|623|1.14|711|1.42
470|5579|H|1|2013|60.3|57.9|594|1.2|673|1.5
470|5579|H|2|2013|86|86|593|1.21|673|1.51
1040|5588|E|1|2011|83.4|66.3|175|2.03|319|2.55
1040|5588|E|2|2011|84.4|74.7|174|1.97|320|2.46
1040|5588|E|1|2012|79.8|44.8|183|2.07|307|2.59
1040|5588|E|2|2012|83.9|77.1|181|2.1|307|2.64
1040|5588|E|1|2013|72.7|46.2|160|2|278|2.51
1040|5588|E|2|2013|81.7|70.9|158|2.28|278|2.86
470|5638|E|1|2011|68.6|43.9|66|3.27|121|4.1
470|5638|M|2|2011|53.7|60.5|38|4.56|41|5.71
470|5638|M|1|2011|34.1|34.2|38|4.01|41|5.03
470|5638|E|2|2011|77.7|65.2|66|3.64|121|4.56
470|5638|E|2|2012|71|45.5|77|3.27|138|4.1
470|5638|E|1|2012|66.4|32.5|77|3.3|137|4.13
470|5638|M|2|2012|66.1|64.2|53|3.21|56|4.02
470|5638|M|1|2012|45.5|40.4|52|3.95|55|4.95
470|5638|M|1|2013|47.4|38.5|65|3.13|76|3.92
470|5638|E|2|2013|73.3|50|66|3.39|135|4.25
470|5638|E|1|2013|69.6|37.9|66|3.46|135|4.34
470|5638|M|2|2013|82.9|86.2|65|3.18|76|3.98
2690|5881|E|1|2013|87.2|54.9|82|3.34|117|4.19
2690|5881|E|2|2013|79.3|53.7|82|3.21|116|4.02
2690|5881|M|1|2013|54.1|24.2|227|1.73|268|2.17
2690|5881|M|2|2013|76.7|70.4|226|1.81|266|2.27
470|5967|H|1|2012|0|NULL|0|NULL|1|NULL
470|5967|H|2|2012|100|NULL|0|NULL|1|NULL
2690|6222|E|1|2013|89.4|NULL|0|NULL|47|NULL
2690|6222|E|2|2013|93.5|NULL|0|NULL|46|NULL
470|6352|E|1|2011|62.7|58.7|138|2.5|209|3.14
470|6352|E|2|2011|46.8|49.1|116|2.67|190|3.34
