DISTRICT_NUMBER|CONTENT_AREA|YEAR|STUDENTGROUP|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT|ENROLLMENT_PERCENTAGE
2690|2|2013|1|41|36|54.2|60.5|3929|5183|NULL
2690|2|2013|2|42|30|59.2|66.7|3820|4968|NULL
470|1|2011|3|58|52|54.2|67.4|7853|9906|NULL
470|1|2011|4|49|75|28.2|39.1|2921|3967|NULL
470|1|2012|3|59|57|51.9|68|7987|10046|NULL
470|1|2012|4|47|82|21.6|37.6|3081|4131|NULL
470|1|2013|3|56|49|54.1|69.1|7892|9998|NULL
470|1|2013|4|48|77|25.7|38.7|3469|4631|NULL
470|2|2011|3|55|22|76.3|81.1|7827|9890|NULL
470|2|2011|4|46|53|44.2|43.5|2728|3775|NULL
470|2|2012|3|57|21|77.6|82|7962|10047|NULL
470|2|2012|4|50|56|46.2|44.5|2896|3934|NULL
470|2|2013|3|54|17|79.2|83.2|7895|10004|NULL
470|2|2013|4|47|51|49.1|47.6|3295|4443|NULL
1040|1|2011|3|56|47|54.3|72.1|9144|11823|NULL
1040|1|2011|4|50|64|35.8|55.3|674|997|NULL
1040|1|2012|3|54|51|52|71.4|9185|11841|NULL
1040|1|2012|4|47|70|31.4|52.4|773|1113|NULL
1040|1|2013|3|55|45|55.7|72.5|9193|11818|NULL
1040|1|2013|4|49|65|38.1|53.9|845|1319|NULL
1040|2|2011|3|55|19|81.3|87.6|9115|11809|NULL
1040|2|2011|4|51|35|61.8|69.3|671|997|NULL
1040|2|2012|3|52|17|80.2|87|9147|11825|NULL
1040|2|2012|4|44|33|61.4|67.8|760|1114|NULL
1040|2|2013|3|54|14|82.6|87.3|9161|11800|NULL
1040|2|2013|4|47|31|64.8|66.9|841|1316|NULL
2690|1|2011|3|37|57|32.7|56.7|2256|3017|NULL
2690|1|2011|4|33|69|20.6|40|5470|7313|NULL
2690|1|2012|3|41.5|67|31.5|50.7|2282|3240|NULL
2690|1|2012|4|36|78|18.4|38.8|5489|7256|NULL
2690|1|2013|3|42|63|34.5|54.7|2160|2954|NULL
2690|1|2013|4|38|74|21.6|39|5612|7233|NULL
2690|2|2011|3|43|23|69.8|78.8|2256|3018|NULL
2690|2|2011|4|38|41|47.3|56.5|5450|7301|NULL
2690|2|2012|3|41|24|66.5|73.4|2274|3216|NULL
2690|2|2012|4|38|41|46.3|56.1|5492|7263|NULL
2690|2|2013|3|45|19|72.2|78.6|2151|2946|NULL
2690|2|2013|4|40|38|50.7|57.3|5598|7205|NULL
470|1|2011|5|57|55|51.1|64.3|8883|11427|NULL
470|1|2011|6|52|78|28.7|36.3|1891|2446|NULL
470|1|2012|5|57|60|48.1|64.2|9084|11655|NULL
470|1|2012|6|51|85|22.2|35.6|1984|2522|NULL
470|1|2013|5|54|53|50.2|64.8|9264|11913|NULL
470|1|2013|6|49|79|24.4|35.8|2097|2716|NULL
470|2|2011|5|53|24|73.6|78.1|8869|11427|NULL
470|2|2011|6|49|63|38.8|33|1686|2238|NULL
470|2|2012|5|56|23|74.3|78.2|9070|11662|NULL
470|2|2012|6|56|65|43.6|37.6|1788|2319|NULL
470|2|2013|5|52|19|75.4|79.1|9273|11932|NULL
470|2|2013|6|52|59|46|40|1917|2515|NULL
1040|1|2011|5|56|48|53.2|71.2|9609|12535|NULL
1040|1|2011|6|57|60|45|55.1|209|285|NULL
1040|1|2012|5|53|53|50.6|70.1|9741|12671|NULL
1040|1|2012|6|59|65|44.7|53.2|217|283|NULL
1040|1|2013|5|55|47|54.4|71|9828|12845|NULL
1040|1|2013|6|58|61.5|47.1|57.2|210|292|NULL
1040|2|2011|5|55|19|80.3|86.7|9581|12521|NULL
1040|2|2011|6|57|39|62.9|63.2|205|285|NULL
1040|2|2012|5|51|18|78.9|85.9|9696|12656|NULL
1040|2|2012|6|59|38|71.1|63.5|211|283|NULL
1040|2|2013|5|53|15|81.4|85.8|9793|12825|NULL
1040|2|2013|6|65|30|67|63.6|209|291|NULL
2690|1|2011|5|34|64|25.4|46.9|6717|9082|NULL
2690|1|2011|6|32|80.5|15.6|30.2|1009|1248|NULL
2690|1|2012|5|39|73|23.4|44.3|6852|9328|NULL
2690|1|2012|6|34|88|13.7|27.7|919|1168|NULL
2690|1|2013|5|39|70|26.2|45.2|6951|9191|NULL
2690|1|2013|6|40|87|17.2|28.4|821|996|NULL
2690|2|2011|5|40|34|55.5|64.9|6712|9077|NULL
2690|2|2011|6|36|44|43.2|49.4|994|1242|NULL
2690|2|2012|5|39|35|53.8|63.3|6851|9324|NULL
2690|2|2012|6|37|47|40.5|46.3|915|1155|NULL
2690|2|2013|5|41|31|57.6|65.1|6939|9168|NULL
2690|2|2013|6|42|45|48.8|48.6|810|983|NULL
470|1|2011|7|57|57|49.3|62.1|10063|12882|NULL
470|1|2011|8|43|89|16.9|22.8|711|991|NULL
470|1|2012|7|57|62|45.6|62|10322|13163|NULL
470|1|2012|8|45|95|14.1|21.6|746|1014|NULL
470|1|2013|7|54|57|47.6|62.3|10616|13636|NULL
470|1|2013|8|42|95|15.3|20.5|745|993|NULL
470|2|2011|7|53|26|70.8|74.1|9855|12679|NULL
470|2|2011|8|38|73|28.3|26.5|700|986|NULL
470|2|2012|7|56|26|72.2|74.9|10121|12971|NULL
470|2|2012|8|44|76|29.2|26.2|737|1010|NULL
470|2|2013|7|53|21|73.5|75.8|10452|13462|NULL
470|2|2013|8|39|78|26.7|24.6|738|985|NULL
1040|1|2011|7|56|46|55.2|73.5|9187|11991|NULL
1040|1|2011|8|45|82|22.2|31.5|631|829|NULL
1040|1|2012|7|53|51|52.5|72.2|9371|12154|NULL
1040|1|2012|8|47|88|17.9|31.7|587|800|NULL
1040|1|2013|7|55|45|56.3|73.4|9420|12286|NULL
1040|1|2013|8|50|85|23.1|30.6|618|851|NULL
1040|2|2011|7|55|18|82.5|89.2|9160|11976|NULL
1040|2|2011|8|50|60|43|41.2|626|830|NULL
1040|2|2012|7|52|17|81.1|88.4|9330|12137|NULL
1040|2|2012|8|46|62|39.5|38.3|577|802|NULL
1040|2|2013|7|53|14|83.4|88.4|9401|12274|NULL
1040|2|2013|8|47|58|43.8|39.9|601|842|NULL
2690|1|2011|7|34|64|25.1|47.3|7063|9367|NULL
2690|1|2011|8|31|86|13.4|20.6|663|963|NULL
2690|1|2012|7|39|73|23.4|44.8|7129|9590|NULL
2690|1|2012|8|30|93|8.7|17.5|642|906|NULL
2690|1|2013|7|40|69|26.5|45.9|7061|9225|NULL
2690|1|2013|8|34|92|12.1|20.6|711|962|NULL
2690|2|2011|7|39|33|56.5|66.9|7045|9362|NULL
2690|2|2011|8|37|69|26.5|24.7|661|957|NULL
2690|2|2012|7|39|34|55.1|65.2|7127|9571|NULL
2690|2|2012|8|29|71|20.5|21.7|639|908|NULL
2690|2|2013|7|42|30|60.1|67.5|7049|9195|NULL
2690|2|2013|8|33|70|21.9|25.7|700|956|NULL
470|1|2011|9|55|64|42.6|56.1|9675|12741|NULL
470|1|2011|10|60|20|87.5|95.5|1099|1132|NULL
470|1|2012|9|55|69|38.4|55.8|9979|13043|NULL
470|1|2012|10|61|16|90.1|98|1089|1134|NULL
470|1|2013|9|52|64|40|55.7|10143|13336|NULL
470|1|2013|10|61|14|90.4|98.1|1218|1293|NULL
470|2|2011|9|52|32|64.8|68.1|9457|12533|NULL
470|2|2011|10|63.5|7|95.8|99.3|1098|1132|NULL
470|2|2012|9|55|32|66.1|68.9|9770|12847|NULL
470|2|2012|10|62|6|97.3|99.9|1088|1134|NULL
470|2|2013|9|51|28|67.2|69.6|9978|13154|NULL
470|2|2013|10|59.5|5|96.4|99.8|1212|1293|NULL
1040|1|2011|9|54|55|46.3|66.7|8173|11120|NULL
1040|1|2011|10|63|21|86.6|97.3|1645|1700|NULL
1040|1|2012|9|52|60|43.1|65.5|8291|11231|NULL
1040|1|2012|10|57|18|87|97.7|1667|1723|NULL
1040|1|2013|9|54|56|47.8|66.7|8463|11500|NULL
1040|1|2013|10|58|14|88.5|98.2|1575|1637|NULL
1040|2|2011|9|54|24|76.6|84|8141|11104|NULL
1040|2|2011|10|61|8|96.6|99.9|1645|1702|NULL
1040|2|2012|9|51|23|75.3|83.2|8240|11215|NULL
1040|2|2012|10|55|7|95.6|99.5|1667|1724|NULL
1040|2|2013|9|53|19|78.1|83.2|8429|11480|NULL
1040|2|2013|10|55|5|96.9|99.7|1573|1636|NULL
2690|1|2011|9|34|69|20.2|40.6|6949|9433|NULL
2690|1|2011|10|38|29|59.3|89.4|777|897|NULL
2690|1|2012|9|38|78|18.1|38.3|6980|9602|NULL
2690|1|2012|10|44|34|59|87.2|791|894|NULL
2690|1|2013|9|39|75|21.3|39.8|6986|9327|NULL
2690|1|2013|10|43|28|59.9|83.6|786|860|NULL
2690|2|2011|9|38|39|50.1|59.7|6928|9420|NULL
2690|2|2011|10|48.5|12|87.9|97.5|778|899|NULL
2690|2|2012|9|38|39|48.2|58.1|6972|9588|NULL
2690|2|2012|10|43|10|87.8|96.9|794|891|NULL
2690|2|2013|9|40|37|52.8|60.3|6937|9266|NULL
2690|2|2013|10|47|9|89.4|97.4|812|885|NULL
470|1|2011|11|55|93|15.6|13.3|2723|2769|NULL
470|1|2011|12|54|24|80.8|96.7|2698|2708|NULL
470|1|2012|11|56|95|12.2|12|2824|2852|NULL
470|1|2012|12|54|24|79.8|97.3|2754|2766|NULL
470|1|2013|11|54|95|13.6|12.9|2892|2916|NULL
470|1|2013|12|50|18|80.7|97.2|2838|2842|NULL
470|2|2011|11|52|68|35.2|24.9|2672|2722|NULL
470|2|2011|12|52|9|90.8|98.9|2618|2634|NULL
470|2|2012|11|56|71|35.2|25.6|2765|2790|NULL
470|2|2012|12|54|8|92.1|99.1|2700|2712|NULL
470|2|2013|11|53|70|36.6|27.9|2848|2875|NULL
470|2|2013|12|52|6|92.7|99.2|2776|2780|NULL
1040|1|2011|11|56|85|20.5|23.3|2496|2504|NULL
1040|1|2011|12|56|19|86.2|99.3|2426|2429|NULL
1040|1|2012|11|56|90|17.1|20.7|2550|2563|NULL
1040|1|2012|12|51|16|84.4|99.5|2467|2473|NULL
1040|1|2013|11|59|87|22.2|24.2|2554|2555|NULL
1040|1|2013|12|51|14|87.7|99.5|2482|2483|NULL
1040|2|2011|11|59|50|57.2|55.2|2500|2517|NULL
1040|2|2011|12|52|7|93.4|99.9|2425|2432|NULL
1040|2|2012|11|54|49|54.4|54.2|2538|2564|NULL
1040|2|2012|12|49|7|94.1|99.9|2460|2469|NULL
1040|2|2013|11|57|46.5|57.3|53.3|2562|2563|NULL
1040|2|2013|12|51|5|95.5|100|2480|2481|NULL
2690|1|2011|11|43|93|11.7|11.6|1928|2086|NULL
2690|1|2011|12|28|33|43.3|79.3|1956|2008|NULL
2690|1|2012|11|43|95|9.7|8.8|1943|2110|NULL
2690|1|2012|12|32|40|44.6|76.9|1962|2024|NULL
2690|1|2013|11|46|95|10.7|9.5|1963|2045|NULL
2690|1|2013|12|32|34|46.7|76.2|1949|1982|NULL
2690|2|2011|11|44|67|26.6|17.9|1934|2097|NULL
2690|2|2011|12|35|13|76.9|95.2|1957|2013|NULL
2690|2|2012|11|44|71|25.3|17.4|1936|2105|NULL
2690|2|2012|12|35|12|78.1|93.4|1975|2033|NULL
2690|2|2013|11|46|71|26.5|18.7|1947|2033|NULL
2690|2|2013|12|38|10|82.3|95.7|1941|1969|NULL
