DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1702|E|1|2011|53|32|68.3|88.2|167|263
470|1702|E|2|2011|54|23|77|88.9|165|262
470|1702|E|1|2012|55|45.5|54.7|87|148|246
470|1702|E|2|2012|68|24|84.9|89|146|246
470|1702|E|1|2013|67|32|77.6|88.3|143|239
470|1702|E|2|2013|62.5|18.5|86.1|89.5|144|238
1040|1718|E|1|2011|66|37|70.3|84.3|158|286
1040|1718|E|2|2011|67|33|75.5|85.2|159|283
1040|1718|E|1|2012|59|41.5|68.8|88.1|154|253
1040|1718|E|2|2012|58|26|73.9|87.5|153|255
1040|1718|E|1|2013|62|31|74.5|85.9|145|263
1040|1718|E|2|2013|52|23|79.3|85.1|145|262
470|1851|E|1|2011|45|42|54.1|74|109|154
470|1851|E|2|2011|45|40.5|52.8|66.7|106|153
470|1851|E|1|2012|45|58|32.6|67.3|92|147
470|1851|E|2|2012|46|37|52.8|57.5|89|146
470|1851|E|1|2013|44|56|31.6|67.4|79|135
470|1851|E|2|2013|42|43|45.2|56|73|134
1040|2201|E|1|2011|64|30|81.9|91.7|171|278
1040|2201|E|2|2011|64|20|81.9|95.7|171|278
1040|2201|E|1|2012|64.5|38|70.8|93.9|168|280
1040|2201|E|2|2012|52|21|82|92.5|167|281
1040|2201|E|1|2013|65|31|78.9|94.2|185|295
1040|2201|E|2|2013|58|22|79.5|91.2|185|295
2690|2288|E|1|2011|25|52|26.2|55.7|65|115
2690|2288|E|2|2011|17.5|39|28.8|55.6|66|117
2690|2288|E|1|2012|27.5|65|16.7|50.4|78|136
2690|2288|E|2|2012|27|44|34.7|55.3|75|135
470|2335|E|1|2011|69.5|39|77.1|88|140|234
470|2335|E|2|2011|61|34|74.3|77.5|140|231
470|2335|E|1|2012|46|51|46.2|81.2|145|218
470|2335|E|2|2012|59.5|36|64.6|79.4|144|218
470|2335|E|1|2013|43.5|37|54.5|77.5|132|209
470|2335|E|2|2013|49|30|64.7|73.7|133|209
470|2339|E|1|2011|58|43|67.3|78.9|101|181
470|2339|E|2|2011|50|34.5|63.7|77.3|102|182
470|2339|E|1|2012|43|55|41.8|76.1|122|205
470|2339|E|2|2012|51.5|34.5|63.1|75.2|122|206
470|2339|E|1|2013|40|42|47.8|76.1|138|218
470|2339|E|2|2013|58.5|33|66.7|77.1|138|218
1040|2369|E|1|2011|34|40|41|79.5|156|273
1040|2369|E|2|2011|42.5|30.5|63.5|83|156|270
1040|2369|E|1|2012|42|55|43.4|79.6|159|285
1040|2369|E|2|2012|57|30|72.4|85.8|156|285
1040|2369|E|1|2013|44|39|51.8|79.8|139|243
1040|2369|E|2|2013|51|24|67.6|81.1|136|244
470|2496|E|1|2011|51|44|59.2|79.9|98|149
470|2496|M|2|2011|66|23|82.3|86.6|141|149
470|2496|M|1|2011|77|59|73|81.9|141|149
470|2496|E|2|2011|53|32|74.7|84.7|99|150
470|2496|E|2|2012|58|30|76.3|83.3|97|180
470|2496|E|1|2012|72|57|71.1|86.1|97|180
470|2496|M|2|2012|63|22|82.3|84.9|147|159
470|2496|M|1|2012|64|58|57.1|68.6|147|159
470|2496|M|1|2013|73|47|69.9|80.5|143|154
470|2496|E|2|2013|68|28|79.5|83.9|117|205
470|2496|E|1|2013|70|47|68.9|83.9|119|205
470|2496|M|2|2013|68|15.5|93|94.1|142|153
1040|2607|H|1|2011|60|66|45.5|48.5|661|734
1040|2607|H|2|2011|55|3|88.7|89.8|655|732
1040|2607|H|1|2012|67|57|57.2|58.7|573|661
1040|2607|H|2|2012|57|5|91.1|91|571|660
1040|2607|H|1|2013|56|48|51|54.4|539|631
1040|2607|H|2|2013|52|3|89.2|89|536|628
2690|2683|E|1|2011|24|41|35.2|74.2|125|198
2690|2683|E|2|2011|39|37|52|70.4|125|199
2690|2683|E|1|2012|26|56|25.4|69.3|118|163
2690|2683|E|2|2012|48|36.5|58.5|72.7|118|165
2690|2683|E|1|2013|34|48|45.3|80.4|95|148
2690|2683|E|2|2013|37|31|55.8|76.4|95|148
1040|2905|E|1|2011|50|38|60|83.1|135|213
1040|2905|E|2|2011|56|26|71.9|88.3|135|214
1040|2905|E|1|2012|67.5|48|70.5|88.5|122|200
1040|2905|E|2|2012|48.5|23|73.8|88.4|122|199
1040|2905|E|1|2013|54|36|62.4|87.2|117|172
1040|2905|E|2|2013|50|20|76.1|84.3|117|172
470|2912|E|1|2011|34|54|28.7|57.8|143|256
470|2912|E|2|2011|41|48|45.6|53.6|125|233
470|2912|E|1|2012|40|66|25.2|60.2|155|246
470|2912|E|2|2012|43|46|54|56.9|137|232
470|2912|E|1|2013|31.5|61|23.9|58.5|134|229
470|2912|E|2|2013|51|44|51.3|58|119|224
470|2956|M|1|2011|62|71|43.3|51.2|656|762
470|2956|M|2|2011|48|36|61.6|61.2|657|763
470|2956|M|1|2012|56|74|37.1|47|666|743
470|2956|M|2|2012|58|38|65.7|65|667|743
470|2956|M|1|2013|49|71|32.7|49.3|666|746
470|2956|M|2|2013|47|32|60.1|63.2|682|763
1040|3031|E|1|2011|54|40|63|87.4|643|911
1040|3031|E|2|2011|64|31|77.8|88.1|643|911
1040|3031|E|1|2012|53|50|51|86.1|643|908
1040|3031|E|2|2012|60|26|78.9|90.6|640|908
1040|3031|E|1|2013|55|40|63.4|86.9|651|909
1040|3031|E|2|2013|57|23|81|88.3|651|909
1040|3115|E|1|2012|49|54.5|48.9|76|47|105
1040|3115|E|2|2012|50|32|72.3|85.3|47|104
1040|3115|E|1|2013|61|41|71|79|69|143
1040|3115|E|2|2013|66|23|85.5|83.2|69|143
2690|3232|E|1|2011|42.5|40.5|56.1|78.8|66|113
2690|3232|E|2|2011|57.5|37|67.2|77.6|64|116
2690|3232|E|1|2012|41|58|41.8|65.8|67|120
2690|3232|E|2|2012|25|37|44.8|60.8|67|120
2690|3232|E|1|2013|44|50|49.3|67|67|115
2690|3232|E|2|2013|48|43.5|55.9|62.9|68|116
1040|3312|E|1|2011|61|41.5|65.2|80.1|178|287
1040|3312|E|2|2011|66|27.5|81.7|88.4|175|285
1040|3312|E|1|2012|60|56|56|81.8|141|209
1040|3312|E|2|2012|61|28|72.5|84.1|142|207
1040|3312|E|1|2013|60|47|62.4|80.1|149|216
1040|3312|E|2|2013|58|25|79.6|86.5|147|215
470|3325|H|1|2011|54|82|37|40.3|589|650
470|3325|H|2|2011|55|10|75.9|74.7|588|649
470|3325|H|1|2012|51|87|33.7|35.3|561|608
470|3325|H|2|2012|54|16|69.1|67.4|559|608
470|3325|H|1|2013|52|94|32.7|35.2|523|563
470|3325|H|2|2013|43|11|67.7|68.1|523|561
2690|3620|E|1|2011|20|42|26.7|76.6|90|158
2690|3620|M|2|2011|31|32|44.6|61.4|83|89
2690|3620|M|1|2011|26.5|61|22|46.7|82|90
2690|3620|E|2|2011|28|36.5|37.1|70.5|89|158
2690|3620|E|2|2012|16|32|34.4|53.4|96|163
2690|3620|E|1|2012|44.5|56|39.6|68.1|96|166
2690|3620|M|2|2012|40.5|45|50|51.8|80|83
2690|3620|M|1|2012|34.5|71.5|18.3|35.4|82|82
2690|3620|M|1|2013|76|74|56.6|59.6|53|57
2690|3620|E|2|2013|35|46|32.9|46.3|85|147
2690|3620|E|1|2013|39.5|56|32.6|61.5|86|148
2690|3620|M|2|2013|52|31|73.6|75.4|53|57
2690|3719|E|1|2011|69|51.5|63.9|70.8|72|120
2690|3719|E|2|2011|56|46|53.5|73.3|71|120
2690|3719|E|1|2012|58|62|40.3|71.3|77|129
2690|3719|E|2|2012|57|42|64.9|72.9|77|129
2690|3719|E|1|2013|38|56|38.6|61.8|88|152
2690|3719|E|2|2013|35.5|37|45.5|67.1|88|152
2690|3818|H|1|2011|32|99|11|13.2|501|571
2690|3818|H|2|2011|36|28|57.7|54.7|496|568
2690|3818|H|1|2012|36|99|10.6|14.7|479|586
2690|3818|H|2|2012|44|33|58.2|55.7|476|584
2690|3818|H|1|2013|45|99|11.9|13.3|430|502
2690|3818|H|2|2013|44|27|56.5|54.1|434|508
2690|3848|H|1|2012|84|96|50|0|2|5
2690|3848|H|2|2012|52.5|29.5|50|40|2|5
2690|3848|M|1|2012|1|84|0|0|1|1
470|3876|M|1|2011|57|60|47.9|63.7|559|595
470|3876|M|2|2011|56.5|23|75.2|79.8|560|598
470|3876|M|1|2012|63|60|52.1|65.3|535|578
470|3876|M|2|2012|54|22|75.2|79.3|537|580
470|3876|M|1|2013|66|55|61.7|72.8|545|584
470|3876|M|2|2013|58|18|81.7|81.8|545|583
470|3923|E|1|2011|54.5|38.5|61.9|84.8|42|92
470|3923|M|2|2011|48.5|22.5|73.1|87.5|52|64
470|3923|M|1|2011|47|53|40.4|62.5|52|64
470|3923|E|2|2011|67|31|81|91.3|42|92
470|3923|E|2|2012|61|25|92.1|90.5|63|137
470|3923|E|1|2012|58|43|69.8|89.8|63|137
470|3923|M|2|2012|58|25|78.5|80.5|65|77
470|3923|M|1|2012|46|69|33.8|58.4|65|77
470|3923|M|1|2013|60|50|41.3|63|63|81
470|3923|E|2|2013|57|20|80.2|88.5|91|192
470|3923|E|1|2013|55|29|71.4|82.5|91|194
470|3923|M|2|2013|41.5|16|74.2|85|62|80
2690|3933|E|1|2011|20|34|32.4|81.8|145|236
2690|3933|M|2|2011|40|25|65.5|79.7|226|271
2690|3933|M|1|2011|34|59|28|56.5|225|271
2690|3933|E|2|2011|33|31|52.1|78.5|146|237
2690|3933|E|2|2012|29|36|41.6|72.9|209|328
2690|3933|E|1|2012|17.5|53|16.7|67.3|210|327
2690|3933|M|2|2012|45.5|27|62.9|73.3|326|357
2690|3933|M|1|2012|57|71|37|53.4|327|356
2690|3933|M|1|2013|44|69|29.5|49.7|356|382
2690|3933|E|2|2013|41|35|56.4|70.9|236|364
2690|3933|E|1|2013|26|49|32.2|66.6|236|362
2690|3933|M|2|2013|62|27|77.7|80.7|358|384
2690|3997|E|1|2011|35.5|48|35.7|65.2|98|158
2690|3997|E|2|2011|27|37|36.4|66.2|99|157
2690|3997|E|1|2012|45|61|38.5|73.9|91|153
2690|3997|E|2|2012|38|37|50.5|73.9|91|153
2690|3997|E|1|2013|44|34.5|62.3|84.2|106|165
2690|3997|E|2|2013|40|30|62.6|79.4|107|165
1040|4241|E|1|2011|74|41|81.4|87.2|43|86
1040|4241|E|2|2011|54|30|79.1|86|43|86
1040|4241|E|1|2012|64|50|57.1|78.7|35|62
1040|4241|E|2|2012|43|27|58.8|82|34|62
1040|4318|E|1|2011|5|53|0|0|1|1
470|4318|E|1|2011|5|53|0|0|1|1
2690|4318|E|1|2011|5|53|0|0|1|1
1040|4318|E|2|2011|41|72|0|0|1|1
470|4318|E|2|2011|41|72|0|0|1|1
2690|4318|E|2|2011|41|72|0|0|1|1
1040|4318|H|1|2011|34.5|99|0|0|20|28
470|4318|H|1|2011|34.5|99|0|0|20|28
2690|4318|H|1|2011|34.5|99|0|0|20|28
1040|4318|H|2|2011|35|29|52.6|53.8|19|30
470|4318|H|2|2011|35|29|52.6|53.8|19|30
2690|4318|H|2|2011|35|29|52.6|53.8|19|30
1040|4318|M|1|2011|19|96.5|0|0|11|19
470|4318|M|1|2011|19|96.5|0|0|11|19
2690|4318|M|1|2011|19|96.5|0|0|11|19
1040|4318|M|2|2011|29|74|11.1|15.4|9|21
470|4318|M|2|2011|29|74|11.1|15.4|9|21
2690|4318|M|2|2011|29|74|11.1|15.4|9|21
2690|4318|H|1|2012|78|92|45.5|35.7|11|16
470|4318|H|1|2012|78|92|45.5|35.7|11|16
1040|4318|H|1|2012|78|92|45.5|35.7|11|16
2690|4318|H|2|2012|40.5|10.5|83.3|92.9|12|16
470|4318|H|2|2012|40.5|10.5|83.3|92.9|12|16
1040|4318|H|2|2012|40.5|10.5|83.3|92.9|12|16
2690|4318|M|1|2012|17|95|0|8|23|25
470|4318|M|1|2012|17|95|0|8|23|25
1040|4318|M|1|2012|17|95|0|8|23|25
2690|4318|M|2|2012|21|65|20|19.2|25|26
470|4318|M|2|2012|21|65|20|19.2|25|26
1040|4318|M|2|2012|21|65|20|19.2|25|26
470|4329|M|1|2011|77|57.5|67.5|72.7|295|320
470|4329|M|2|2011|64|21|81.7|84.3|295|320
470|4329|M|1|2012|72|60|65.8|73.7|301|335
470|4329|M|2|2012|66|21|81.7|84|300|333
470|4329|M|1|2013|79|53|69|75.5|319|347
470|4329|M|2|2013|73|18|85.9|88.2|319|347
1040|4374|H|1|2011|49|99|4|3.6|25|28
1040|4374|H|2|2011|26|22|56|57.1|25|28
1040|4374|H|1|2012|61|99|18.5|21.6|27|38
1040|4374|H|2|2012|68|23|74.1|77.8|27|37
1040|4374|H|1|2013|49|99|10|21.4|20|28
1040|4374|H|2|2013|42|36|43.5|51.6|23|31
2690|4408|E|1|2011|55.5|50|54|60.7|50|89
2690|4408|E|2|2011|53.5|47|48|67|50|88
2690|4408|E|1|2012|66|69|49.1|74.2|53|89
2690|4408|E|2|2012|39|45|45.3|64.8|53|88
2690|4408|E|1|2013|46|50|35.7|58.2|56|98
2690|4408|E|2|2013|49|38|58.2|65.3|55|98
2690|4487|H|1|2011|40|94|19.7|23.3|595|708
2690|4487|H|2|2011|40|14|66.8|67.6|594|708
2690|4487|H|1|2012|39|95|17.5|20.7|629|777
2690|4487|H|2|2012|39|24|60.9|62.4|631|776
2690|4487|H|1|2013|43|98|15.2|17.8|630|726
2690|4487|H|2|2013|43.5|14|69.6|68.4|626|725
1040|4498|H|1|2011|60|65.5|44.1|50.4|786|898
1040|4498|H|2|2011|54|4|86.9|86.1|784|897
1040|4498|H|1|2012|56|60|48.6|50.7|770|858
1040|4498|H|2|2012|48|5|84|84.9|764|855
1040|4498|H|1|2013|51|70|43.6|46.5|690|803
1040|4498|H|2|2013|49|4|84.1|82.9|687|800
470|4515|H|1|2011|44.5|59|44|47.8|414|478
470|4515|H|2|2011|48|6|78.3|78|415|478
470|4515|H|1|2012|47.5|59|45.1|49.9|508|563
470|4515|H|2|2012|51|7|81.9|81.9|507|563
470|4515|H|1|2013|52|58|48.4|50.3|508|559
470|4515|H|2|2013|47|3|85.3|84.2|509|558
470|4541|E|1|2011|47.5|52.5|48|63.4|102|164
470|4541|E|2|2011|54|40.5|57.8|65.3|90|147
470|4541|E|1|2012|30|57|31|58.3|100|164
470|4541|E|2|2012|44|30|59.5|64.4|84|150
470|4541|E|1|2013|38|53.5|38.9|58|90|162
470|4541|E|2|2013|37|27|52|65.3|75|150
1040|4615|H|1|2011|59|69|45.7|49.9|591|698
1040|4615|H|2|2011|52|5|84.2|84.6|590|696
1040|4615|H|1|2012|50|58|45.5|49|646|738
1040|4615|H|2|2012|44|7|81.8|83.7|639|733
1040|4615|H|1|2013|50|69.5|43.1|43.8|612|720
1040|4615|H|2|2013|52|4|86.3|84.5|605|716
470|4845|E|1|2011|71|38|80.6|89.2|129|260
470|4845|E|2|2011|70|36|79.5|81.7|127|262
470|4845|E|1|2012|63|49|60.2|92.2|108|232
470|4845|E|2|2012|62|36|75|85.2|108|236
470|4845|E|1|2013|57|34|67.9|80.5|137|221
470|4845|E|2|2013|61.5|24|77.9|79.4|136|218
2690|4894|M|1|2011|27|81|7.9|20.2|305|344
2690|4894|M|2|2011|40|51.5|38.9|37.8|301|345
2690|4894|M|1|2012|38|89|9.7|19.2|277|305
2690|4894|M|2|2012|38.5|55.5|38.8|39.8|278|307
2690|4894|M|1|2013|29|80|8.2|17.9|245|280
2690|4894|M|2|2013|36|47|38.8|40.6|245|278
470|5074|H|1|2011|51|97|25|26.5|652|708
470|5074|H|2|2011|50|28|59.7|58.7|652|711
470|5074|H|1|2012|46.5|95.5|27.6|30.3|664|740
470|5074|H|2|2012|50|28|59.3|59.1|661|739
470|5074|H|1|2013|43|96|25.7|27.5|673|737
470|5074|H|2|2013|45|18|64.3|62.2|672|735
1040|5106|H|1|2011|54.5|67|43.7|49.5|638|763
1040|5106|H|2|2011|53|3|88.2|89.8|633|764
1040|5106|H|1|2012|48|61|46.8|51.1|605|697
1040|5106|H|2|2012|47|5|84.9|85.5|601|696
1040|5106|H|1|2013|57.5|59.5|49.1|54|534|618
1040|5106|H|2|2013|60|3|90.6|89.4|530|616
2690|5155|H|1|2011|25|99|1.3|0|75|154
2690|5155|H|2|2011|28|75|29.3|30.2|75|151
2690|5155|H|1|2012|39|99|0|1.5|51|146
2690|5155|H|2|2012|42.5|89|10|18.5|50|142
2690|5155|H|1|2013|35|99|1.8|0.8|57|128
2690|5155|H|2|2013|34|84.5|16.7|18.5|54|119
2690|5346|E|1|2011|27.5|37.5|43.6|82.4|140|210
2690|5346|E|2|2011|49.5|32|65.7|86.7|140|210
2690|5346|E|1|2012|43|53|43.5|81.4|138|215
2690|5346|E|2|2012|40.5|29|63|87.4|138|215
2690|5346|E|1|2013|26|35|44.4|80.3|135|208
2690|5346|E|2|2013|33|23|55.6|82.3|135|209
470|5465|H|1|2011|59|48.5|57.9|57.8|107|117
470|5465|M|2|2011|62|23|82.6|86.7|172|189
470|5465|M|1|2011|69|57|64.5|74.1|172|190
470|5465|H|2|2011|58|3|84.1|82.8|107|117
470|5465|H|2|2012|55|6|85.7|84.1|133|151
470|5465|H|1|2012|59|42|54.1|60.3|133|151
470|5465|M|2|2012|56|21.5|77.8|83.2|162|173
470|5465|M|1|2012|62|56.5|62.3|71.1|162|173
470|5465|M|1|2013|58|50|56.8|74.3|176|191
470|5465|H|2|2013|50.5|3|87.3|88.5|134|139
470|5465|H|1|2013|66.5|35|62.7|65.5|134|139
470|5465|M|2|2013|49|16|69.9|81.2|176|191
470|5477|E|1|2011|52|48|52.5|72.8|139|244
470|5477|E|2|2011|51|35|62.3|77.8|138|244
470|5477|E|1|2012|52|57|44.8|72.7|154|265
470|5477|E|2|2012|44|32|65.6|74.7|154|264
470|5477|E|1|2013|53|51|49.7|71.4|161|245
470|5477|E|2|2013|50.5|35.5|63.8|76.2|160|244
470|5513|E|1|2013|43|51|42.7|70|117|227
470|5513|E|2|2013|51.5|31|62.5|75.8|112|223
470|5552|E|1|2011|57|62|46.2|44.2|106|172
470|5552|E|2|2011|47|59|35.1|31.6|77|155
470|5552|E|1|2012|44|76|19.3|37.2|109|172
470|5552|E|2|2012|40|59|24.7|35.2|93|145
470|5552|E|1|2013|31|65|18.3|29.4|93|163
470|5552|E|2|2013|43|55|40|38.7|65|142
470|5575|E|1|2011|47|40|54.7|76.1|64|113
470|5575|E|2|2011|56|34|70.3|79.5|64|112
470|5575|E|1|2012|60|57|54.1|78.7|74|122
470|5575|E|2|2012|58|30|74.3|83.6|74|122
470|5575|E|1|2013|74|54|67.2|63.7|67|113
470|5575|E|2|2013|71|35|83.6|81.4|67|113
470|5579|H|1|2011|51|35|58.5|61.8|583|674
470|5579|H|2|2011|54|2|86.1|85.8|582|674
470|5579|H|1|2012|58|37|56.2|61.3|619|711
470|5579|H|2|2012|58|4|84.5|84.3|618|711
470|5579|H|1|2013|57|36|57.9|60.3|594|673
470|5579|H|2|2013|53|2|86|86|593|673
1040|5588|E|1|2011|61|44|66.3|83.4|175|319
1040|5588|E|2|2011|58|32.5|74.7|84.4|174|320
1040|5588|E|1|2012|48|53|44.8|79.8|183|307
1040|5588|E|2|2012|60|30|77.1|83.9|179|307
1040|5588|E|1|2013|42|47|46.2|72.7|160|278
1040|5588|E|2|2013|44.5|27|70.9|81.7|158|278
470|5638|E|1|2011|44|50|43.9|68.6|66|121
470|5638|M|2|2011|57.5|45|60.5|53.7|38|41
470|5638|M|1|2011|66.5|76.5|34.2|34.1|38|41
470|5638|E|2|2011|57|40.5|65.2|77.7|66|121
470|5638|E|2|2012|32|36|45.5|71|77|138
470|5638|E|1|2012|46|63|32.5|66.4|77|137
470|5638|M|2|2012|59|37|64.2|66.1|53|56
470|5638|M|1|2012|58|77.5|40.4|45.5|52|55
470|5638|M|1|2013|71|77|38.5|47.4|65|76
470|5638|E|2|2013|56.5|38|50|73.3|66|135
470|5638|E|1|2013|44|57.5|37.9|69.6|66|135
470|5638|M|2|2013|75|31|86.2|82.9|65|76
2690|5881|E|1|2013|38.5|34.5|54.9|87.2|82|117
2690|5881|E|2|2013|30.5|25|53.7|79.3|82|116
2690|5881|M|1|2013|35|65|24.2|54.1|227|268
2690|5881|M|2|2013|52|25|70.4|76.7|226|266
470|6352|E|1|2011|65.5|54.5|58.7|62.7|138|209
470|6352|E|2|2011|48|49.5|49.1|46.8|116|190
470|6352|E|1|2012|51|62.5|37.1|59.6|124|199
470|6352|E|2|2012|49|49|48.1|52.7|106|184
470|6352|E|1|2013|46|60|43.1|65.3|109|190
470|6352|E|2|2013|45|48|47.5|50.3|99|171
470|6362|E|1|2011|68|47|62.1|72.7|169|282
470|6362|E|2|2011|53.5|41.5|62.5|67.4|160|273
470|6362|E|1|2012|59|58|53|74.1|183|324
470|6362|E|2|2012|62|39|68.6|72.2|175|316
470|6362|E|1|2013|68|47|68.8|72|93|157
470|6362|E|2|2013|52|37|67.8|67.8|87|152
470|6418|H|1|2011|38|99|5.6|7.3|18|42
470|6418|H|2|2011|53|29.5|52.9|60|17|42
470|6418|H|1|2012|64|99|11.1|9.7|9|32
470|6418|H|2|2012|21|78.5|50|43.3|10|31
470|6418|H|1|2013|26|99|0|0|10|14
470|6418|H|2|2013|18|20|44.4|50|9|14
470|6492|E|1|2011|49|57|42.6|59.4|108|170
470|6492|E|2|2011|41|49|45|50.7|80|137
470|6492|E|1|2012|61|64|50.5|71.6|107|172
470|6492|E|2|2012|59|49|58|54.7|81|149
470|6492|E|1|2013|49|57|39|57.9|105|197
470|6492|E|2|2013|57|48|54.3|55.1|81|147
2690|6500|E|1|2011|41.5|52.5|37.5|60.1|80|143
2690|6500|E|2|2011|26|46|32.9|57.3|79|143
2690|6500|E|1|2012|26|66.5|19.1|46.3|68|134
2690|6500|E|2|2012|29|48|35.8|51.1|67|132
2690|6500|E|1|2013|30|65|20.3|37.4|74|139
2690|6500|E|2|2013|27|49|31|50.4|71|133
1040|6524|M|1|2011|55|54|50.5|76.3|323|360
1040|6524|M|2|2011|51|17.5|80.7|89.1|322|360
1040|6524|M|1|2012|52|45|57.7|76.1|371|381
1040|6524|M|2|2012|55|16|86.3|91.9|371|381
1040|6524|M|1|2013|53|49|55.5|77.1|375|385
1040|6524|M|2|2013|48|14|80.3|87.3|375|385
1040|6533|M|1|2011|48|49|49.3|70.6|999|1148
1040|6533|M|2|2011|48|19|77.9|83.9|998|1147
1040|6533|M|1|2012|41|51|40.6|67.1|989|1088
1040|6533|M|2|2012|52|19|77.8|83.5|985|1085
1040|6533|M|1|2013|45|50|44.3|71.8|975|1093
1040|6533|M|2|2013|49|15|79.6|85.1|977|1095
470|6599|E|1|2011|63|54|60.7|74.2|201|260
470|6599|E|2|2011|57|33|70.1|80.4|201|260
470|6599|M|2|2011|52|28|72.3|71.5|213|260
470|6599|M|1|2011|83|69|59.6|62.5|213|261
470|6599|E|1|2012|70.5|60.5|57|70.9|228|278
470|6599|M|1|2012|69|72|51.2|58|244|276
470|6599|E|2|2012|61|32|73.1|79.3|227|276
470|6599|M|2|2012|67|29|78.3|80.1|244|276
470|6599|M|1|2013|73|62|57|68|393|459
470|6599|M|2|2013|62|23|79|78.5|391|455
2690|6669|E|1|2011|41.5|41|48.7|75|78|132
2690|6669|E|2|2011|56.5|32|73.1|83.5|78|133
2690|6669|E|1|2012|57|59|44|75.8|75|128
2690|6669|E|2|2012|56|36|69.3|75.4|75|126
