DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|STUDENTGROUP|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT|ENROLLMENT_PERCENTAGE
1040|1053|E|2|2012|5|51|27|71.9|90.9|139|232|NULL
1040|1053|E|2|2012|6|31|28|100|100|1|2|NULL
1040|1053|E|1|2012|3|54|44|67.4|92.2|135|217|NULL
1040|1053|E|1|2012|9|53.5|50|58.6|87.9|116|206|NULL
1040|1053|E|1|2012|10|52|23|96.2|100|26|29|NULL
1040|1053|E|2|2012|12|42|11.5|85.3|100|34|34|NULL
1040|1053|E|2|2012|10|61|10.5|88.5|100|26|29|NULL
1040|1053|E|2|2012|8|28|29|55.6|56.2|9|16|NULL
1040|1053|E|2|2012|11|50|46|55.6|77.8|36|36|NULL
1040|1053|E|2|2012|4|35|39|42.9|64.7|7|17|NULL
1040|1053|E|1|2012|1|53|45|64.4|87.9|73|116|NULL
1040|1053|E|1|2012|2|54|46|66.7|90.8|69|119|NULL
1040|1053|E|2|2012|7|53|27|73.3|93.5|131|218|NULL
1040|1053|E|1|2012|11|65.5|67|50|66.7|36|36|NULL
1040|1053|E|1|2012|8|40|35|55.6|56.2|9|16|NULL
1040|1053|E|1|2012|6|71|55|100|100|1|2|NULL
1040|1053|E|1|2012|7|54|46|66.2|91.8|133|219|NULL
1040|1053|E|2|2012|9|48|30|68.4|89.7|114|205|NULL
1040|1053|E|1|2012|12|42|24|77.8|100|36|36|NULL
1040|1053|E|2|2012|1|48.5|31|69.4|88.8|72|116|NULL
1040|1053|E|2|2012|3|51|26|73.7|93.1|133|217|NULL
1040|1053|E|1|2012|5|53|45|65.2|89.3|141|233|NULL
1040|1053|E|2|2012|2|54|24|75|93.2|68|118|NULL
1040|1053|E|2|2013|10|73|11.5|100|100|20|24|NULL
1040|1053|E|1|2013|1|47|35|66.2|86.8|65|114|NULL
1040|1053|E|2|2013|9|48|23|78.9|89.3|109|206|NULL
1040|1053|E|1|2013|6|54.5|37.5|100|100|2|3|NULL
1040|1053|E|2|2013|3|53|19|83.9|92.6|112|204|NULL
1040|1053|E|1|2013|11|54.5|63|41.2|52.9|34|34|NULL
1040|1053|E|1|2013|12|60|13|97|100|33|33|NULL
1040|1053|E|1|2013|9|52.5|34|66.4|86|110|207|NULL
1040|1053|E|1|2013|4|59|40|70.6|84.6|17|26|NULL
1040|1053|E|1|2013|3|47|32|71.7|87.8|113|205|NULL
1040|1053|E|1|2013|5|54.5|32|71.1|87.3|128|228|NULL
1040|1053|E|2|2013|7|53|19|85|93.3|120|210|NULL
1040|1053|E|1|2013|10|68|14.5|100|100|20|24|NULL
1040|1053|E|2|2013|4|60|31|70.6|73.1|17|26|NULL
1040|1053|E|1|2013|7|57|30|75.2|90.5|121|211|NULL
1040|1053|E|2|2013|11|59|44.5|56.2|62.5|32|32|NULL
1040|1053|E|2|2013|8|25|39|44.4|60|9|20|NULL
1040|1053|E|1|2013|2|59|28|76.9|88|65|117|NULL
1040|1053|E|2|2013|2|48|16|87.7|95.7|65|117|NULL
1040|1053|E|2|2013|5|53|20|82.7|90.7|127|227|NULL
1040|1053|E|2|2013|1|54.5|28|76.6|85|64|113|NULL
1040|1053|E|2|2013|6|24|29.5|50|66.7|2|3|NULL
1040|1053|E|1|2013|8|47|67|22.2|55|9|20|NULL
1040|1053|E|2|2013|12|48|8|93.9|100|33|33|NULL
2690|1077|E|1|2011|4|28|38|37.8|79.4|74|131|NULL
2690|1077|E|1|2011|1|33.5|37.5|45.7|83.8|70|111|NULL
2690|1077|E|1|2011|3|41|33|54.3|91.9|46|63|NULL
2690|1077|E|2|2011|11|32|52|35.5|32.3|31|31|NULL
2690|1077|E|1|2011|2|33.5|34.5|42|82.9|50|83|NULL
2690|1077|E|1|2011|9|28|38|37.1|81.5|105|174|NULL
2690|1077|E|1|2011|7|34|36|46|86.1|113|180|NULL
2690|1077|E|1|2011|12|38.5|19.5|73.3|100|30|30|NULL
2690|1077|E|2|2011|12|37|13|77.4|100|31|31|NULL
2690|1077|E|2|2011|1|39|30|64.8|77.5|71|111|NULL
2690|1077|E|2|2011|2|38|28|66.7|86.4|51|82|NULL
2690|1077|E|1|2011|5|34|36|43.5|84|115|188|NULL
2690|1077|E|2|2011|5|39|30|65.8|81.7|117|187|NULL
2690|1077|E|2|2011|6|58|47|60|66.7|5|6|NULL
2690|1077|E|1|2011|11|27|57|23.3|43.3|30|30|NULL
2690|1077|E|2|2011|9|36|35|60.7|79.1|107|173|NULL
2690|1077|E|1|2011|10|68|17|93.3|100|15|20|NULL
2690|1077|E|2|2011|7|39|28|67|83.8|115|179|NULL
2690|1077|E|2|2011|4|39|36|60.5|75.4|76|130|NULL
2690|1077|E|1|2011|6|29|47|60|66.7|5|6|NULL
2690|1077|E|2|2011|3|41|21|73.9|93.5|46|63|NULL
2690|1077|E|2|2011|8|17|52|42.9|46.2|7|14|NULL
2690|1077|E|2|2011|10|78|12|100|100|15|20|NULL
2690|1077|E|1|2011|8|5|56|14.3|46.2|7|14|NULL
2690|1077|E|2|2012|1|36|32|55.2|84.9|67|119|NULL
2690|1077|E|1|2012|1|53|54|50|89.9|68|119|NULL
2690|1077|E|2|2012|5|35.5|30|60.7|86.2|112|203|NULL
2690|1077|E|1|2012|3|57.5|38.5|60|93.1|30|72|NULL
2690|1077|E|1|2012|4|40|57|40|80.3|85|137|NULL
2690|1077|E|1|2012|9|41|57|40.8|82.2|98|180|NULL
2690|1077|E|2|2012|11|44.5|48|42.9|51.6|28|31|NULL
2690|1077|E|2|2012|3|41|22.5|76.7|94.5|30|73|NULL
2690|1077|E|2|2012|4|34|32|53.6|81.6|84|136|NULL
2690|1077|E|2|2012|12|37|13|76.7|100|30|30|NULL
2690|1077|E|1|2012|7|42.5|53|46.3|87.7|108|195|NULL
2690|1077|E|1|2012|8|29|66|28.6|42.9|7|14|NULL
2690|1077|E|1|2012|10|75|33|70.6|100|17|29|NULL
2690|1077|E|2|2012|9|33|32|52.6|84.1|95|182|NULL
2690|1077|E|2|2012|6|27|38.5|0|83.3|2|6|NULL
2690|1077|E|1|2012|6|64.5|62.5|50|71.4|2|7|NULL
2690|1077|E|2|2012|8|21|42|28.6|30.8|7|13|NULL
2690|1077|E|1|2012|2|36|53|38.3|77.8|47|90|NULL
2690|1077|E|1|2012|12|36|29|55.2|100|29|29|NULL
2690|1077|E|1|2012|5|42|53|45.1|85.1|113|202|NULL
2690|1077|E|2|2012|2|35|25|66|87.8|47|90|NULL
2690|1077|E|2|2012|7|36|29|61.7|89.8|107|196|NULL
2690|1077|E|1|2012|11|54|69|44.4|56.7|27|30|NULL
2690|1077|E|2|2012|10|46|13|94.7|100|19|27|NULL
2690|1077|E|1|2013|6|75|48|60|71.4|5|7|NULL
2690|1077|E|1|2013|3|66|34|66|87.3|50|79|NULL
2690|1077|E|1|2013|7|61|38|65.4|81.5|127|200|NULL
2690|1077|E|1|2013|8|48|69|38.5|35.3|13|17|NULL
2690|1077|E|2|2013|1|32|25|53|77.3|83|119|NULL
2690|1077|E|2|2013|2|38|27|61.4|88.9|57|99|NULL
2690|1077|E|2|2013|11|32|49|28.6|38.9|35|36|NULL
2690|1077|E|1|2013|5|59|39|63|78.1|135|210|NULL
2690|1077|E|2|2013|7|32|25|57.5|85.1|127|201|NULL
2690|1077|E|2|2013|8|32|58|46.2|52.9|13|17|NULL
2690|1077|E|1|2013|1|59|38.5|63.4|78.8|82|118|NULL
2690|1077|E|1|2013|2|60.5|44|62.1|76.8|58|99|NULL
2690|1077|E|1|2013|9|53|46|56.6|73.8|113|183|NULL
2690|1077|E|2|2013|12|46|13|85.7|100|35|35|NULL
2690|1077|E|2|2013|10|61|13|96.2|100|26|32|NULL
2690|1077|E|1|2013|11|56|66.5|38.9|43.2|36|37|NULL
2690|1077|E|1|2013|10|77|20|88.9|100|27|34|NULL
2690|1077|E|2|2013|9|28|29|47.4|79.6|114|186|NULL
2690|1077|E|2|2013|6|27|31|80|85.7|5|7|NULL
2690|1077|E|1|2013|12|64|20.5|83.3|100|36|36|NULL
2690|1077|E|2|2013|5|32|25|55.6|82.5|135|211|NULL
2690|1077|E|2|2013|4|27.5|27|50|79.9|90|139|NULL
2690|1077|E|1|2013|4|55|43|61.1|72.5|90|138|NULL
2690|1077|E|2|2013|3|48|19.5|68|87.3|50|79|NULL
470|1171|H|1|2011|12|38.5|10.5|75.9|85.5|54|55|NULL
470|1171|H|1|2011|9|47|91|23.4|27.8|209|272|NULL
470|1171|H|2|2011|11|42|73|31.6|31|57|58|NULL
470|1171|H|1|2011|11|62|99|0|0|55|57|NULL
470|1171|H|1|2011|5|47|87|26.5|30.4|200|262|NULL
470|1171|H|1|2011|6|45|99|5.9|11.1|17|18|NULL
470|1171|H|1|2011|7|46.5|87.5|26.2|30.9|206|261|NULL
470|1171|H|1|2011|2|47|92|24.8|29.5|101|133|NULL
470|1171|H|2|2011|3|44.5|11|76.3|76.1|186|240|NULL
470|1171|H|2|2011|12|44.5|2|100|100|52|53|NULL
470|1171|H|1|2011|1|47|88|25|28.8|116|147|NULL
470|1171|H|2|2011|10|63|2.5|87.5|87.5|8|8|NULL
470|1171|H|1|2011|8|59|99|0|5.3|11|19|NULL
470|1171|H|1|2011|10|39|6|62.5|75|8|8|NULL
470|1171|H|2|2011|8|53|84|36.4|21.1|11|19|NULL
470|1171|H|2|2011|5|45|11|74.5|73.8|200|262|NULL
470|1171|H|2|2011|2|49|8.5|78.2|79.1|101|135|NULL
470|1171|H|2|2011|7|43.5|11|73.8|75.7|206|261|NULL
470|1171|H|2|2011|4|35|32|45.2|47.5|31|40|NULL
470|1171|H|2|2011|9|43|15|71.3|71.5|209|272|NULL
470|1171|H|2|2011|6|37|49|41.2|44.4|17|18|NULL
470|1171|H|1|2011|3|47|86|25.9|30|185|239|NULL
470|1171|H|1|2011|4|55|99|18.8|24.4|32|41|NULL
470|1171|H|2|2011|1|38|24|66.4|65.3|116|145|NULL
470|1171|H|2|2012|11|57|72|35.5|32.3|62|62|NULL
470|1171|H|1|2012|1|59|79|36.4|40.7|118|150|NULL
470|1171|H|1|2012|9|57|82.5|29.7|35.5|232|280|NULL
470|1171|H|1|2012|2|57|81.5|30.2|35.5|126|142|NULL
470|1171|H|1|2012|10|72.5|6|100|100|12|12|NULL
470|1171|H|1|2012|6|65|99|20|16.7|15|18|NULL
470|1171|H|1|2012|7|59|78|35.2|40.9|227|269|NULL
470|1171|H|1|2012|5|57|79|34.1|39.6|229|274|NULL
470|1171|H|2|2012|7|55|11|81.5|83.3|227|269|NULL
470|1171|H|2|2012|4|62|42|55.2|60|29|35|NULL
470|1171|H|2|2012|5|53|11.5|78.3|79.9|230|275|NULL
470|1171|H|2|2012|6|67|60|53.3|44.4|15|18|NULL
470|1171|H|2|2012|3|53.5|11|79.6|80.2|216|258|NULL
470|1171|H|1|2012|4|44|96|20.7|22.9|29|35|NULL
470|1171|H|2|2012|9|53|16.5|75.4|76.7|232|280|NULL
470|1171|H|2|2012|10|66|1|100|100|13|13|NULL
470|1171|H|1|2012|8|31|99|5.9|4.5|17|23|NULL
470|1171|H|1|2012|11|61|99|1.6|0|64|64|NULL
470|1171|H|1|2012|12|63.5|14|88.3|91.7|60|60|NULL
470|1171|H|2|2012|8|46|90.5|16.7|13|18|24|NULL
470|1171|H|2|2012|2|63.5|10.5|80.2|82.3|126|142|NULL
470|1171|H|2|2012|12|48|2|98.3|100|60|60|NULL
470|1171|H|2|2012|1|50|20|73.1|73.5|119|151|NULL
470|1171|H|1|2012|3|59|79|34.9|40.2|215|257|NULL
470|1171|H|1|2013|2|50|87.5|33.8|36.2|130|152|NULL
470|1171|H|1|2013|10|32.5|1.5|100|100|18|18|NULL
470|1171|H|2|2013|2|48|5|80.9|82.9|131|152|NULL
470|1171|H|2|2013|3|43.5|5|81.8|82.3|236|277|NULL
470|1171|H|1|2013|6|38|99|33.3|36.4|21|22|NULL
470|1171|H|1|2013|9|42|85.5|33.6|36.8|256|307|NULL
470|1171|H|2|2013|11|43|60|38.4|34.2|73|73|NULL
470|1171|H|1|2013|8|16|99|0|0|19|21|NULL
470|1171|H|2|2013|4|38|18|61.5|60.4|39|48|NULL
470|1171|H|1|2013|7|44|74|40.8|43.1|255|304|NULL
470|1171|H|2|2013|1|38|6|77.1|75.7|144|173|NULL
470|1171|H|2|2013|10|29|1|100|100|18|18|NULL
470|1171|H|1|2013|5|42|79|38.3|40.6|253|303|NULL
470|1171|H|2|2013|7|45|5|84.3|84.2|255|303|NULL
470|1171|H|2|2013|8|14|98.5|10|9.1|20|22|NULL
470|1171|H|1|2013|1|35.5|73|41.7|43.9|144|173|NULL
470|1171|H|1|2013|11|52|99|1.4|1.4|71|71|NULL
470|1171|H|1|2013|12|39|4|89.9|92.8|69|69|NULL
470|1171|H|2|2013|5|40.5|5|79.9|80.5|254|303|NULL
470|1171|H|2|2013|6|48|46|66.7|59.1|21|22|NULL
470|1171|H|2|2013|12|38.5|2|100|100|66|66|NULL
470|1171|H|2|2013|9|43|7|77.4|77.9|257|307|NULL
470|1171|H|1|2013|3|41|76.5|39|41.7|236|278|NULL
470|1171|H|1|2013|4|46.5|95.5|31.6|31.9|38|47|NULL
470|1310|M|2|2011|1|49|38|61.1|60.9|275|289|NULL
470|1310|M|1|2011|11|55.5|94.5|6.8|3.8|132|132|NULL
470|1310|M|1|2011|10|66|22|91.9|100|37|38|NULL
470|1310|M|2|2011|3|55|25|77.1|81.3|332|348|NULL
470|1310|M|2|2011|12|46.5|11|90.8|99.2|130|130|NULL
470|1310|M|2|2011|4|47|53|42.9|42.7|189|206|NULL
470|1310|M|1|2011|9|52|69|34.5|47.8|481|515|NULL
470|1310|M|1|2011|5|56|65|44.6|58.7|368|391|NULL
470|1310|M|2|2011|2|53.5|29|68.7|73.6|246|265|NULL
470|1310|M|1|2011|4|42.5|75|18.3|28.6|186|205|NULL
470|1310|M|1|2011|8|42|94.5|10.7|16.1|28|32|NULL
470|1310|M|1|2011|1|56|69|37.7|49.7|273|289|NULL
470|1310|M|1|2011|12|56.5|31|69.2|98.5|130|130|NULL
470|1310|M|2|2011|5|54|26|74.6|76.8|370|392|NULL
470|1310|M|2|2011|10|57|9|94.7|100|38|39|NULL
470|1310|M|2|2011|6|47|53|40.4|43.2|151|162|NULL
470|1310|M|1|2011|2|50|67|39.6|53.2|245|264|NULL
470|1310|M|1|2011|7|54|67|40.2|53.5|490|521|NULL
470|1310|M|2|2011|8|45|73|25|25|28|32|NULL
470|1310|M|1|2011|3|60|61.5|50|64.7|332|348|NULL
470|1310|M|2|2011|11|47|69|27.8|10.5|133|133|NULL
470|1310|M|1|2011|6|43|73|24|33.5|150|162|NULL
470|1310|M|2|2011|9|50|36|62.3|64.5|483|515|NULL
470|1310|M|2|2011|7|51|32|66.9|69.5|493|522|NULL
470|1310|M|2|2012|4|45.5|51.5|45.1|45.2|206|228|NULL
470|1310|M|1|2012|8|36|94|12.1|18.4|33|38|NULL
470|1310|M|2|2012|3|63|23|80.2|83.2|344|358|NULL
470|1310|M|1|2012|4|47|82.5|21.6|34.1|208|229|NULL
470|1310|M|1|2012|3|67|62.5|55.5|68.4|344|358|NULL
470|1310|M|2|2012|5|61|24|76.5|79.3|379|406|NULL
470|1310|M|2|2012|6|53|57|46.2|43.9|171|180|NULL
470|1310|M|1|2012|2|61|71|44.7|57.9|264|280|NULL
470|1310|M|1|2012|7|62|69|44.7|57.6|519|549|NULL
470|1310|M|2|2012|10|66|9|100|100|50|51|NULL
470|1310|M|2|2012|12|58|9|90.6|100|139|140|NULL
470|1310|M|2|2012|1|51|37|63.3|62|286|305|NULL
470|1310|M|2|2012|9|57|35|63.8|65.4|500|535|NULL
470|1310|M|2|2012|8|54|72|24.2|18.4|33|38|NULL
470|1310|M|2|2012|2|65|26.5|71.2|75.4|264|281|NULL
470|1310|M|1|2012|5|63|64.5|49.7|64.3|380|406|NULL
470|1310|M|1|2012|6|56|84.5|27.3|34.3|172|181|NULL
470|1310|M|2|2012|11|57.5|71.5|30.4|10.1|138|139|NULL
470|1310|M|1|2012|10|74.5|20|92|100|50|51|NULL
470|1310|M|1|2012|9|58|73.5|37.8|50.7|502|536|NULL
470|1310|M|1|2012|1|58|70.5|41|52.4|288|307|NULL
470|1310|M|2|2012|7|59|30|69.8|71.9|517|548|NULL
470|1310|M|1|2012|11|56|95|12.9|7.8|140|141|NULL
470|1310|M|1|2012|12|62|29|79.1|100|139|140|NULL
470|1310|M|1|2013|4|47|76.5|19|32.2|248|267|NULL
470|1310|M|2|2013|11|49|74|25.5|11|145|146|NULL
470|1310|M|1|2013|1|47|66|33.9|53.8|295|312|NULL
470|1310|M|1|2013|3|50|53.5|46.6|69.9|326|349|NULL
470|1310|M|2|2013|12|49|8|93.7|100|142|142|NULL
470|1310|M|1|2013|2|51|66|35.5|53.3|279|304|NULL
470|1310|M|2|2013|1|45|30.5|61.9|62.4|294|311|NULL
470|1310|M|1|2013|6|48.5|78.5|17.8|33.3|180|192|NULL
470|1310|M|2|2013|2|50|24|67.6|68.1|278|304|NULL
470|1310|M|2|2013|4|45|53.5|44.3|42.1|246|266|NULL
470|1310|M|1|2013|5|49|60|42.4|62.7|394|424|NULL
470|1310|M|1|2013|9|47|69|29.1|49.3|522|564|NULL
470|1310|M|1|2013|10|62|12.5|90.4|100|52|52|NULL
470|1310|M|2|2013|3|50|17|80.1|82.8|326|349|NULL
470|1310|M|1|2013|8|32|96.5|7.7|13.8|26|29|NULL
470|1310|M|1|2013|11|49|96|2.1|1.4|145|146|NULL
470|1310|M|2|2013|9|47.5|33|61.2|62|520|563|NULL
470|1310|M|2|2013|10|53.5|5|100|100|52|52|NULL
470|1310|M|1|2013|7|50|65|35.9|55.5|548|587|NULL
470|1310|M|2|2013|6|50|56.5|44.4|40.3|178|191|NULL
470|1310|M|2|2013|7|48|25|66.7|67.6|546|586|NULL
470|1310|M|2|2013|8|38|84|23.1|17.2|26|29|NULL
470|1310|M|1|2013|12|51|27|76.9|99.3|143|143|NULL
470|1310|M|2|2013|5|46.5|20|73.9|76.4|394|424|NULL
1040|1389|E|1|2011|1|43|41|53.5|79.4|71|107|NULL
1040|1389|E|1|2011|12|47.5|28|83.3|100|30|30|NULL
1040|1389|E|2|2011|4|50|42|42.9|64.7|35|51|NULL
1040|1389|E|1|2011|2|45|48|53.1|72.2|49|97|NULL
1040|1389|E|2|2011|1|47|35|59.2|75.5|71|106|NULL
1040|1389|E|2|2011|5|42.5|31.5|57.5|78.2|106|179|NULL
1040|1389|E|2|2011|6|66|50|53.8|58.3|13|24|NULL
1040|1389|E|1|2011|11|38|68|25.8|29|31|31|NULL
1040|1389|E|1|2011|9|43|47|50|74.6|110|193|NULL
1040|1389|E|2|2011|11|67|57|51.6|45.2|31|31|NULL
1040|1389|E|2|2011|12|32.5|17.5|66.7|100|30|30|NULL
1040|1389|E|1|2011|7|46|42|57.9|80|107|185|NULL
1040|1389|E|1|2011|8|36|69|15.4|36.8|13|19|NULL
1040|1389|E|1|2011|6|41|58|46.2|54.2|13|24|NULL
1040|1389|E|2|2011|9|44|36|56|74.5|109|192|NULL
1040|1389|E|1|2011|4|44|50|40|63.5|35|52|NULL
1040|1389|E|1|2011|5|45|42|54.2|78.9|107|180|NULL
1040|1389|E|2|2011|10|75|15.5|70|100|10|11|NULL
1040|1389|E|2|2011|2|43|31.5|54.2|76.3|48|97|NULL
1040|1389|E|2|2011|3|44|32|63.1|79.6|84|152|NULL
1040|1389|E|2|2011|8|58|51|53.8|38.9|13|18|NULL
1040|1389|E|1|2011|10|87|21|90|100|10|11|NULL
1040|1389|E|1|2011|3|45|41|58.8|80.3|85|152|NULL
1040|1389|E|2|2011|7|44.5|32|57.5|79.5|106|185|NULL
1040|1389|E|2|2012|4|58|47|63|76.3|27|59|NULL
1040|1389|E|2|2012|2|61|36|79.6|81.8|49|100|NULL
1040|1389|E|2|2012|6|58|48|66.7|52.9|15|17|NULL
1040|1389|E|2|2012|5|60|33|78|83.3|91|175|NULL
1040|1389|E|1|2012|2|49|62|46.9|76.8|49|100|NULL
1040|1389|E|2|2012|3|61|31|81|82.6|79|133|NULL
1040|1389|E|2|2012|12|46|15.5|92.3|100|26|26|NULL
1040|1389|E|1|2012|8|45|89|11.1|23.5|9|17|NULL
1040|1389|E|2|2012|1|56|35|73.7|79.3|57|92|NULL
1040|1389|E|1|2012|3|65|55|59.5|80.5|79|134|NULL
1040|1389|E|1|2012|4|52|65|37|76.3|27|59|NULL
1040|1389|E|1|2012|11|58|79.5|25|28.6|28|28|NULL
