DISTRICT_NUMBER|CONTENT_AREA|YEAR|GRADE|STUDENTGROUP|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|2|2013|5|1|55|37|62.6|68.5|823|912
470|2|2013|5|2|54|31|68.4|70.8|825|917
470|2|2013|6|1|51|34|65.3|70.7|876|990
470|2|2013|6|2|60|29|70.6|75.9|826|939
470|2|2013|7|1|56|27|70.3|66.7|842|921
470|2|2013|7|2|55|20|73.5|74.6|780|866
470|2|2013|8|1|49|22|66.1|66.6|787|864
470|2|2013|8|2|52|16|75.9|75.8|785|872
470|2|2013|9|1|49|14|69.7|67.8|785|888
470|2|2013|9|2|50|9|78|78.9|742|849
1040|1|2011|10|1|62|66|48.9|48.2|773|872
1040|1|2011|10|2|60|79|40.6|39.7|729|808
1040|1|2011|4|1|61|38|70.1|86.6|676|793
1040|1|2011|4|2|53|38|61.7|85.2|645|744
1040|1|2011|5|1|53|37|62.6|84.4|729|831
1040|1|2011|5|2|53|40|61.2|81.5|590|707
1040|1|2011|6|1|56|42|63.4|79.2|716|828
1040|1|2011|6|2|56|48|59|76.6|685|794
1040|1|2011|7|1|53|53|50.2|72.5|715|853
1040|1|2011|7|2|56|59|49|71.2|670|782
1040|1|2011|8|1|51|55|47.9|68.6|708|804
1040|1|2011|8|2|49|60|41.7|64.8|696|791
1040|1|2011|9|1|60|56|48.7|57.9|772|910
1040|1|2011|9|2|56|69|41.3|53.1|714|827
1040|1|2012|10|1|56|50|54.2|52.4|812|903
1040|1|2012|10|2|56|70|44.7|42.8|751|862
1040|1|2012|4|1|56|50|58.7|86.9|669|778
1040|1|2012|4|2|49|50|51.4|84.3|636|740
1040|1|2012|5|1|57|47|58.7|83.1|703|803
1040|1|2012|5|2|54|51|53.5|80.8|663|748
1040|1|2012|6|1|49|50|52.2|78.3|739|856
1040|1|2012|6|2|55|54|49.9|75.2|617|743
1040|1|2012|7|1|50|55|46.7|65.5|728|831
1040|1|2012|7|2|53|63|42.5|59.2|723|819
1040|1|2012|8|1|50|47|50.9|66.9|770|866
1040|1|2012|8|2|45|55.5|42.7|61.1|710|800
1040|1|2012|9|1|59|56|54.6|61.8|725|853
1040|1|2012|9|2|56|62|45.9|55|712|819
1040|1|2013|10|1|54|42|53|51.2|751|845
1040|1|2013|10|2|57|70|47.6|46.5|729|800
1040|1|2013|4|1|56|36|66.2|86.9|672|787
1040|1|2013|4|2|56|40|65.6|86.7|671|787
1040|1|2013|5|1|57|34|67.6|81.2|695|777
1040|1|2013|5|2|58|35|68.8|80.5|667|765
1040|1|2013|6|1|55|44|58.3|79.7|722|862
1040|1|2013|6|2|52|47|52.1|76.1|676|808
1040|1|2013|7|1|58|55|53|75.1|773|878
1040|1|2013|7|2|54|59|51.3|72.2|665|778
1040|1|2013|8|1|48|51|45.8|67.5|769|879
1040|1|2013|8|2|50|60|44.4|64.2|745|826
1040|1|2013|9|1|55.5|60.5|47.7|54.8|778|941
1040|1|2013|9|2|55|74|42.2|49.9|725|872
1040|2|2011|10|1|50|3|83.7|83.5|771|871
1040|2|2011|10|2|55|2|92.8|92.2|727|809
1040|2|2011|4|1|54|34|67.6|80.1|672|792
1040|2|2011|4|2|61|30|76.5|87.6|642|743
1040|2|2011|5|1|56|30|73.3|84.2|726|831
1040|2|2011|5|2|55|26|73.8|86.8|588|707
1040|2|2011|6|1|60|27|78.5|85.7|717|828
1040|2|2011|6|2|56|23|79.2|87.9|687|794
1040|2|2011|7|1|52|23|76.1|84.4|712|855
1040|2|2011|7|2|57|22|82.5|87|667|782
1040|2|2011|8|1|51|17|74.6|78.7|706|804
1040|2|2011|8|2|57|13|85.1|88|693|789
1040|2|2011|9|1|58|9|84.2|85.3|765|910
1040|2|2011|9|2|53|5|88.5|90.8|713|827
1040|2|2012|10|1|45|5|84.9|83.6|807|897
1040|2|2012|10|2|57|3|91.6|90.5|750|860
1040|2|2012|4|1|54|32|70.2|81.9|660|778
1040|2|2012|4|2|60|30|77.4|86.5|632|739
1040|2|2012|5|1|51|27|71|84|699|803
1040|2|2012|5|2|53|22|76.2|88.1|663|750
1040|2|2012|6|1|49|22|74.6|83.6|733|856
1040|2|2012|6|2|60|19|82.8|87.8|615|742
1040|2|2012|7|1|44|23|69.7|79.6|725|830
1040|2|2012|7|2|57.5|22|78.1|84.8|722|818
1040|2|2012|8|1|42.5|15|74.3|81.2|768|866
1040|2|2012|8|2|56|12|83.2|88.2|708|799
1040|2|2012|9|1|45|9|78.6|83|716|851
1040|2|2012|9|2|53|7|88.3|90.8|709|820
1040|2|2013|10|1|50|3|85.7|84.8|743|842
1040|2|2013|10|2|58|2|93.3|92.1|727|800
1040|2|2013|4|1|50|29|69.5|81.3|673|787
1040|2|2013|4|2|55|26|75.9|85.1|665|785
1040|2|2013|5|1|54|23|75.8|82.4|693|777
1040|2|2013|5|2|54|21|79.6|85.5|666|766
1040|2|2013|6|1|51|20|78|85.7|719|858
1040|2|2013|6|2|52|16|80.1|88.2|675|808
1040|2|2013|7|1|49|19|78|81.9|772|878
1040|2|2013|7|2|54|16|80.8|85.8|661|776
1040|2|2013|8|1|48|16|76.6|79.5|765|876
1040|2|2013|8|2|56|12|85.1|86.6|745|826
1040|2|2013|9|1|55|8|85.3|84|775|937
1040|2|2013|9|2|57|4|89.3|89.5|723|869
2690|1|2011|10|1|41|96|21.9|19.3|488|608
2690|1|2011|10|2|35|99|15.5|14.7|522|599
2690|1|2011|4|1|42|43|49.7|79|561|629
2690|1|2011|4|2|41|45|46.6|74|566|620
2690|1|2011|5|1|34|46|39.1|69.6|591|649
2690|1|2011|5|2|42|46.5|44.9|68.8|584|634
2690|1|2011|6|1|22|59|20|44.5|556|640
2690|1|2011|6|2|26.5|59|18.7|46.7|534|600
2690|1|2011|7|1|29|71|14.3|36.4|517|643
2690|1|2011|7|2|31|70|13.3|34.9|519|594
2690|1|2011|8|1|35|79|16|30.5|624|707
2690|1|2011|8|2|34|88|10.8|24.9|553|619
2690|1|2011|9|1|36|97|13.6|19.7|590|805
2690|1|2011|9|2|34|97|8.6|14.1|521|713
2690|1|2012|10|1|42|99|18.3|16.1|552|680
2690|1|2012|10|2|43|99|11.2|10.8|507|640
2690|1|2012|4|1|51|58|44.1|72.3|589|649
2690|1|2012|4|2|46.5|58|42.1|69|560|622
2690|1|2012|5|1|34|60|30.4|61.2|579|639
2690|1|2012|5|2|35|62|27.9|57.4|570|619
2690|1|2012|6|1|26|64|21.3|48.6|577|648
2690|1|2012|6|2|32|66|20.1|47.9|546|590
2690|1|2012|7|1|43.5|83|19.6|28.2|546|607
2690|1|2012|7|2|41|81|18.9|28.6|528|579
2690|1|2012|8|1|39|88|15.7|27.7|543|615
2690|1|2012|8|2|34|87|11.9|23.3|522|578
2690|1|2012|9|1|37|93|16.7|22|600|888
2690|1|2012|9|2|32.5|98|9.2|17.2|552|791
2690|1|2013|10|1|45|99|16.8|16.1|573|658
2690|1|2013|10|2|43|99|12.1|11.4|564|633
2690|1|2013|4|1|52|48|56.8|77.4|630|685
2690|1|2013|4|2|46|50|50.1|75|597|645
2690|1|2013|5|1|38|50|38.3|58.6|567|618
2690|1|2013|5|2|36|54|34.3|53.3|572|628
2690|1|2013|6|1|33|65|23|49.1|530|583
2690|1|2013|6|2|36|68|22.8|43.3|530|577
2690|1|2013|7|1|34|72|15.9|35.9|585|637
2690|1|2013|7|2|33|74.5|15.2|34.9|520|573
2690|1|2013|8|1|40|85|21.6|32.1|523|583
2690|1|2013|8|2|40|85|18.3|31.6|513|573
2690|1|2013|9|1|35|99|10.8|15.1|547|753
2690|1|2013|9|2|40|99|8.6|13.1|521|694
2690|2|2011|10|1|37|21|62.6|58|484|608
2690|2|2011|10|2|42.5|8|74.2|72.6|520|598
2690|2|2011|4|1|37|41|48.4|66.1|560|627
2690|2|2011|4|2|43|39|53.3|67|565|620
2690|2|2011|5|1|39|38|53|65.8|589|648
2690|2|2011|5|2|39.5|35|54.6|71.6|584|635
2690|2|2011|6|1|35|38|44.3|59.4|553|638
2690|2|2011|6|2|37|33|52|67.9|533|599
2690|2|2011|7|1|36|40|46.1|48.1|518|643
2690|2|2011|7|2|34|35|46.4|57.3|519|594
2690|2|2011|8|1|39|37|50.6|51.2|622|710
2690|2|2011|8|2|43|37|55.9|53.3|551|619
2690|2|2011|9|1|42|41|54.3|52.8|588|805
2690|2|2011|9|2|43|26|61.2|62.5|520|711
2690|2|2012|10|1|31|28.5|54.3|49.8|549|679
2690|2|2012|10|2|45|21|65.8|61.9|514|638
2690|2|2012|4|1|41|39|48.4|60.9|591|643
2690|2|2012|4|2|46|38|59.1|71.4|565|622
2690|2|2012|5|1|38|37|51.3|66.6|577|636
2690|2|2012|5|2|40|35|54.2|70|570|619
2690|2|2012|6|1|29|35|46.4|57.7|576|647
2690|2|2012|6|2|38|31|53.6|67.9|545|589
2690|2|2012|7|1|32|42|41|48.2|539|608
2690|2|2012|7|2|44|37|53.3|59.3|529|581
2690|2|2012|8|1|37|40|46.3|49|536|615
2690|2|2012|8|2|42.5|33|55.8|60|520|576
2690|2|2012|9|1|38|37|49.5|49.6|604|889
2690|2|2012|9|2|43|37|53.5|59.3|551|792
2690|2|2013|10|1|44|18|62.8|59.8|567|652
2690|2|2013|10|2|48|16|69.9|66.3|569|635
2690|2|2013|4|1|42|37|55.4|65.4|625|685
2690|2|2013|4|2|41|33|58.9|70.2|593|644
2690|2|2013|5|1|37|37|50.4|61.9|571|617
2690|2|2013|5|2|38|32|55.2|69.2|580|627
2690|2|2013|6|1|37|37|49.1|60.7|527|582
2690|2|2013|6|2|43|35|57.4|66|530|576
2690|2|2013|7|1|41|37|55.6|57.4|588|639
2690|2|2013|7|2|36|29|53.2|60.7|517|570
2690|2|2013|8|1|45|35|55.1|55.1|515|579
2690|2|2013|8|2|43|28|60.4|59.8|515|575
2690|2|2013|9|1|42|36|50.2|48.6|536|739
2690|2|2013|9|2|40|23|59.3|59.6|516|688
470|1|2011|10|3|49|72.5|43.2|41.3|1157|1288
470|1|2011|10|4|42.5|99|13.9|13|316|374
470|1|2011|4|3|51.5|39|60.7|82.9|1086|1216
470|1|2011|4|4|45|55|41.9|57.6|511|572
470|1|2011|5|3|59|44|63.4|79.1|1061|1161
470|1|2011|5|4|46|62|39.5|46.8|483|548
470|1|2011|6|3|69|54|65.2|74.2|1064|1181
470|1|2011|6|4|50|69|34.2|47.3|400|471
470|1|2011|7|3|61|57|55|70.8|1114|1202
470|1|2011|7|4|55|81|25.1|34.4|386|465
470|1|2011|8|3|64|65|50|62.1|1199|1316
470|1|2011|8|4|59|95|19.7|25.6|437|503
470|1|2011|9|3|55|67|44.5|51.4|1172|1381
470|1|2011|9|4|49|99|13.9|17.9|388|464
470|1|2012|10|3|52|65|46.4|44.8|1227|1326
470|1|2012|10|4|47|99|14.4|12.8|355|408
470|1|2012|4|3|54|54|50.5|81|1088|1202
470|1|2012|4|4|36|65|23|51.6|509|581
470|1|2012|5|3|57|53|54.2|77.5|1127|1241
470|1|2012|5|4|51|71|27.4|48|530|593
470|1|2012|6|3|67|55|61.7|76.5|1083|1211
470|1|2012|6|4|50|80|24.9|39.8|478|548
470|1|2012|7|3|60|65.5|47.6|61.2|1128|1247
470|1|2012|7|4|46|88|18.9|26|397|454
470|1|2012|8|3|65|52|60|67.7|1128|1228
470|1|2012|8|4|54|92|24.3|28.8|403|449
470|1|2012|9|3|57|66|44.4|54.8|1206|1384
470|1|2012|9|4|49|99|14.7|18.9|409|494
470|1|2013|10|3|50|68|44.7|43.5|1217|1304
470|1|2013|10|4|46|99|13.2|12.5|416|463
470|1|2013|4|3|49|39|57.6|81.2|1100|1232
470|1|2013|4|4|38|58|33|53.5|573|654
470|1|2013|5|3|55|40|61.9|75.4|1078|1191
470|1|2013|5|4|50|70|33.4|44.5|574|636
470|1|2013|6|3|62|48|60.5|77|1133|1280
470|1|2013|6|4|50|73|29.5|40.2|563|644
470|1|2013|7|3|62|54|54.8|72.4|1117|1215
470|1|2013|7|4|51|80|23.3|33.9|490|551
470|1|2013|8|3|57|57|50|66.9|1135|1234
470|1|2013|8|4|53|90|24|34.1|437|502
470|1|2013|9|3|56|55|50.6|57.1|1112|1262
470|1|2013|9|4|48|99|16.6|20.1|416|477
470|2|2011|10|3|52|3|84.1|82.8|1160|1288
470|2|2011|10|4|46.5|54|46.2|44.1|314|374
470|2|2011|4|3|55|35|68.3|77.2|1063|1216
470|2|2011|4|4|39|52|37.9|35.2|343|561
470|2|2011|5|3|55|30|71.9|82.9|1057|1163
470|2|2011|5|4|47|55|42|43.1|464|547
470|2|2011|6|3|57|27|73.9|82.7|1066|1182
470|2|2011|6|4|46|53|46|49.3|400|471
470|2|2011|7|3|59|25|77.6|80.2|1114|1203
470|2|2011|7|4|49|54|48.2|40.9|386|465
470|2|2011|8|3|56|18|79.1|80.3|1199|1316
470|2|2011|8|4|49|51|45.5|39.8|435|504
470|2|2011|9|3|50.5|9|78|79.6|1168|1381
470|2|2011|9|4|47|56|43.8|40.7|386|464
470|2|2012|10|3|55|5|81.6|80.6|1225|1326
470|2|2012|10|4|52.5|60.5|48.6|46.8|354|408
470|2|2012|4|3|52|34|67|79|1064|1201
470|2|2012|4|4|38|49|38.2|38.4|335|576
470|2|2012|5|3|59|28|74.1|82.8|1129|1242
470|2|2012|5|4|51|59|44.8|44.1|522|591
470|2|2012|6|3|59|22|80.2|84.9|1081|1211
470|2|2012|6|4|48|57|42.7|43.1|478|548
470|2|2012|7|3|61|24|78.1|82.2|1129|1248
470|2|2012|7|4|57|56|51.4|44.4|397|454
470|2|2012|8|3|59|15|80.6|81.7|1128|1228
470|2|2012|8|4|55|61|49.8|42.2|404|449
470|2|2012|9|3|56|10|80.7|82.6|1206|1384
470|2|2012|9|4|53.5|56|47.8|47|406|494
470|2|2013|10|3|48|2|85.5|85|1218|1303
470|2|2013|10|4|45|32|54.2|53.3|413|463
470|2|2013|4|3|57.5|27|72.2|79.2|1096|1233
470|2|2013|4|4|44|51|45.2|40.5|392|647
470|2|2013|5|3|57|26|74.9|82.3|1077|1192
470|2|2013|5|4|51|51|47.6|46|571|637
470|2|2013|6|3|57|21|78.2|85.5|1133|1279
470|2|2013|6|4|50|56|47.3|49.1|569|650
470|2|2013|7|3|58|18|82.4|83.9|1124|1227
470|2|2013|7|4|50|54|48|41.1|498|560
470|2|2013|8|3|52|14|78.3|81|1136|1235
470|2|2013|8|4|46|46|51.8|47.1|436|501
470|2|2013|9|3|51|6|82.3|83.1|1111|1261
470|2|2013|9|4|45|46|51|47.1|416|476
1040|1|2011|10|3|61|71|45.4|44.6|1435|1600
1040|1|2011|10|4|58|97|32.8|33.3|67|80
1040|1|2011|4|3|57|37|67|87.3|1212|1402
1040|1|2011|4|4|55|47|55|71.6|109|135
1040|1|2011|5|3|53|37|63.5|84.6|1210|1398
1040|1|2011|5|4|48|49|45|67.1|109|140
1040|1|2011|6|3|56|44|62.8|79.6|1299|1494
1040|1|2011|6|4|52|64|41.2|58.3|102|128
1040|1|2011|7|3|55|54|51.4|73.8|1279|1498
1040|1|2011|7|4|50|68|27.4|50.7|106|137
1040|1|2011|8|3|50|56|46.4|68.7|1316|1481
1040|1|2011|8|4|38.5|76|20.5|40.7|88|114
1040|1|2011|9|3|58|60|46.7|57.3|1393|1629
1040|1|2011|9|4|53|91|22.6|29.6|93|108
1040|1|2012|10|3|56|57|51.4|49.6|1470|1656
1040|1|2012|10|4|53|99|21.5|19.4|93|109
1040|1|2012|4|3|54|49|57|87.6|1171|1351
1040|1|2012|4|4|43|58.5|39.6|69.5|134|167
1040|1|2012|5|3|56|48|57.7|84.1|1247|1406
1040|1|2012|5|4|55|65|41.2|62.1|119|145
1040|1|2012|6|3|53|50|53.1|78.5|1245|1459
1040|1|2012|6|4|44|64|29.7|59.7|111|140
1040|1|2012|7|3|53|57|46.4|64.7|1335|1509
1040|1|2012|7|4|36|76|23.3|37.6|116|141
1040|1|2012|8|3|48|50|48.1|65.6|1377|1545
1040|1|2012|8|4|41|70.5|31.1|45|103|121
1040|1|2012|9|3|56.5|56|51.8|60.6|1340|1549
1040|1|2012|9|4|58|88|29.9|31.1|97|123
1040|1|2013|10|3|56|48.5|52|50.8|1390|1530
1040|1|2013|10|4|49|99|24.4|23.5|90|115
1040|1|2013|4|3|57|37|67.9|88.3|1201|1387
1040|1|2013|4|4|48.5|50.5|48.6|75.4|142|187
1040|1|2013|5|3|58|33|69.9|83.1|1219|1356
1040|1|2013|5|4|56|54|53.8|64.5|143|186
1040|1|2013|6|3|54|44|57|80.3|1273|1500
1040|1|2013|6|4|46|63|38.4|57.6|125|170
1040|1|2013|7|3|56|55|53.5|76.1|1319|1498
1040|1|2013|7|4|54|71|37.8|51.3|119|158
1040|1|2013|8|3|49.5|55|46.6|68.3|1400|1557
1040|1|2013|8|4|43|75.5|27.2|39.9|114|148
1040|1|2013|9|3|56|65|46.5|54.2|1391|1668
1040|1|2013|9|4|49.5|90.5|26.8|32.4|112|145
1040|2|2011|10|3|52|2|88.5|88|1431|1600
1040|2|2011|10|4|53|6|80.6|80.8|67|80
1040|2|2011|4|3|57.5|32|73.6|85.1|1208|1398
1040|2|2011|4|4|50.5|43|52.8|69.6|106|137
1040|2|2011|5|3|56|27|75.2|87.6|1203|1397
1040|2|2011|5|4|53|42|55|63.8|111|141
1040|2|2011|6|3|58.5|24|80|88.6|1300|1493
1040|2|2011|6|4|55|42.5|64.4|65.6|104|129
1040|2|2011|7|3|55|22|81|87.5|1273|1500
1040|2|2011|7|4|50|34|57.5|64.7|106|137
1040|2|2011|8|3|54|15|80.7|84.7|1314|1481
1040|2|2011|8|4|43|26|65.9|64.8|85|112
1040|2|2011|9|3|55|6|87.7|89.1|1386|1630
1040|2|2011|9|4|56.5|22|65.2|71|92|107
1040|2|2012|10|3|51|3|89.6|88.5|1465|1649
1040|2|2012|10|4|44|18|65.2|63.6|92|108
1040|2|2012|4|3|58|30|75.8|86.7|1162|1349
1040|2|2012|4|4|47|41.5|54.6|63.9|130|168
1040|2|2012|5|3|52|23|74.8|87.5|1244|1408
1040|2|2012|5|4|43|36.5|59.3|71|118|145
1040|2|2012|6|3|55|19|79.9|87.5|1237|1457
1040|2|2012|6|4|44|33.5|61.3|65.7|111|141
1040|2|2012|7|3|50|22|75.2|83.9|1332|1508
1040|2|2012|7|4|45|33|58.3|64.3|115|140
1040|2|2012|8|3|50|12.5|79.5|85.6|1374|1545
1040|2|2012|8|4|40.5|28|65.7|70.6|102|120
1040|2|2012|9|3|49|7|84.4|88.4|1333|1548
1040|2|2012|9|4|42.5|20.5|69.6|66.9|92|123
1040|2|2013|10|3|54|2|90.9|90.2|1381|1526
1040|2|2013|10|4|47|7|66.3|64.7|89|116
1040|2|2013|4|3|54|26|74.5|85.1|1194|1384
1040|2|2013|4|4|46.5|39.5|57.6|69.1|144|188
1040|2|2013|5|3|54|20|78.9|86.2|1216|1356
1040|2|2013|5|4|54|37|67.1|67.4|143|187
1040|2|2013|6|3|52|17|80.9|88.9|1269|1497
1040|2|2013|6|4|47|31|60.8|69.2|125|169
1040|2|2013|7|3|53|17|81|86|1317|1498
1040|2|2013|7|4|42|31.5|59.5|61.5|116|156
1040|2|2013|8|3|52|13|82|85.1|1397|1555
1040|2|2013|8|4|49|31|66.4|59.9|113|147
1040|2|2013|9|3|56|5|88|88|1387|1662
1040|2|2013|9|4|50|15|78.4|70.8|111|144
2690|1|2011|10|3|44|90|28.6|26.9|402|466
2690|1|2011|10|4|36|99|12|10.8|608|741
2690|1|2011|4|3|43|36|58.7|89.4|269|313
2690|1|2011|4|4|41|47|44.9|72.2|858|936
2690|1|2011|5|3|42|37|54|83.9|337|366
2690|1|2011|5|4|37|49|37.1|63.4|838|917
2690|1|2011|6|3|29|48|28.7|61.6|307|358
2690|1|2011|6|4|23|62|15.7|39.1|783|882
2690|1|2011|7|3|32|61|19.7|56.1|264|338
2690|1|2011|7|4|29|73|11.8|28|772|899
2690|1|2011|8|3|38|69|22.7|45.2|322|367
2690|1|2011|8|4|33|90|10.2|21.3|855|959
2690|1|2011|9|3|40|83.5|19.7|30.1|355|509
2690|1|2011|9|4|33|99|7.3|10.4|756|1009
2690|1|2012|10|3|46|98|23.3|20.7|429|538
2690|1|2012|10|4|40|99|9.2|8.4|630|782
2690|1|2012|4|3|55|51|55.4|80.1|289|343
2690|1|2012|4|4|47|60|39.1|67.2|860|928
2690|1|2012|5|3|42|53|39.9|67.9|313|362
2690|1|2012|5|4|33|63|25.1|55.9|836|896
2690|1|2012|6|3|38|55|34.4|64.9|299|352
2690|1|2012|6|4|27|67|15.8|41.7|824|886
2690|1|2012|7|3|46|76|29|42.5|307|364
2690|1|2012|7|4|40|86|15.4|22.1|767|822
2690|1|2012|8|3|36|72|23.3|40.3|292|359
2690|1|2012|8|4|36|91|10.2|19.3|773|834
2690|1|2012|9|3|34|88|20.7|32|353|565
2690|1|2012|9|4|35|98|9.8|13.3|799|1114
2690|1|2013|10|3|47|98|25.1|24.2|422|475
2690|1|2013|10|4|42|99|8.1|7.7|715|816
2690|1|2013|4|3|52.5|36|65.1|88.8|284|338
2690|1|2013|4|4|48|52|50.1|72|943|992
2690|1|2013|5|3|40|34|52|74.6|277|323
2690|1|2013|5|4|36|58|31.2|49.4|862|923
2690|1|2013|6|3|34|54|35.4|64.4|254|303
2690|1|2013|6|4|34.5|69|19|39.8|806|857
2690|1|2013|7|3|38|65.5|24.2|50.8|318|362
2690|1|2013|7|4|32|76|12.1|28.9|787|848
2690|1|2013|8|3|43.5|75|28.7|44|296|343
2690|1|2013|8|4|38|91|16.5|26.7|740|813
2690|1|2013|9|3|42|90|19.1|28.8|309|475
2690|1|2013|9|4|35|99|5.9|7|759|972
2690|2|2011|10|3|43|4|81.1|77.5|403|468
2690|2|2011|10|4|37|25|60.2|57.3|601|738
2690|2|2011|4|3|49|33|63.7|84.6|270|312
2690|2|2011|4|4|38|43|46.8|60.6|855|935
2690|2|2011|5|3|46|25|69.6|83.6|336|367
2690|2|2011|5|4|37|40.5|47.4|62.7|837|916
2690|2|2011|6|3|40|28|63.5|78.2|307|358
2690|2|2011|6|4|33|40|42|57.5|779|879
2690|2|2011|7|3|38|25|61.5|71.6|265|338
2690|2|2011|7|4|34|43|41.1|45.4|772|899
2690|2|2011|8|3|41|25|67.3|71|321|370
2690|2|2011|8|4|40|44|47.8|44.9|852|959
2690|2|2011|9|3|43.5|13|75.7|77.2|354|509
2690|2|2011|9|4|43|44|48.9|47.1|754|1007
2690|2|2012|10|3|38|11|74|67.1|431|535
2690|2|2012|10|4|37|44|50.2|47.7|632|782
2690|2|2012|4|3|49|32|72|80.9|289|342
2690|2|2012|4|4|40|42|47.5|60.6|867|923
2690|2|2012|5|3|45|29|66.2|78.9|311|360
2690|2|2012|5|4|37|38|47.7|64|836|895
2690|2|2012|6|3|34|22|63.8|77.7|301|352
2690|2|2012|6|4|33|37|44.8|56.6|820|884
2690|2|2012|7|3|40.5|27|60.1|68.4|298|361
2690|2|2012|7|4|36|44|42.1|47.4|770|828
2690|2|2012|8|3|37.5|21|64.9|69.3|288|356
2690|2|2012|8|4|39.5|43.5|45.7|47.9|768|835
2690|2|2012|9|3|41|23|62.1|67.5|356|567
2690|2|2012|9|4|40|44|46.7|47.4|799|1114
2690|2|2013|10|3|51|5|83.1|79.6|415|470
