DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|ETHNICITY|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT|ENROLLMENT_PERCENTAGE
1040|1053|E|1|2011|5|54|44|67.2|91.6|122|202|NULL
1040|1053|E|2|2011|1|66|32|100|100|1|1|NULL
1040|1053|E|2|2011|2|29.5|21|66.7|100|6|10|NULL
1040|1053|E|2|2011|3|75|34|100|90|5|10|NULL
1040|1053|E|2|2011|4|34|33.5|62.5|72.7|8|11|NULL
1040|1053|E|2|2011|5|54|27|71.7|91.5|120|202|NULL
1040|1053|E|1|2012|3|67.5|32.5|75|87.5|4|8|NULL
1040|1053|E|1|2012|4|53|61|20|63.6|5|11|NULL
1040|1053|E|1|2012|5|52.5|32|73.3|89.7|116|203|NULL
1040|1053|E|1|2012|2|75|29|80|66.7|5|9|NULL
1040|1053|E|2|2012|2|44|28|80|88.9|5|9|NULL
1040|1053|E|2|2012|3|61.5|14|100|100|4|8|NULL
1040|1053|E|2|2012|4|27.5|50|25|60|4|10|NULL
1040|1053|E|2|2012|5|53.5|19|83.6|91.6|116|203|NULL
2690|1077|E|1|2010|1|30.5|26|50|100|2|4|NULL
2690|1077|E|1|2010|2|58|24|75|100|4|6|NULL
2690|1077|E|1|2010|3|1.5|47.5|0|0|2|2|NULL
2690|1077|E|1|2010|4|25|41|26.4|78.4|53|88|NULL
2690|1077|E|1|2010|5|48|34|59.3|88.2|59|94|NULL
2690|1077|E|2|2010|1|69|20.5|100|100|2|4|NULL
2690|1077|E|2|2010|2|78|16|75|100|4|6|NULL
2690|1077|E|2|2010|3|7.5|42|0|0|2|2|NULL
2690|1077|E|2|2010|4|39|42|58.2|77.3|55|88|NULL
2690|1077|E|2|2010|5|36|24|72.9|84.8|59|93|NULL
2690|1077|E|1|2011|2|62|52|100|100|3|7|NULL
2690|1077|E|1|2011|4|41|59|36.7|78.1|60|105|NULL
2690|1077|E|1|2011|5|48|44|52|90.3|50|93|NULL
2690|1077|E|1|2011|1|75.5|40.5|50|100|2|2|NULL
2690|1077|E|2|2011|1|31|21.5|50|100|2|2|NULL
2690|1077|E|2|2011|2|23|26|66.7|100|3|6|NULL
2690|1077|E|2|2011|4|33|37|54.2|82.7|59|104|NULL
2690|1077|E|2|2011|5|38.5|23|66|89.4|50|94|NULL
2690|1077|E|1|2012|3|50|36|100|50|1|2|NULL
2690|1077|E|1|2012|4|58.5|48|62.2|74.3|74|113|NULL
2690|1077|E|1|2012|5|59.5|34|61.7|82.1|60|95|NULL
2690|1077|E|1|2012|2|63|22|80|100|5|6|NULL
2690|1077|E|2|2012|2|25|13|100|100|4|6|NULL
2690|1077|E|2|2012|3|27|23|100|50|1|2|NULL
2690|1077|E|2|2012|4|30|28|49.3|79.8|75|114|NULL
2690|1077|E|2|2012|5|38|23|61.7|86.3|60|95|NULL
470|1171|H|1|2010|1|56.5|99|0|0|2|2|NULL
470|1171|H|1|2010|2|53|98|23.1|25|13|16|NULL
470|1171|H|1|2010|3|48|34|66.7|40|3|5|NULL
470|1171|H|1|2010|4|45|99|11.4|12.8|35|39|NULL
470|1171|H|1|2010|5|47|83|27.4|32.4|164|218|NULL
470|1171|H|2|2010|4|57.5|49.5|47.1|47.5|34|40|NULL
470|1171|H|2|2010|5|39|9|77|76.3|165|217|NULL
470|1171|H|2|2010|1|44|40.5|50|50|2|2|NULL
470|1171|H|2|2010|2|59|21|76.9|75|13|16|NULL
470|1171|H|2|2010|3|76|2|66.7|80|3|5|NULL
470|1171|H|2|2011|4|64|52|52|58.1|25|31|NULL
470|1171|H|1|2011|3|70|25|66.7|50|3|4|NULL
470|1171|H|1|2011|4|63|99|12|16.1|25|31|NULL
470|1171|H|1|2011|5|54|79|36.2|41.3|199|236|NULL
470|1171|H|1|2011|1|67|93|20|33.3|5|6|NULL
470|1171|H|2|2011|5|53.5|10.5|80|80.9|200|237|NULL
470|1171|H|2|2011|1|48|26|60|66.7|5|6|NULL
470|1171|H|2|2011|2|52|16.5|75|73.3|12|15|NULL
470|1171|H|2|2011|3|53|1|100|75|3|4|NULL
470|1171|H|1|2011|2|59.5|84|25|33.3|12|15|NULL
470|1171|H|1|2012|3|39|87|0|42.9|3|7|NULL
470|1171|H|1|2012|4|52.5|99|25|23.3|40|43|NULL
470|1171|H|1|2012|5|41|70|40.8|42.4|213|255|NULL
470|1171|H|1|2012|1|10|63|0|40|5|5|NULL
470|1171|H|1|2012|2|71|75|53.8|53.3|13|15|NULL
470|1171|H|2|2012|1|18|5|100|100|5|5|NULL
470|1171|H|2|2012|2|45|28|84.6|80|13|15|NULL
470|1171|H|2|2012|3|62|12|66.7|71.4|3|7|NULL
470|1171|H|2|2012|4|47.5|27.5|60|58.1|40|43|NULL
470|1171|H|2|2012|5|42.5|4|81.8|82.4|214|255|NULL
470|1310|M|1|2010|1|49|67|50|50|6|6|NULL
470|1310|M|1|2010|2|74|55|52|65.5|25|29|NULL
470|1310|M|1|2010|3|60|89.5|16.7|28.6|12|14|NULL
470|1310|M|1|2010|4|48|75|21.7|31|189|204|NULL
470|1310|M|1|2010|5|55.5|59.5|49.3|64.9|286|300|NULL
470|1310|M|2|2010|4|49|52.5|46.4|46.8|192|205|NULL
470|1310|M|2|2010|5|54|24|76.9|81.7|286|300|NULL
470|1310|M|2|2010|1|48|38.5|83.3|50|6|6|NULL
470|1310|M|2|2010|2|47|29|64|69|25|29|NULL
470|1310|M|2|2010|3|62.5|38|58.3|50|12|14|NULL
470|1310|M|2|2011|4|49|49|47.4|47.8|211|226|NULL
470|1310|M|1|2011|3|75|88|14.3|28.6|7|7|NULL
470|1310|M|1|2011|4|51|83.5|25.5|33.9|212|227|NULL
470|1310|M|1|2011|5|64|59|54.5|69.6|299|319|NULL
470|1310|M|1|2011|1|66|34|60|80|5|5|NULL
470|1310|M|2|2011|5|62.5|20|80.9|83.4|298|319|NULL
470|1310|M|2|2011|1|60|19|60|80|5|5|NULL
470|1310|M|2|2011|2|73|33|69|65.5|29|29|NULL
470|1310|M|2|2011|3|70|30|71.4|57.1|7|7|NULL
470|1310|M|1|2011|2|63|70|51.7|62.1|29|29|NULL
470|1310|M|1|2012|3|24|68|0|40|5|5|NULL
470|1310|M|1|2012|4|45|76|18.9|34|233|250|NULL
470|1310|M|1|2012|5|53|55|46.2|67.9|303|327|NULL
470|1310|M|1|2012|1|43|65|28.6|28.6|7|7|NULL
470|1310|M|1|2012|2|54.5|59.5|50|70.4|26|27|NULL
470|1310|M|2|2012|1|62|27|57.1|71.4|7|7|NULL
470|1310|M|2|2012|2|71|25.5|69.2|74.1|26|27|NULL
470|1310|M|2|2012|3|18|19|40|40|5|5|NULL
470|1310|M|2|2012|4|47|53|48.5|44.2|231|249|NULL
470|1310|M|2|2012|5|48|18|77.2|80.7|303|327|NULL
1040|1389|E|1|2010|2|40|51.5|33.3|90.9|6|11|NULL
1040|1389|E|1|2010|3|50|51|42.9|58.3|7|12|NULL
1040|1389|E|1|2010|4|41|47|42.9|50|21|30|NULL
1040|1389|E|1|2010|5|47|41.5|58.1|81.8|86|148|NULL
1040|1389|E|2|2010|5|42.5|31|59.3|78.9|86|147|NULL
1040|1389|E|2|2010|2|52.5|49|50|100|6|11|NULL
1040|1389|E|2|2010|3|53|47|42.9|66.7|7|12|NULL
1040|1389|E|2|2010|4|62.5|44.5|55|63.3|20|30|NULL
1040|1389|E|1|2011|2|80|61|87.5|93.8|8|16|NULL
1040|1389|E|1|2011|3|41|40|66.7|90|3|10|NULL
1040|1389|E|1|2011|4|62|64|50|68|18|25|NULL
1040|1389|E|1|2011|5|56|55|50.6|78.7|77|142|NULL
1040|1389|E|2|2011|5|61|33|76.6|81.4|77|141|NULL
1040|1389|E|2|2011|2|82|45.5|100|100|8|16|NULL
1040|1389|E|2|2011|3|47|37|66.7|80|3|10|NULL
1040|1389|E|2|2011|4|56|46.5|66.7|64|18|25|NULL
1040|1389|E|1|2012|1|10|23|0|100|1|1|NULL
1040|1389|E|1|2012|2|52|31|77.8|92.3|9|13|NULL
1040|1389|E|1|2012|3|36|39|28.6|73.3|7|15|NULL
1040|1389|E|1|2012|4|42|60|45.5|45.8|11|24|NULL
1040|1389|E|1|2012|5|49|43|56|70.6|84|136|NULL
1040|1389|E|2|2012|1|55|41|100|100|1|1|NULL
1040|1389|E|2|2012|2|44|16|55.6|92.9|9|14|NULL
1040|1389|E|2|2012|3|63|36|71.4|66.7|7|15|NULL
1040|1389|E|2|2012|4|19|36|18.2|50|11|22|NULL
1040|1389|E|2|2012|5|41|25|65.1|76.5|83|136|NULL
1040|1430|E|1|2010|2|30.5|28.5|75|90|4|10|NULL
1040|1430|E|1|2010|3|50.5|36.5|66.7|60|6|15|NULL
1040|1430|E|1|2010|4|43|44|47.1|70|17|40|NULL
1040|1430|E|1|2010|5|51|40|57.9|81.7|107|181|NULL
1040|1430|E|2|2010|5|49.5|35.5|60.4|78.8|106|181|NULL
1040|1430|E|2|2010|2|78|36|100|90|4|10|NULL
1040|1430|E|2|2010|3|50|30|66.7|73.3|6|15|NULL
1040|1430|E|2|2010|4|63|44|70.6|72.5|17|40|NULL
1040|1430|E|1|2011|2|61|52|80|91.7|5|12|NULL
1040|1430|E|2|2011|5|49|35|61.5|73.7|91|175|NULL
1040|1430|E|1|2011|3|62|61.5|50|66.7|10|18|NULL
1040|1430|E|1|2011|4|56|62|37|62.2|27|45|NULL
1040|1430|E|1|2011|5|57.5|49|57.8|79.2|90|173|NULL
1040|1430|E|1|2011|1|31.5|37.5|0|100|2|4|NULL
1040|1430|E|2|2011|1|90|17.5|100|100|2|4|NULL
1040|1430|E|2|2011|2|79|48|80|83.3|5|12|NULL
1040|1430|E|2|2011|3|33|39|40|61.1|10|18|NULL
1040|1430|E|2|2011|4|46|35|48.1|66.7|27|45|NULL
1040|1430|E|1|2012|2|53|51|55.6|78.6|9|14|NULL
1040|1430|E|1|2012|3|60|58|54.5|61.5|11|13|NULL
1040|1430|E|1|2012|4|73|51|59.3|70.5|27|44|NULL
1040|1430|E|1|2012|5|55|37|71|78.9|93|171|NULL
1040|1430|E|1|2012|1|72|33|100|100|1|1|NULL
1040|1430|E|2|2012|1|48|21|100|100|1|1|NULL
1040|1430|E|2|2012|2|50|42.5|87.5|69.2|8|13|NULL
1040|1430|E|2|2012|3|48|41|63.6|69.2|11|13|NULL
1040|1430|E|2|2012|4|59|41|66.7|61.4|27|44|NULL
1040|1430|E|2|2012|5|57|32|61.7|68|94|172|NULL
1040|1492|E|1|2010|1|27|38|0|50|1|2|NULL
1040|1492|E|1|2010|2|29|38|20|100|5|6|NULL
1040|1492|E|1|2010|3|38|20|100|100|1|3|NULL
1040|1492|E|1|2010|4|48|62|42.9|53.8|7|13|NULL
1040|1492|E|1|2010|5|70|37|78|88.2|118|204|NULL
1040|1492|E|2|2010|4|51|48|85.7|61.5|7|13|NULL
1040|1492|E|2|2010|5|57.5|26|76.3|91.1|118|203|NULL
1040|1492|E|2|2010|1|22|23|0|50|1|2|NULL
1040|1492|E|2|2010|2|61|28|60|85.7|5|7|NULL
1040|1492|E|2|2010|3|47|18|100|100|1|3|NULL
1040|1492|E|2|2011|4|96|55.5|75|50|4|10|NULL
1040|1492|E|1|2011|3|40|62|0|100|1|1|NULL
1040|1492|E|1|2011|4|64.5|63.5|50|60|4|10|NULL
1040|1492|E|1|2011|5|70|48|74.1|90.8|139|229|NULL
1040|1492|E|1|2011|1|38|93|0|75|1|4|NULL
1040|1492|E|2|2011|5|60.5|25|86.2|92.6|138|229|NULL
1040|1492|E|2|2011|1|58|66|0|75|1|4|NULL
1040|1492|E|2|2011|2|43.5|19.5|50|100|2|3|NULL
1040|1492|E|2|2011|3|17|30|0|100|1|1|NULL
1040|1492|E|1|2011|2|49.5|60.5|50|100|2|3|NULL
1040|1492|E|1|2012|3|20|60|0|33.3|1|3|NULL
1040|1492|E|1|2012|4|40.5|62.5|37.5|63.6|8|11|NULL
1040|1492|E|1|2012|5|57.5|32|70.8|86.8|130|228|NULL
1040|1492|E|1|2012|1|41.5|27.5|50|83.3|2|6|NULL
1040|1492|E|1|2012|2|54|40|66.7|100|3|6|NULL
1040|1492|E|2|2012|1|55.5|18.5|100|83.3|2|6|NULL
1040|1492|E|2|2012|2|36|13|66.7|83.3|3|6|NULL
1040|1492|E|2|2012|3|36|32|100|66.7|1|3|NULL
1040|1492|E|2|2012|4|54.5|46|62.5|81.8|8|11|NULL
1040|1492|E|2|2012|5|56|21|79.1|91.2|129|228|NULL
470|1538|E|1|2010|1|2|40|33.3|33.3|3|3|NULL
470|1538|E|1|2010|2|90|34|81.2|88.9|16|18|NULL
470|1538|E|1|2010|3|43|48|42.9|54.5|7|11|NULL
470|1538|E|1|2010|4|65|61|58.3|76.9|24|26|NULL
470|1538|E|1|2010|5|81|46|78.2|85|174|207|NULL
470|1538|M|1|2010|3|63.5|77|33.3|44.4|6|9|NULL
470|1538|E|2|2010|1|28|35|33.3|100|3|3|NULL
470|1538|M|1|2010|1|70.5|55|100|100|2|2|NULL
470|1538|M|1|2010|2|75|31|88.2|85|17|20|NULL
470|1538|E|2|2010|4|64.5|39|70.8|73.1|24|26|NULL
470|1538|E|2|2010|5|67.5|28|82.2|91.3|174|206|NULL
470|1538|E|2|2010|2|71|19|81.2|94.1|16|17|NULL
470|1538|E|2|2010|3|50|38|42.9|72.7|7|11|NULL
470|1538|M|2|2010|4|66.5|40|86.7|69.4|30|36|NULL
470|1538|M|2|2010|1|54.5|20.5|100|100|2|2|NULL
470|1538|M|1|2010|4|63|78|37.9|51.4|29|35|NULL
470|1538|M|1|2010|5|61|38|63|80.4|230|261|NULL
470|1538|M|2|2010|3|61|27.5|100|62.5|5|9|NULL
470|1538|M|2|2010|5|65|15|88.7|91.9|230|261|NULL
470|1538|M|2|2010|2|56|14|82.4|90|17|20|NULL
470|1538|E|2|2011|1|29.5|29.5|50|100|2|3|NULL
470|1538|E|1|2011|1|91|66|100|100|2|3|NULL
470|1538|E|1|2011|2|77|35|90.9|96.2|22|26|NULL
470|1538|E|2|2011|5|61|21|87.9|92.2|231|258|NULL
470|1538|E|2|2011|2|80.5|20|95.5|100|22|25|NULL
470|1538|E|2|2011|3|31|45|50|70|8|10|NULL
470|1538|E|2|2011|4|61.5|41.5|56.2|50|32|34|NULL
470|1538|M|1|2011|3|72|72|22.2|45.5|9|11|NULL
470|1538|E|1|2011|3|70.5|66.5|50|70|8|10|NULL
470|1538|E|1|2011|4|52|71.5|46.9|55.9|32|34|NULL
470|1538|M|2|2011|4|70.5|41.5|76.5|72.2|34|36|NULL
470|1538|M|2|2011|5|66|14|86.5|89.4|237|266|NULL
470|1538|M|1|2011|4|73.5|71.5|50|61.1|34|36|NULL
470|1538|M|1|2011|5|68|39|67.4|76.5|236|265|NULL
470|1538|M|1|2011|1|28|56.5|50|75|4|4|NULL
470|1538|E|1|2011|5|70|45|72.7|89.1|231|258|NULL
470|1538|M|2|2011|1|32.5|27|50|50|4|4|NULL
470|1538|M|2|2011|2|76|12.5|100|100|20|24|NULL
470|1538|M|2|2011|3|67|39|55.6|72.7|9|11|NULL
470|1538|M|1|2011|2|86.5|16|70|91.7|20|24|NULL
470|1538|M|1|2012|3|48|63|50|46.7|12|15|NULL
470|1538|M|1|2012|4|54|74|33.9|47.7|56|65|NULL
470|1538|M|1|2012|5|57|39|63.7|84.3|399|440|NULL
470|1538|M|1|2012|1|74|49|66.7|66.7|3|3|NULL
470|1538|M|1|2012|2|73.5|27.5|81.8|91.5|44|47|NULL
470|1538|M|2|2012|1|64|31|100|100|3|3|NULL
470|1538|M|2|2012|2|60.5|10|90.9|95.7|44|47|NULL
470|1538|M|2|2012|3|43.5|32|58.3|80|12|15|NULL
470|1538|M|2|2012|4|59|46.5|62.5|52.3|56|65|NULL
470|1538|M|2|2012|5|54|13|85.2|91.1|399|440|NULL
2690|1540|E|1|2010|2|72|27.5|100|75|2|4|NULL
2690|1540|E|1|2010|3|52.5|40|100|100|2|3|NULL
2690|1540|E|1|2010|4|35|44|44.4|69.6|45|79|NULL
2690|1540|E|1|2010|5|42.5|34|62.1|87.9|58|91|NULL
2690|1540|E|2|2010|5|48|29|67.2|84.6|58|91|NULL
2690|1540|E|2|2010|2|98|28|100|66.7|1|4|NULL
2690|1540|E|2|2010|3|40|33|50|66.7|2|3|NULL
2690|1540|E|2|2010|4|38|37|60.5|70.5|43|79|NULL
2690|1540|E|1|2011|2|45|44.5|50|100|2|4|NULL
2690|1540|E|1|2011|3|69|62|100|75|1|4|NULL
2690|1540|E|1|2011|4|57.5|61.5|47.6|75|42|68|NULL
2690|1540|E|1|2011|5|50|39|63.6|87.8|55|82|NULL
2690|1540|E|2|2011|5|49|24|76.4|86.6|55|82|NULL
2690|1540|E|2|2011|2|38|19.5|100|100|2|4|NULL
2690|1540|E|2|2011|3|53|37|100|100|1|4|NULL
2690|1540|E|2|2011|4|49|36|57.1|73.1|42|67|NULL
2690|1540|E|1|2012|1|85|12|100|100|1|1|NULL
2690|1540|E|1|2012|2|59|15|100|100|3|6|NULL
2690|1540|E|1|2012|3|34|46|40|60|5|5|NULL
2690|1540|E|1|2012|4|43|50|57.1|68.4|35|57|NULL
2690|1540|E|1|2012|5|54|34|56.5|76.7|46|73|NULL
2690|1540|E|2|2012|1|74|9|100|100|1|1|NULL
2690|1540|E|2|2012|2|42|16|100|100|3|6|NULL
2690|1540|E|2|2012|3|35|33|40|60|5|5|NULL
2690|1540|E|2|2012|4|37.5|35|55.9|73.7|34|57|NULL
2690|1540|E|2|2012|5|30|24|58.7|82.2|46|73|NULL
470|1702|E|1|2010|2|50|32|66.7|88.9|6|18|NULL
470|1702|E|1|2010|3|8|51|0|33.3|1|3|NULL
470|1702|E|1|2010|4|27|38.5|33.3|100|6|10|NULL
470|1702|E|1|2010|5|56|31.5|70.1|88.4|154|232|NULL
470|1702|E|2|2010|5|54.5|22|78.3|90|152|231|NULL
470|1702|E|2|2010|2|45|27|83.3|94.4|6|18|NULL
470|1702|E|2|2010|3|21|52|0|0|1|3|NULL
470|1702|E|2|2010|4|50.5|45|50|80|6|10|NULL
470|1702|E|1|2011|2|70.5|40|75|100|12|19|NULL
470|1702|E|1|2011|3|24.5|76|0|33.3|2|3|NULL
470|1702|E|1|2011|4|34|54|33.3|72.7|9|11|NULL
470|1702|E|1|2011|5|54|44|55.2|87.2|125|211|NULL
470|1702|E|2|2011|5|68.5|23|86.3|90|124|211|NULL
470|1702|E|2|2011|2|54.5|23|100|94.7|12|19|NULL
470|1702|E|2|2011|3|28|62|0|33.3|2|3|NULL
470|1702|E|2|2011|4|65|40|62.5|72.7|8|11|NULL
470|1702|E|1|2012|1|27|26|33.3|100|3|4|NULL
470|1702|E|1|2012|2|71|21|100|95.5|15|22|NULL
470|1702|E|1|2012|3|72|17|100|100|1|5|NULL
470|1702|E|1|2012|4|49|51|50|69.2|6|13|NULL
470|1702|E|1|2012|5|66.5|34|77.1|88.2|118|195|NULL
470|1702|E|2|2012|1|62|34|100|100|3|4|NULL
470|1702|E|2|2012|2|54|14|80|86.4|15|22|NULL
470|1702|E|2|2012|3|80|17|100|100|1|5|NULL
470|1702|E|2|2012|4|49.5|42.5|16.7|69.2|6|13|NULL
470|1702|E|2|2012|5|65|19|89.9|90.7|119|194|NULL
1040|1718|E|1|2010|1|55|35|100|100|1|2|NULL
1040|1718|E|1|2010|2|78|33|90|96|20|25|NULL
1040|1718|E|1|2010|3|69|47|63.6|75|11|24|NULL
1040|1718|E|1|2010|4|73|46.5|80|83.3|10|24|NULL
1040|1718|E|1|2010|5|64.5|36.5|66.4|83.9|116|211|NULL
1040|1718|E|2|2010|4|42|30.5|60|95.8|10|24|NULL
1040|1718|E|2|2010|5|66|34|77.8|84.3|117|210|NULL
1040|1718|E|2|2010|1|21|28|0|100|1|2|NULL
1040|1718|E|2|2010|2|69.5|26.5|80|92|20|25|NULL
1040|1718|E|2|2010|3|83|47|63.6|72.7|11|22|NULL
1040|1718|E|2|2011|4|28.5|25.5|41.7|77.3|12|22|NULL
1040|1718|E|1|2011|3|52|43|44.4|68.8|9|16|NULL
1040|1718|E|1|2011|4|38|42|58.3|72.7|12|22|NULL
1040|1718|E|1|2011|5|63|42|70.4|90.4|115|188|NULL
1040|1718|E|1|2011|1|45|44|100|50|1|2|NULL
1040|1718|E|2|2011|5|60.5|27.5|76.3|87.4|114|190|NULL
1040|1718|E|2|2011|1|58|30|100|100|1|2|NULL
1040|1718|E|2|2011|2|74|15|88.2|100|17|25|NULL
1040|1718|E|2|2011|3|44|32|55.6|81.2|9|16|NULL
1040|1718|E|1|2011|2|60|28|76.5|100|17|25|NULL
1040|1718|E|1|2012|3|43.5|57|50|66.7|10|18|NULL
1040|1718|E|1|2012|4|40.5|38|58.3|66.7|12|27|NULL
1040|1718|E|1|2012|5|63|28|77.9|90.3|113|195|NULL
1040|1718|E|1|2012|1|16|68|0|0|1|1|NULL
1040|1718|E|1|2012|2|69|26|88.9|90.9|9|22|NULL
1040|1718|E|2|2012|1|7|47|0|0|1|1|NULL
1040|1718|E|2|2012|2|44|14|88.9|90.9|9|22|NULL
1040|1718|E|2|2012|3|68.5|39|90|77.8|10|18|NULL
1040|1718|E|2|2012|4|34.5|23.5|58.3|66.7|12|27|NULL
1040|1718|E|2|2012|5|52|22|80.5|88.1|113|194|NULL
470|1851|E|1|2010|1|33|47|0|100|1|1|NULL
470|1851|E|1|2010|2|66|34|80|100|5|7|NULL
470|1851|E|1|2010|3|27|74|0|0|1|3|NULL
470|1851|E|1|2010|4|30|49.5|41.3|63.6|46|66|NULL
470|1851|E|1|2010|5|57|40|64.3|83.1|56|77|NULL
470|1851|E|2|2010|1|50|24|100|100|1|1|NULL
470|1851|E|2|2010|2|46|39|80|85.7|5|7|NULL
470|1851|E|2|2010|3|82|71|100|0|1|3|NULL
470|1851|E|2|2010|4|32.5|52|34.1|47.8|44|67|NULL
470|1851|E|2|2010|5|53|33|63.6|84|55|75|NULL
470|1851|E|1|2011|3|19|56|0|83.3|1|6|NULL
470|1851|E|1|2011|4|43.5|67.5|20.5|53.1|44|64|NULL
470|1851|E|1|2011|5|45.5|46.5|40.5|74.6|42|67|NULL
470|1851|E|1|2011|2|80|48|80|100|5|9|NULL
470|1851|E|2|2011|2|83|27|80|62.5|5|8|NULL
470|1851|E|2|2011|3|9|70|0|83.3|1|6|NULL
470|1851|E|2|2011|4|38|49|32.6|34.4|43|64|NULL
470|1851|E|2|2011|5|53|30|72.5|76.1|40|67|NULL
470|1851|E|1|2012|3|23|70|20|20|5|5|NULL
470|1851|E|1|2012|4|38|63|28.6|65.2|35|66|NULL
470|1851|E|1|2012|5|46|37|36.4|71.4|33|56|NULL
470|1851|E|1|2012|2|38.5|56|33.3|85.7|6|7|NULL
470|1851|E|2|2012|2|71|41|60|66.7|5|6|NULL
470|1851|E|2|2012|3|36|43|20|40|5|5|NULL
470|1851|E|2|2012|4|24.5|60.5|26.7|38.5|30|65|NULL
470|1851|E|2|2012|5|55|28|63.6|75.4|33|57|NULL
1040|2201|E|1|2010|1|70.5|39.5|100|100|2|2|NULL
1040|2201|E|1|2010|2|67|31|78.9|93.3|19|30|NULL
1040|2201|E|1|2010|3|67|39|75|83.3|4|6|NULL
1040|2201|E|1|2010|4|63|35|88.9|85.7|9|14|NULL
1040|2201|E|1|2010|5|64|30|81.8|92|137|226|NULL
1040|2201|E|2|2010|5|64|20|83.2|95.6|137|226|NULL
1040|2201|E|2|2010|1|70.5|26.5|100|100|2|2|NULL
1040|2201|E|2|2010|2|66|25|73.7|93.3|19|30|NULL
1040|2201|E|2|2010|3|44.5|19.5|50|100|4|6|NULL
1040|2201|E|2|2010|4|67|15|88.9|100|9|14|NULL
1040|2201|E|1|2011|3|61.5|45|50|83.3|4|6|NULL
1040|2201|E|1|2011|4|64|34|71.4|76.5|7|17|NULL
1040|2201|E|1|2011|5|66|39|68.9|95.5|135|221|NULL
1040|2201|E|2|2011|5|52|21|82.2|93.2|135|221|NULL
1040|2201|E|1|2011|2|55.5|31.5|86.4|94.3|22|35|NULL
1040|2201|E|2|2011|2|54|21|81|91.4|21|35|NULL
1040|2201|E|2|2011|3|70|36|100|100|4|6|NULL
1040|2201|E|2|2011|4|51|15|71.4|82.4|7|17|NULL
1040|2201|E|1|2012|2|61|26|87|97.1|23|34|NULL
