DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|CONTENT_AREA|YEAR|GRADE|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
1040|1492|E|1|2010|4|70|39|76.8|88.8|69|80
1040|1492|E|1|2010|5|63|37|69.8|84.8|63|79
1040|1492|E|2|2010|4|67|27|81.2|91.1|69|79
1040|1492|E|2|2010|5|51|28|69.8|87.3|63|79
1040|1492|E|2|2011|4|75|28.5|82.8|84|64|75
1040|1492|E|2|2011|5|58|19|85.4|96.6|82|87
1040|1492|E|1|2011|4|76.5|54|81.2|89.3|64|75
1040|1492|E|1|2011|5|53|42|65.1|86.2|83|87
1040|1492|E|1|2012|4|65.5|36|75.7|92.9|74|85
1040|1492|E|1|2012|5|40.5|31.5|60|74.1|70|81
1040|1492|E|2|2012|4|63|24|84.9|96.4|73|84
1040|1492|E|2|2012|5|44|16.5|71.4|81.5|70|81
470|1538|E|1|2010|5|79|42|73.8|86.4|107|125
470|1538|E|1|2010|6|78|53|75.2|79.3|117|140
470|1538|M|2|2010|7|65|17.5|88.2|91|144|166
470|1538|M|2|2010|8|64|15|88.6|86.2|140|162
470|1538|E|2|2010|5|61|25|73.8|87|107|123
470|1538|E|2|2010|6|74|34|83.8|90.7|117|140
470|1538|M|1|2010|7|62|38|62.8|79.2|145|168
470|1538|M|1|2010|8|64|51.5|60.4|74.1|139|159
470|1538|E|2|2011|5|59.5|25|77.5|83.3|138|150
470|1538|E|2|2011|6|63|20|89.2|91.7|157|180
470|1538|M|1|2011|7|58|57|50.3|68.7|145|164
470|1538|M|1|2011|8|79|33|76.6|80.7|158|176
470|1538|E|1|2011|6|78|48|76.4|88.3|157|180
470|1538|M|2|2011|7|66|22|79.3|84|145|164
470|1538|M|2|2011|8|67|10|89.9|90.4|159|177
470|1538|E|1|2011|5|60|46|64.5|82.8|138|151
470|1538|M|1|2012|6|67|40|71.6|86.1|197|223
470|1538|M|1|2012|7|47|40|54.6|76.8|163|177
470|1538|M|1|2012|8|57.5|48|56.5|74.1|154|170
470|1538|M|2|2012|6|58|17|83.8|89.2|197|223
470|1538|M|2|2012|7|58|14|87.1|89.3|163|177
470|1538|M|2|2012|8|47.5|11|76.6|81.2|154|170
2690|1540|E|1|2010|4|34|36|50|85.3|62|68
2690|1540|E|1|2010|5|60|36|64.4|80.8|45|52
2690|1540|E|2|2010|4|42|36|60|77.6|60|68
2690|1540|E|2|2010|5|47|27|70.5|80.4|44|52
2690|1540|E|2|2011|4|44|32|48.9|64.6|45|48
2690|1540|E|2|2011|5|54|28|85.5|91.5|55|59
2690|1540|E|1|2011|4|47|58|44.4|73.5|45|49
2690|1540|E|1|2011|5|62|48|67.3|89.8|55|59
2690|1540|E|1|2012|4|32|35|48.9|69.4|45|49
2690|1540|E|1|2012|5|61|48|66.7|72.3|45|47
2690|1540|E|2|2012|4|35|26.5|63.6|77.6|44|49
2690|1540|E|2|2012|5|34|30|53.3|68.1|45|47
470|1702|E|1|2010|4|48|29|66.7|91.8|75|85
470|1702|E|1|2010|5|57.5|36|69.6|84.2|92|101
470|1702|E|2|2010|4|54|23|72.6|89.4|73|85
470|1702|E|2|2010|5|54.5|22|80.4|90.1|92|101
470|1702|E|2|2011|4|71|25.5|90|88|70|83
470|1702|E|2|2011|5|67|20|80.3|90.8|76|87
470|1702|E|1|2011|4|59|48.5|61.1|84.3|72|83
470|1702|E|1|2011|5|46|40.5|48.7|88.5|76|87
470|1702|E|1|2012|4|52|32|67.6|82.5|68|80
470|1702|E|1|2012|5|73|33|86.7|89.4|75|85
470|1702|E|2|2012|4|73|23|88.4|88.6|69|79
470|1702|E|2|2012|5|58|16|84|89.4|75|85
1040|1718|E|1|2010|4|79|37|81.7|87.5|71|80
1040|1718|E|1|2010|5|51|37|60.9|79.8|87|114
1040|1718|E|2|2010|4|59|33.5|69.4|84|72|81
1040|1718|E|2|2010|5|75|32|80.5|85.1|87|114
1040|1718|E|2|2011|4|60|28|72.6|87.8|73|82
1040|1718|E|2|2011|5|58|22.5|75|84|80|94
1040|1718|E|1|2011|4|60.5|42|68.9|89|74|82
1040|1718|E|1|2011|5|59|40|68.8|85.1|80|94
1040|1718|E|1|2012|4|73|35|82.5|94|63|84
1040|1718|E|1|2012|5|50|26|68.3|84.8|82|92
1040|1718|E|2|2012|4|57|24|81|84.3|63|83
1040|1718|E|2|2012|5|47.5|21.5|78|82.6|82|92
470|1851|E|1|2010|4|37|40|50.8|73.1|61|67
470|1851|E|1|2010|5|58.5|48.5|58.3|71.2|48|52
470|1851|E|2|2010|4|42|39|47.4|62.1|57|66
470|1851|E|2|2010|5|45|44|59.2|67.9|49|53
470|1851|E|2|2011|4|38|42|40.6|51.3|32|39
470|1851|E|2|2011|5|52|37|59.6|59.1|57|66
470|1851|E|1|2011|4|38.5|57.5|32.4|66.7|34|39
470|1851|E|1|2011|5|47|58.5|32.8|57.6|58|66
470|1851|E|1|2012|4|22.5|44|22.5|67.4|40|43
470|1851|E|1|2012|5|57|64|41|55.8|39|43
470|1851|E|2|2012|4|28|42|40|47.6|35|42
470|1851|E|2|2012|5|52|43.5|50|58.1|38|43
1040|2201|E|1|2010|4|64|32|81|93|79|86
1040|2201|E|1|2010|5|63.5|28.5|82.6|91.6|92|95
1040|2201|E|2|2010|4|62|20|74.7|93|79|86
1040|2201|E|2|2010|5|65.5|19.5|88|95.8|92|95
1040|2201|E|2|2011|4|51|28|76.7|91|86|100
1040|2201|E|2|2011|5|53|13|87.7|96.4|81|84
1040|2201|E|1|2011|4|54|41|63.2|94|87|100
1040|2201|E|1|2011|5|71|33|79|95.2|81|84
1040|2201|E|1|2012|4|54.5|35.5|70.9|92.3|86|91
1040|2201|E|1|2012|5|71|29|85.9|95.1|99|103
1040|2201|E|2|2012|4|52.5|26.5|73.3|85.7|86|91
1040|2201|E|2|2012|5|60|19|84.8|95.1|99|103
2690|2288|E|1|2010|4|20.5|46|18.8|48.7|32|39
2690|2288|E|1|2010|5|32|55|33.3|52.8|33|36
2690|2288|E|2|2010|4|29|38|36.4|53.8|33|39
2690|2288|E|2|2010|5|13|40|21.2|44.4|33|36
2690|2288|E|1|2011|4|36|62|20.5|52.3|39|44
2690|2288|E|1|2011|5|18|67|12.8|31.8|39|45
2690|2288|E|2|2011|4|46|47|46.2|52.3|39|44
2690|2288|E|2|2011|5|14.5|44|22.2|46.5|36|44
470|2335|E|1|2010|4|70.5|39|73.6|88.6|72|79
470|2335|E|1|2010|5|68.5|39|80.9|86.5|68|74
470|2335|E|2|2010|4|61|42.5|70.8|71.8|72|78
470|2335|E|2|2010|5|61.5|29.5|77.9|85.1|68|74
470|2335|E|2|2011|4|53.5|36|58.1|74.1|74|81
470|2335|E|2|2011|5|68.5|34.5|71.4|81.6|70|76
470|2335|E|1|2011|4|41|51|41.3|80.2|75|81
470|2335|E|1|2011|5|49.5|52|51.4|77.6|70|76
470|2335|E|1|2012|4|69|34|69|84.1|58|63
470|2335|E|1|2012|5|33.5|39|43.2|67.1|74|79
470|2335|E|2|2012|4|46|30|62.7|70.3|59|64
470|2335|E|2|2012|5|49|30.5|66.2|73.4|74|79
470|2339|E|1|2010|4|68.5|39.5|78.3|82.7|46|52
470|2339|E|1|2010|5|53|46|58.2|74.2|55|62
470|2339|E|2|2010|4|35|34|53.2|71.2|47|52
470|2339|E|2|2010|5|62|38|72.7|79.4|55|63
470|2339|E|2|2011|4|43|40|53.5|63.2|71|76
470|2339|E|2|2011|5|55|27|76.5|78.9|51|57
470|2339|E|1|2011|4|51|57|45.1|71.1|71|76
470|2339|E|1|2011|5|27|50|37.3|70.2|51|57
470|2339|E|1|2012|4|46|38|55.1|83.6|69|73
470|2339|E|1|2012|5|31|50|40.6|59.7|69|72
470|2339|E|2|2012|4|62|29|75.4|78.1|69|73
470|2339|E|2|2012|5|46|38|58|65.3|69|72
1040|2369|E|1|2010|4|26|39|29.9|75.5|87|102
1040|2369|E|1|2010|5|49|41|55.1|81|69|84
1040|2369|E|2|2010|4|40|32|60.9|74.5|87|102
1040|2369|E|2|2010|5|55|30|66.7|84.3|69|83
1040|2369|E|2|2011|4|61|31.5|75.4|79.7|65|80
1040|2369|E|2|2011|5|53|30|70.3|84.3|91|104
1040|2369|E|1|2011|4|34.5|50|39.4|73.8|66|80
1040|2369|E|1|2011|5|45|57.5|46.2|76.7|93|104
1040|2369|E|1|2012|4|49|39|58|81.8|69|88
1040|2369|E|1|2012|5|41|38.5|45.7|71.2|70|80
1040|2369|E|2|2012|4|52|25|68.7|79.8|67|89
1040|2369|E|2|2012|5|45|23|66.7|78.2|69|78
470|2496|E|1|2010|4|45|42|44.9|86|49|50
470|2496|E|1|2010|5|70|45|73.5|81.6|49|49
470|2496|E|2|2010|4|47|32|65.3|84|49|50
470|2496|E|2|2010|5|64.5|30.5|84|86|50|50
470|2496|M|2|2010|6|55|34|76.6|90|47|50
470|2496|M|2|2010|7|67|22|85.1|83.7|47|49
470|2496|M|2|2010|8|75|13|85.1|86|47|50
470|2496|M|1|2010|6|82|63|80.9|82|47|50
470|2496|M|1|2010|7|65|62|63.8|81.6|47|49
470|2496|M|1|2010|8|84|52|74.5|82|47|50
470|2496|E|1|2011|5|85|56.5|85.4|94.2|48|52
470|2496|M|2|2011|6|49.5|21|78|85.2|50|54
470|2496|M|1|2011|8|81|51|68.1|75|47|52
470|2496|E|2|2011|4|46|33|67.3|69.2|49|52
470|2496|E|1|2011|4|56|59|57.1|75|49|52
470|2496|M|1|2011|6|58.5|50.5|60|74.1|50|54
470|2496|M|1|2011|7|52|71.5|44|56.6|50|53
470|2496|M|2|2011|7|64.5|27|80|84.9|50|53
470|2496|E|2|2011|5|71.5|24.5|85.4|94.2|48|52
470|2496|M|2|2011|8|71|14|89.4|84.6|47|52
470|2496|M|1|2012|7|80|43|75.6|86|45|50
470|2496|M|1|2012|8|83|60|71.4|76.9|49|52
470|2496|E|1|2012|5|74|48|80.4|76.9|51|52
470|2496|E|2|2012|4|62|30.5|74.2|80|66|75
470|2496|E|2|2012|5|74|23|86.3|88.5|51|52
470|2496|E|1|2012|4|59.5|47|60.3|89.3|68|75
470|2496|M|1|2012|6|55|43|63.3|78.8|49|52
470|2496|M|2|2012|6|72|17|93.9|94.2|49|52
470|2496|M|2|2012|7|77|16|95.5|95.9|44|49
470|2496|M|2|2012|8|53|14|89.8|92.3|49|52
1040|2607|H|1|2010|10|56.5|70|44|43.3|368|398
1040|2607|H|1|2010|9|64|65|47.4|54.6|293|336
1040|2607|H|2|2010|10|49|2|88.7|89.1|364|397
1040|2607|H|2|2010|9|64|7|88.7|90.7|291|335
1040|2607|H|2|2011|10|58|3|93.7|91.9|300|345
1040|2607|H|2|2011|9|56|8|88.2|90.1|271|315
1040|2607|H|1|2011|10|68|61|55.1|52.6|301|346
1040|2607|H|1|2011|9|66.5|54|59.6|65.4|272|315
1040|2607|H|1|2012|10|56|41|54.5|53.4|290|328
1040|2607|H|1|2012|9|56|57|47|55.4|249|303
1040|2607|H|2|2012|10|51|2|89.5|88.6|287|325
1040|2607|H|2|2012|9|54|4|88.8|89.4|249|303
2690|2683|E|1|2010|4|34|40|38.8|72.9|67|70
2690|2683|E|1|2010|5|24|42|31|63.9|58|61
2690|2683|E|2|2010|4|37|41|53.7|68.1|67|69
2690|2683|E|2|2010|5|39|35|50|63.9|58|61
2690|2683|E|2|2011|4|57|37|60.9|73.8|64|65
2690|2683|E|2|2011|5|43|35|55.6|64.4|54|59
2690|2683|E|1|2011|4|33.5|55|40.6|73.8|64|65
2690|2683|E|1|2011|5|17|57|7.4|52.5|54|59
2690|2683|E|1|2012|4|59|48|66.7|94.9|36|39
2690|2683|E|1|2012|5|25|48|32.2|59.3|59|59
2690|2683|E|2|2012|4|51.5|31.5|61.1|69.2|36|39
2690|2683|E|2|2012|5|28|31|52.5|72.9|59|59
1040|2905|E|1|2010|4|57|38|72.7|89.1|55|64
1040|2905|E|1|2010|5|41.5|39|51.2|76.5|80|85
1040|2905|E|2|2010|4|66|29|78.2|87.5|55|64
1040|2905|E|2|2010|5|45|24|67.5|90.7|80|86
1040|2905|E|2|2011|4|64|27|75.9|87.5|58|64
1040|2905|E|2|2011|5|41|19.5|71.9|87.5|64|72
1040|2905|E|1|2011|4|66.5|50|70.7|85.9|58|64
1040|2905|E|1|2011|5|67.5|47.5|70.3|86.1|64|72
1040|2905|E|1|2012|4|49|33|62.3|89.8|53|59
1040|2905|E|1|2012|5|59|37|62.5|80.6|64|67
1040|2905|E|2|2012|4|54|23|77.4|86.4|53|59
1040|2905|E|2|2012|5|49|17|75|80.6|64|67
470|2912|E|1|2010|4|43.5|51|36.8|66.3|76|92
470|2912|E|1|2010|5|21|59|19.4|41.8|67|79
470|2912|E|2|2010|4|48.5|49|56.7|50.5|60|91
470|2912|E|2|2010|5|31|45|35.4|50.6|65|79
470|2912|E|2|2011|4|48|44|58.5|54.4|53|79
470|2912|E|2|2011|5|40|46|51.2|55.6|84|90
470|2912|E|1|2011|4|49|63|37.5|66.7|72|78
470|2912|E|1|2011|5|29|69|14.5|48.9|83|88
470|2912|E|1|2012|4|32|58|27.4|56.5|62|69
470|2912|E|1|2012|5|30.5|63.5|20.8|44.9|72|78
470|2912|E|2|2012|4|57|44|61.7|57.1|47|70
470|2912|E|2|2012|5|38|44|44.4|46.2|72|78
470|2956|M|1|2010|6|64|66|53.8|57|210|250
470|2956|M|1|2010|7|63|71|41.3|54|223|249
470|2956|M|1|2010|8|60|83|35.4|43|223|263
470|2956|M|2|2010|8|41|28|58.3|59.7|223|263
470|2956|M|2|2010|6|45|39|60.2|62.9|211|252
470|2956|M|2|2010|7|56|39|66.4|60.9|223|248
470|2956|M|1|2011|7|52|76|31.8|41.2|233|262
470|2956|M|1|2011|6|56|72|39.2|52.5|217|240
470|2956|M|2|2011|6|49.5|40.5|58.3|61.2|218|240
470|2956|M|1|2011|8|62|74|40.7|47.7|216|241
470|2956|M|2|2011|8|59|32.5|67.1|62.2|216|241
470|2956|M|2|2011|7|66|39|71.2|71|233|262
470|2956|M|1|2012|7|45|74|27.1|44|199|218
470|2956|M|1|2012|8|44|78|23|42.2|222|256
470|2956|M|1|2012|6|57|66|46.1|60.3|245|272
470|2956|M|2|2012|6|50|35|61.7|69.1|243|269
470|2956|M|2|2012|7|48|35.5|56.5|56.9|216|239
470|2956|M|2|2012|8|44|24|61.9|62.7|223|255
1040|3031|E|1|2010|4|49|37|61.5|88.9|218|235
1040|3031|E|1|2010|5|44|39|53.2|86.3|216|226
1040|3031|E|1|2010|6|68|49|74.6|84.2|209|215
1040|3031|E|2|2010|6|74|28|88.5|92.1|209|215
1040|3031|E|2|2010|4|52|34|70.2|83.3|218|235
1040|3031|E|2|2010|5|58.5|31|75|85|216|226
1040|3031|E|1|2011|5|50|51.5|43.8|81.4|217|222
1040|3031|E|1|2011|4|46|48|50.2|89.2|221|232
1040|3031|E|2|2011|4|54|29|74.2|90.5|221|232
1040|3031|E|1|2011|6|61|54|59.5|82|205|206
1040|3031|E|2|2011|6|68|21|87.3|93.2|205|206
1040|3031|E|2|2011|5|56.5|25|75.7|88.6|214|222
1040|3031|E|1|2012|5|54|34|66.7|82.5|219|223
1040|3031|E|1|2012|6|62|50|61.4|82.8|202|209
1040|3031|E|1|2012|4|52.5|36|62.2|92.1|230|239
1040|3031|E|2|2012|4|53|27|75.2|84.9|230|239
1040|3031|E|2|2012|5|59|21.5|83.6|89.3|220|224
1040|3031|E|2|2012|6|60|18|84.6|91.4|201|209
1040|3115|E|1|2011|4|43|51.5|48|80|25|41
1040|3115|E|1|2011|5|57.5|60|50|75.9|22|29
1040|3115|E|2|2011|4|67|36|76|79.5|25|40
1040|3115|E|2|2011|5|45|21.5|68.2|89.7|22|29
1040|3115|E|1|2012|4|54|46|65.5|84.6|29|39
1040|3115|E|1|2012|5|67|38.5|75|83.9|40|56
1040|3115|E|2|2012|4|55|27|79.3|87.2|29|39
1040|3115|E|2|2012|5|67.5|22.5|90|85.7|40|56
2690|3232|E|1|2010|4|64.5|42|64.7|80.6|34|36
2690|3232|E|1|2010|5|36|37.5|46.9|87.9|32|33
2690|3232|E|2|2010|4|68|39|70.6|76.3|34|38
2690|3232|E|2|2010|5|43.5|33|63.3|83.9|30|31
2690|3232|E|2|2011|4|34|40|48.6|55.3|35|38
2690|3232|E|2|2011|5|16.5|34.5|40.6|56.2|32|32
2690|3232|E|1|2011|4|64|57|62.9|71.1|35|38
2690|3232|E|1|2011|5|16|58.5|18.8|53.1|32|32
2690|3232|E|1|2012|4|80|51.5|72.2|86.5|36|37
2690|3232|E|1|2012|5|13|48|22.6|34.4|31|32
2690|3232|E|2|2012|4|66.5|49.5|80.6|78.4|36|37
2690|3232|E|2|2012|5|21|39|28.1|40.6|32|32
1040|3312|E|1|2010|4|50|40|62.3|84.2|106|120
1040|3312|E|1|2010|5|71|44|69.4|83.3|72|84
1040|3312|E|2|2010|4|66|27.5|80.2|89.1|106|119
1040|3312|E|2|2010|5|63|27|84.1|89.2|69|84
1040|3312|E|2|2011|4|64.5|28|77.1|85.4|96|103
1040|3312|E|2|2011|5|54.5|24|63|86.5|46|52
1040|3312|E|1|2011|4|60.5|50.5|54.2|86.4|96|103
1040|3312|E|1|2011|5|60|61|60|76.5|45|51
1040|3312|E|1|2012|4|57.5|43|62.8|85.3|94|102
1040|3312|E|1|2012|5|60|56|61.8|74.6|55|63
1040|3312|E|2|2012|4|60|25|84.8|89.1|92|101
1040|3312|E|2|2012|5|49|28|70.9|79.4|55|63
470|3325|H|1|2010|10|52|87|39.5|37.3|299|329
470|3325|H|1|2010|9|55|80|34.5|43.3|290|321
470|3325|H|2|2010|10|56|5|80.1|77.8|301|328
470|3325|H|2|2010|9|54|16|71.4|71.6|287|321
470|3325|H|2|2011|10|55|11|72.5|69.6|291|313
470|3325|H|2|2011|9|52.5|20|65.3|65.1|268|295
470|3325|H|1|2011|10|50|88|38|35.5|292|313
470|3325|H|1|2011|9|53|85.5|29|35.2|269|295
470|3325|H|1|2012|10|52|97|30.4|29.5|257|275
470|3325|H|1|2012|9|51.5|88.5|35|40.6|266|288
470|3325|H|2|2012|10|41|6|72|71.8|257|273
470|3325|H|2|2012|9|45|17|63.5|64.6|266|288
2690|3620|E|1|2010|4|29|37|41.5|89.1|41|55
2690|3620|E|1|2010|5|14|47|14.3|58.2|49|55
2690|3620|E|2|2010|4|30|34|51.2|72.7|41|55
2690|3620|E|2|2010|5|22|41|25|54.7|48|55
2690|3620|M|2|2010|6|26.5|35.5|27.8|56.4|36|39
2690|3620|M|2|2010|7|47|30|64|61.5|25|27
2690|3620|M|2|2010|8|29.5|30|50|69.6|22|23
2690|3620|M|1|2010|6|24|53.5|22.2|45|36|40
2690|3620|M|1|2010|7|41|63|29.2|59.3|24|27
2690|3620|M|1|2010|8|12.5|71.5|13.6|34.8|22|23
2690|3620|E|1|2011|5|54|56|48.9|83.3|47|48
2690|3620|M|2|2011|6|40.5|47|42.1|45|38|40
2690|3620|M|1|2011|8|29|77.5|13.6|31.8|22|22
2690|3620|E|2|2011|4|7|30|16.3|42.3|49|52
2690|3620|E|1|2011|4|36|54|30.6|69.2|49|52
2690|3620|M|1|2011|6|40.5|69.5|22.5|45|40|40
2690|3620|M|1|2011|7|37|78.5|15|20|20|20
2690|3620|M|2|2011|7|45|41|52.4|61.9|21|21
2690|3620|E|2|2011|5|49|36|53.2|62.5|47|48
2690|3620|M|2|2011|8|37|28|61.9|54.5|21|22
2690|3620|M|1|2012|7|59|77|27.8|45|18|20
2690|3620|M|1|2012|8|88|82.5|56.2|58.8|16|17
2690|3620|E|1|2012|5|21|56|12.8|37|39|46
2690|3620|E|2|2012|4|35.5|48|34.8|45.8|46|48
2690|3620|E|2|2012|5|31|44|30.8|39.1|39|46
2690|3620|E|1|2012|4|49|53|48.9|68.8|47|48
2690|3620|M|1|2012|6|73|53|84.2|75|19|20
2690|3620|M|2|2012|6|53|26|68.4|75|19|20
2690|3620|M|2|2012|7|58.5|49.5|72.2|65|18|20
2690|3620|M|2|2012|8|34.5|23|81.2|88.2|16|17
2690|3719|E|1|2010|4|56|54|48.7|63.6|39|44
2690|3719|E|1|2010|5|79|47|81.8|86.5|33|37
2690|3719|E|2|2010|4|50|52|36.8|54.5|38|44
2690|3719|E|2|2010|5|69|33|72.7|86.5|33|37
2690|3719|E|2|2011|4|57|38|70.3|75.6|37|41
2690|3719|E|2|2011|5|58|47|60|71.7|40|46
2690|3719|E|1|2011|4|53|55|45.9|75.6|37|41
2690|3719|E|1|2011|5|58.5|70.5|35|60.9|40|46
2690|3719|E|1|2012|4|42|56|39|70.2|41|47
2690|3719|E|1|2012|5|37|56|38.3|50|47|50
2690|3719|E|2|2012|4|27.5|38|45|63.8|40|47
2690|3719|E|2|2012|5|38.5|36|45.8|66.7|48|51
2690|3818|H|1|2010|10|34|99|16.4|14.8|214|238
2690|3818|H|1|2010|9|30|98|7|12|287|333
2690|3818|H|2|2010|10|31|15|60.8|56|212|235
2690|3818|H|2|2010|9|40|38|55.3|53.8|284|333
2690|3818|H|2|2011|10|42|26|62.9|58.9|232|269
2690|3818|H|2|2011|9|44|39|53.7|52.9|244|315
2690|3818|H|1|2011|10|32.5|99|7.7|7.7|234|272
2690|3818|H|1|2011|9|40|98|13.5|20.9|245|314
