DISTRICT_NUMBER|CONTENT_AREA|YEAR|GRADE|ETHNICITY|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|2|2010|9|2|59|7|71.4|75.5|49|53
470|2|2010|9|3|56.5|19.5|62.5|55|16|20
470|2|2010|9|4|47|59|41.8|38.8|388|456
470|2|2010|9|5|49|9|79.6|80.8|1084|1296
470|2|2011|10|1|59|15|63.2|66.7|19|21
470|2|2011|10|2|59|3|75.6|72.5|45|51
470|2|2011|10|3|60|21|66.7|61.1|15|18
470|2|2011|10|4|56|69|46.5|46|353|402
470|2|2011|10|5|53|5|83|81.6|1147|1242
470|2|2011|4|1|53|47.5|58.3|57.1|12|14
470|2|2011|4|2|55.5|32.5|77.8|78|72|82
470|2|2011|4|3|35|44.5|41.7|57.1|12|14
470|2|2011|4|4|40|50|38|35.7|263|488
470|2|2011|4|5|51.5|34|64.7|77.7|1040|1179
470|2|2011|5|1|20|38|33.3|60|9|10
470|2|2011|5|2|64.5|33|80|87.9|60|67
470|2|2011|5|3|28|42|47.1|72.7|17|22
470|2|2011|5|4|51|60|42.9|43.2|475|529
470|2|2011|5|5|59|29|74.1|81.3|1090|1205
470|2|2011|6|1|38.5|22.5|66.7|76.5|12|17
470|2|2011|6|2|74|24|76.5|80|51|55
470|2|2011|6|3|45|46.5|55.6|61.9|18|21
470|2|2011|6|4|53|58|45.6|42.8|421|471
470|2|2011|6|5|56|22|77.8|83|1057|1195
470|2|2011|7|1|53|18|76.9|85.7|13|14
470|2|2011|7|2|75|27|87.7|83.6|57|67
470|2|2011|7|3|70|28|81.5|82.8|27|29
470|2|2011|7|4|60|55|52.9|45.3|382|424
470|2|2011|7|5|59|24|76.6|80.8|1047|1168
470|2|2011|8|1|57|23|53.3|63.2|15|20
470|2|2011|8|2|60.5|20.5|72.7|63.8|44|47
470|2|2011|8|3|53|36.5|54.2|63.3|24|30
470|2|2011|8|4|54|61|48.6|43.5|407|440
470|2|2011|8|5|60|15|82.4|82.5|1042|1140
470|2|2011|9|1|58.5|22.5|75|77.8|16|18
470|2|2011|9|2|71|15.5|87.2|85.7|47|57
470|2|2011|9|3|52|17|68.4|78.3|19|23
470|2|2011|9|4|54.5|59|46|43.9|420|486
470|2|2011|9|5|56|10|81.8|83.6|1110|1294
470|2|2012|10|1|52|8|86.7|81.2|15|16
470|2|2012|10|2|53|3.5|90.7|87.9|54|58
470|2|2012|10|3|55|4|84.2|84|19|25
470|2|2012|10|4|45.5|41.5|50.8|49.8|388|420
470|2|2012|10|5|46|2|85.7|85.1|1155|1247
470|2|2012|4|1|41|34|64.7|61.9|17|21
470|2|2012|4|2|62.5|29.5|77.1|81.4|48|59
470|2|2012|4|3|58|40|57.1|66.7|21|24
470|2|2012|4|4|43|52|43.5|37.8|301|524
470|2|2012|4|5|57|28|70.6|76.9|1101|1252
470|2|2012|5|1|54|49|46.2|56.2|13|16
470|2|2012|5|2|69.5|25|80.8|84.3|78|83
470|2|2012|5|3|37|43|45.5|64.3|11|14
470|2|2012|5|4|51|56|46|43.5|461|508
470|2|2012|5|5|55|27|73.1|79.9|1085|1208
470|2|2012|6|1|30|42|36.4|50|11|12
470|2|2012|6|2|58|19.5|82.8|85.9|64|71
470|2|2012|6|3|39|35|52.6|71.4|19|21
470|2|2012|6|4|52|56|47.6|46.5|492|544
470|2|2012|6|5|57|21.5|76.5|84.2|1116|1281
470|2|2012|7|1|62|23.5|68.8|68.8|16|16
470|2|2012|7|2|71|16.5|79.6|81|54|58
470|2|2012|7|3|78|35.5|78.6|70|14|20
470|2|2012|7|4|50|54|49.1|41.2|434|480
470|2|2012|7|5|57|18|80.3|81.6|1104|1213
470|2|2012|8|1|53|8|77.8|90.9|9|11
470|2|2012|8|2|61|14|83.1|81.2|65|69
470|2|2012|8|3|48|18|66.7|71|27|31
470|2|2012|8|4|47|48|51|44.1|384|431
470|2|2012|8|5|51|14|77.4|80.2|1087|1194
470|2|2012|9|1|71|18.5|81.2|82.4|16|17
470|2|2012|9|2|64|11|71.7|70.7|46|58
470|2|2012|9|3|61.5|17|75|66.7|24|27
470|2|2012|9|4|49|51|51.3|46|394|435
470|2|2012|9|5|49|5|82.1|83.2|1047|1200
1040|1|2010|10|1|76.5|90.5|50|43.8|12|16
1040|1|2010|10|2|71|42|63.1|64.8|65|71
1040|1|2010|10|3|43.5|99|11.5|20.6|52|68
1040|1|2010|10|4|52.5|92|33|30.6|94|111
1040|1|2010|10|5|61|71|46.1|45.2|1279|1414
1040|1|2010|4|1|47.5|52|37.5|64.3|8|14
1040|1|2010|4|2|56|35|69|90.8|100|109
1040|1|2010|4|3|51.5|51.5|47.9|73.7|48|57
1040|1|2010|4|4|48|44|48.5|73|99|122
1040|1|2010|4|5|58|37|68.4|87.6|1066|1235
1040|1|2010|5|1|61.5|49|70|92.3|10|13
1040|1|2010|5|2|59|34|66.7|87.7|51|57
1040|1|2010|5|3|44.5|50|51.7|70.1|58|77
1040|1|2010|5|4|52|46.5|58.5|68.6|94|118
1040|1|2010|5|5|53|37|62.5|84.8|1106|1273
1040|1|2010|6|1|48.5|57.5|41.7|46.7|12|15
1040|1|2010|6|2|56.5|27.5|68.3|91.5|60|71
1040|1|2010|6|3|52|64|37|52.4|54|64
1040|1|2010|6|4|52|54|50.4|69.1|127|152
1040|1|2010|6|5|57|45|63.4|79.8|1148|1320
1040|1|2010|7|1|35|70.5|20|53.8|10|13
1040|1|2010|7|2|57|47|59.7|75.9|67|83
1040|1|2010|7|3|51.5|73|29.6|42.2|54|64
1040|1|2010|7|4|58.5|67|36.4|54.7|88|117
1040|1|2010|7|5|55|54|51.2|74.7|1166|1358
1040|1|2010|8|1|23|60|25|52.6|16|19
1040|1|2010|8|2|52|44|60|77.1|60|70
1040|1|2010|8|3|45|93|16.3|34|43|53
1040|1|2010|8|4|46.5|73|30|50.4|90|115
1040|1|2010|8|5|50|56|46.4|69.1|1195|1338
1040|1|2010|9|1|73.5|86|50|53.3|12|15
1040|1|2010|9|2|62.5|48.5|55.7|63.8|88|94
1040|1|2010|9|3|46|84.5|19|26.4|58|72
1040|1|2010|9|4|52|80|26.5|36|102|125
1040|1|2010|9|5|58|60|47.1|58.3|1226|1431
1040|1|2011|10|1|73|95.5|35.7|40|14|15
1040|1|2011|10|2|63|36|62.7|60.6|83|94
1040|1|2011|10|3|60|98.5|27.3|25|66|76
1040|1|2011|10|4|48|91|31.8|27.6|110|130
1040|1|2011|10|5|56|57|51.6|50|1290|1450
1040|1|2011|4|1|42|56|60|62.5|5|8
1040|1|2011|4|2|57|48|72.9|89.1|59|64
1040|1|2011|4|3|35|59|31.2|59.7|64|77
1040|1|2011|4|4|38|54|34|73.8|103|122
1040|1|2011|4|5|55|50|57.6|88.4|1074|1247
1040|1|2011|5|1|41.5|60|25|69.2|12|13
1040|1|2011|5|2|61|42|71.1|91.6|97|107
1040|1|2011|5|3|64|63|44.7|62.1|47|58
1040|1|2011|5|4|50|60|41.7|61|103|123
1040|1|2011|5|5|56|48|57.1|84.3|1107|1250
1040|1|2011|6|1|66|66|40|86.7|10|15
1040|1|2011|6|2|58.5|38|68|83.1|50|65
1040|1|2011|6|3|46|67|37.7|55.1|61|70
1040|1|2011|6|4|44.5|61.5|37.5|61.3|96|119
1040|1|2011|6|5|52|50|52.4|79|1139|1330
1040|1|2011|7|1|49|83|33.3|41.2|15|17
1040|1|2011|7|2|61|32|74.2|82.6|62|69
1040|1|2011|7|3|37|79.5|14|29.3|50|58
1040|1|2011|7|4|45|69|24.6|49.4|138|160
1040|1|2011|7|5|52.5|58|46.8|64.6|1186|1346
1040|1|2011|8|1|48|69|11.1|55.6|9|9
1040|1|2011|8|2|51|34|58.6|75.3|70|85
1040|1|2011|8|3|47|77|23.6|35.4|55|65
1040|1|2011|8|4|43|73.5|33|45|103|121
1040|1|2011|8|5|47|48|48.8|66.5|1243|1386
1040|1|2011|9|1|39|62|46.2|46.7|13|15
1040|1|2011|9|2|60|31.5|63.2|72.7|68|77
1040|1|2011|9|3|45|96.5|18.6|30.8|43|53
1040|1|2011|9|4|48|79|30.7|38.1|101|118
1040|1|2011|9|5|58|55|52.4|60.5|1212|1409
1040|1|2012|10|1|65|77|33.3|26.7|12|15
1040|1|2012|10|2|60|12|63.4|62.4|71|85
1040|1|2012|10|3|54|99|16.3|17.5|43|57
1040|1|2012|10|4|47|95|29.1|27|103|122
1040|1|2012|10|5|56|48|52.7|51.6|1251|1366
1040|1|2012|4|1|63|38|63.6|83.3|11|12
1040|1|2012|4|2|63.5|36|77.2|90.5|92|105
1040|1|2012|4|3|56|55|48|65.2|50|66
1040|1|2012|4|4|48.5|50|57.7|79.4|104|131
1040|1|2012|4|5|56|37|66.6|88.4|1086|1260
1040|1|2012|5|1|48.5|25|50|80|6|10
1040|1|2012|5|2|67|30|70.9|84.4|55|64
1040|1|2012|5|3|57|63|49.1|58.1|53|62
1040|1|2012|5|4|57|46.5|59.3|65.6|108|128
1040|1|2012|5|5|58|33|69.9|83.3|1140|1278
1040|1|2012|6|1|54.5|51|40|66.7|10|12
1040|1|2012|6|2|53|36|59.2|87.8|98|123
1040|1|2012|6|3|55|64|41.5|59.2|53|71
1040|1|2012|6|4|43|59|33.7|56.7|98|134
1040|1|2012|6|5|54|44|57.6|80.3|1139|1330
1040|1|2012|7|1|62.5|74.5|41.7|73.3|12|15
1040|1|2012|7|2|62|38|63.2|81.9|57|72
1040|1|2012|7|3|54|77|38.6|51.4|57|72
1040|1|2012|7|4|63|68|44.2|59.8|104|122
1040|1|2012|7|5|55|55.5|53.1|75.7|1208|1375
1040|1|2012|8|1|54|90|26.7|31.2|15|16
1040|1|2012|8|2|58|24|62.3|78.9|61|71
1040|1|2012|8|3|54.5|85.5|22|39.3|50|61
1040|1|2012|8|4|52|69.5|34.9|53.7|146|177
1040|1|2012|8|5|48|54|46.6|68.3|1242|1380
1040|1|2012|9|1|22|78|27.3|42.9|11|14
1040|1|2012|9|2|63|48|58|67.5|69|83
1040|1|2012|9|3|56|96|12.3|17.3|57|75
1040|1|2012|9|4|57|91|29.7|37.2|101|145
1040|1|2012|9|5|55|63|47.2|54.9|1265|1496
1040|2|2010|10|1|76|23|76.9|70.6|13|17
1040|2|2010|10|2|54|1|92.3|91.5|65|71
1040|2|2010|10|3|54.5|6|73.1|73.5|52|68
1040|2|2010|10|4|51.5|4.5|77.7|77.5|94|111
1040|2|2010|10|5|52.5|2|89.4|89.2|1274|1413
1040|2|2010|4|1|21.5|42|16.7|57.1|6|14
1040|2|2010|4|2|54.5|28|69|88.1|100|109
1040|2|2010|4|3|44|41|51.1|68.4|45|57
1040|2|2010|4|4|48|42|56.7|71.3|97|122
1040|2|2010|4|5|58|32|74.8|85.6|1066|1233
1040|2|2010|5|1|73.5|42|80|76.9|10|13
1040|2|2010|5|2|67|30|85.7|94.6|49|56
1040|2|2010|5|3|49|35|56.1|68.4|57|77
1040|2|2010|5|4|50.5|35|70.2|78|94|118
1040|2|2010|5|5|55|27|74.1|86.8|1104|1274
1040|2|2010|6|1|69|38|66.7|66.7|12|15
1040|2|2010|6|2|57|20.5|86.7|91.4|60|71
1040|2|2010|6|3|57|35|58.2|71.9|55|64
1040|2|2010|6|4|51|32|69.3|82.2|127|152
1040|2|2010|6|5|59|24|80.6|88|1150|1320
1040|2|2010|7|1|46.5|30.5|70|69.2|10|13
1040|2|2010|7|2|56|23|74.6|83.1|67|83
1040|2|2010|7|3|52.5|37.5|70.4|65.6|54|64
1040|2|2010|7|4|48|29|64|70.1|86|118
1040|2|2010|7|5|55|21.5|81.1|88.2|1162|1359
1040|2|2010|8|1|67.5|23.5|75|73.7|16|19
1040|2|2010|8|2|56|16.5|79.7|85.3|59|70
1040|2|2010|8|3|51|30|65.9|56.9|41|52
1040|2|2010|8|4|39.5|25.5|67|69|88|115
1040|2|2010|8|5|54|14|81.3|85.6|1195|1337
1040|2|2010|9|1|50.5|9.5|75|86.7|12|15
1040|2|2010|9|2|67.5|9|85.2|85.1|88|94
1040|2|2010|9|3|50|16|75.4|79.2|57|72
1040|2|2010|9|4|46|11|80.2|80.8|101|125
1040|2|2010|9|5|55|6|87.5|89.2|1220|1431
1040|2|2011|10|1|61|3|92.3|92.9|13|14
1040|2|2011|10|2|65|5|85.5|84|83|94
1040|2|2011|10|3|47|11|78.5|76|65|75
1040|2|2011|10|4|54|8|78.9|75.2|109|128
1040|2|2011|10|5|50|3|89.5|88.7|1287|1446
1040|2|2011|4|1|60|31|80|62.5|5|8
1040|2|2011|4|2|53.5|28|73.2|87.3|56|64
1040|2|2011|4|3|35|37|54|63.2|63|76
1040|2|2011|4|4|43|36|52.9|69.7|102|123
1040|2|2011|4|5|60|30|76.8|86.9|1066|1246
1040|2|2011|5|1|47|32.5|41.7|61.5|12|13
1040|2|2011|5|2|56|20|83.5|91.6|97|107
1040|2|2011|5|3|50|37|61.7|65.5|47|58
1040|2|2011|5|4|48.5|33|65.7|72.1|102|123
1040|2|2011|5|5|52|23|74.2|88|1104|1252
1040|2|2011|6|1|59.5|25|70|78.6|10|14
1040|2|2011|6|2|72|17|85.7|87.7|49|65
1040|2|2011|6|3|53|37|61|62.3|59|69
1040|2|2011|6|4|51|27|75|76.5|96|119
1040|2|2011|6|5|53.5|19|79.3|87.5|1134|1331
1040|2|2011|7|1|63|33|66.7|64.7|15|17
1040|2|2011|7|2|48|20|82|91.3|61|69
1040|2|2011|7|3|57|35|66|63.2|50|57
1040|2|2011|7|4|52|31|67.9|74.8|137|159
1040|2|2011|7|5|49|21|74.6|83.6|1184|1346
1040|2|2011|8|1|33|18|55.6|77.8|9|9
1040|2|2011|8|2|49|11|81.4|83.5|70|85
1040|2|2011|8|3|43|33|63.6|63.1|55|65
1040|2|2011|8|4|47|26|66.7|72.3|102|120
1040|2|2011|8|5|49|12|80.2|86.7|1240|1386
1040|2|2011|9|1|36|7|76.9|86.7|13|15
1040|2|2011|9|2|53.5|7.5|86.4|87|66|77
1040|2|2011|9|3|46|22|61|62.7|41|53
1040|2|2011|9|4|42|19|69.1|75.9|97|118
1040|2|2011|9|5|49|7|85.3|88.6|1208|1408
1040|2|2012|10|1|74.5|5.5|83.3|80|12|15
1040|2|2012|10|2|50|2|87.3|87.1|71|85
1040|2|2012|10|3|56|10|69.8|67.2|43|58
1040|2|2012|10|4|54.5|6|78.4|77.7|102|121
1040|2|2012|10|5|54|2|91.2|90.4|1242|1363
1040|2|2012|4|1|55|32|72.7|81.8|11|11
1040|2|2012|4|2|49|23|70.7|81.9|92|105
1040|2|2012|4|3|50|37|66.7|68.2|51|66
1040|2|2012|4|4|50|33|65.3|75.2|101|129
1040|2|2012|4|5|54|27|73.9|84.9|1083|1261
1040|2|2012|5|1|82|20|83.3|90|6|10
1040|2|2012|5|2|52|21.5|79.6|87.5|54|64
1040|2|2012|5|3|57|32|67.9|59.7|53|62
1040|2|2012|5|4|52|34|64.8|69.5|108|128
1040|2|2012|5|5|54|21|79.2|86.3|1138|1279
1040|2|2012|6|1|58|27|80|66.7|10|12
1040|2|2012|6|2|48|13|85.7|86.9|98|122
1040|2|2012|6|3|56|37|67.9|71.8|53|71
1040|2|2012|6|4|42|28|58.8|69.4|97|134
1040|2|2012|6|5|53|17|80.7|89.7|1136|1327
1040|2|2012|7|1|31|21|50|73.3|12|15
1040|2|2012|7|2|51|13|80.7|86.1|57|72
1040|2|2012|7|3|42|28|64.9|65.3|57|72
1040|2|2012|7|4|47.5|21|72.5|74.2|102|120
1040|2|2012|7|5|52|17|80.7|85.5|1205|1375
1040|2|2012|8|1|60|27|66.7|56.2|15|16
1040|2|2012|8|2|63|11|90.2|93|61|71
1040|2|2012|8|3|44.5|24.5|72|65.6|50|61
1040|2|2012|8|4|50|19|77.2|72.3|145|177
1040|2|2012|8|5|52|13|81.3|84.8|1239|1377
1040|2|2012|9|1|58|8|90.9|85.7|11|14
1040|2|2012|9|2|77|4|91.3|89.2|69|83
1040|2|2012|9|3|54|20|69.6|68.9|56|74
1040|2|2012|9|4|54.5|15.5|72|72.5|100|142
1040|2|2012|9|5|55|5|89|88.7|1262|1493
2690|1|2010|10|1|62|87|22.2|20|9|16
2690|1|2010|10|2|71.5|95|25|25|4|4
2690|1|2010|10|3|45|99|6.9|5|29|42
2690|1|2010|10|4|32|99|11.3|10.2|565|665
2690|1|2010|10|5|45|89|29.5|27.5|403|480
2690|1|2010|4|1|49|44|57.1|70|7|10
2690|1|2010|4|2|53|30|75|100|8|10
2690|1|2010|4|3|56|49|66.7|81.2|27|33
2690|1|2010|4|4|38|46|43.5|72.7|696|762
2690|1|2010|4|5|46|40|54.5|82.5|389|434
2690|1|2010|5|1|43|44.5|45|77.3|20|22
2690|1|2010|5|2|76|25|100|62.5|5|8
2690|1|2010|5|3|32|55|40|48.3|25|29
2690|1|2010|5|4|35.5|49|34.9|64.1|704|757
2690|1|2010|5|5|42|40|53|78.6|421|467
2690|1|2010|6|1|20|68|11.1|30.8|9|13
2690|1|2010|6|2|21|34|20|60|5|5
2690|1|2010|6|3|17|64|12.2|32.6|41|46
2690|1|2010|6|4|23|61|16.8|40.8|656|739
2690|1|2010|6|5|27|53|24.8|55.4|379|437
2690|1|2010|7|1|36|71.5|16.7|23.1|12|13
2690|1|2010|7|2|11.5|80|0|42.9|2|7
2690|1|2010|7|3|36|74|9.7|29.3|31|41
2690|1|2010|7|4|29|72|13|31.7|655|772
2690|1|2010|7|5|31|66|15.8|44.2|336|404
2690|1|2010|8|1|40.5|87|14.3|10|14|20
2690|1|2010|8|2|64.5|55.5|62.5|77.8|8|9
2690|1|2010|8|3|44|82|10.3|28.6|29|35
2690|1|2010|8|4|32|89.5|10.6|23|743|817
2690|1|2010|8|5|37|75|18.5|36.8|383|445
2690|1|2010|9|1|41|99|5.3|20.8|19|24
2690|1|2010|9|2|44.5|78|16.7|42.9|6|14
2690|1|2010|9|3|23.5|98|0|9.4|24|32
2690|1|2010|9|4|32|99|8.4|11.9|670|889
2690|1|2010|9|5|41|92|17.1|24.8|392|559
2690|1|2011|10|1|35|99|5.9|4.2|17|24
2690|1|2011|10|2|60.5|75.5|50|40|12|15
2690|1|2011|10|3|19|99|16|10.8|25|37
2690|1|2011|10|4|39|99|10.1|8.9|595|747
2690|1|2011|10|5|46|99|21.2|20.1|410|497
2690|1|2011|4|1|40|36|45.5|66.7|11|15
2690|1|2011|4|2|45|63|57.1|85.7|7|7
2690|1|2011|4|3|51.5|60|41.7|60|36|40
2690|1|2011|4|4|47.5|60|39.6|66.7|728|798
2690|1|2011|4|5|50|54|50.1|79.3|367|411
2690|1|2011|5|1|68|51|57.1|77.8|7|9
2690|1|2011|5|2|45|29|45.5|91.7|11|12
2690|1|2011|5|3|33.5|62.5|26.7|63.9|30|36
2690|1|2011|5|4|31|63|24.2|52.7|716|771
2690|1|2011|5|5|43|56|37.7|69.5|385|430
2690|1|2011|6|1|26|61.5|16.7|47.6|18|21
2690|1|2011|6|2|28.5|90|0|40|4|5
2690|1|2011|6|3|36|79|20|27.3|25|33
2690|1|2011|6|4|30|68|18.2|43.5|692|749
2690|1|2011|6|5|28|57|25.8|58.1|384|430
2690|1|2011|7|1|39|87|33.3|33.3|9|12
2690|1|2011|7|2|65|65.5|50|42.9|4|7
2690|1|2011|7|3|51.5|87.5|19.4|21.6|36|37
2690|1|2011|7|4|39|84|15.7|22.9|650|717
2690|1|2011|7|5|46|78|24.8|38.2|375|413
2690|1|2011|8|1|24|95|0|5.6|11|18
2690|1|2011|8|2|38.5|75.5|25|50|4|6
2690|1|2011|8|3|40|89|11.1|19.5|36|42
2690|1|2011|8|4|36|91|11.4|20.8|676|749
2690|1|2011|8|5|35.5|76|19.2|36.4|338|378
2690|1|2011|9|1|27|97|12.5|23.8|16|25
2690|1|2011|9|2|69|51|55.6|38.5|9|13
2690|1|2011|9|3|30|92|11.1|17.1|27|43
