DISTRICT_NUMBER|SCHOOL_NUMBER|EMH_LEVEL|TEACHER_USID|CONTENT_AREA|YEAR|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|1010|M|101008102|1|2011|51|78|45.2|48.5|31|33
470|1010|M|101008101|1|2011|63|87|35.9|39|39|42
470|1010|M|101008101|1|2012|59|88|29|41.2|31|34
470|1010|M|101007206|2|2012|35|43.5|32.1|42.4|28|33
470|1010|M|101007202|2|2012|55|31|43.8|54.3|32|35
470|1010|M|101008102|1|2012|48|71|36.4|48.6|33|37
470|1010|M|101007204|2|2012|47|39.5|54.3|58|46|50
470|1010|M|101007203|2|2012|44.5|51|44.1|44.4|34|36
470|1010|M|101008103|1|2012|46|72|23.5|35.1|34|37
470|1010|M|101007205|2|2012|34|34|44.2|47.7|43|44
470|1010|M|101007201|2|2012|43|56|48.6|56.4|35|39
470|1010|M|101008104|1|2012|35|68.5|15.4|48.4|26|31
470|1010|M|101007103|1|2012|34|68|24.3|50|37|40
470|1010|M|101006205|2|2012|43|54.5|53.8|58.6|26|29
470|1010|M|101008105|1|2012|53|65|32.1|58.1|28|31
470|1010|M|101007104|1|2012|43|74|28|51.9|25|27
470|1010|M|101006206|2|2012|37.5|51.5|53.3|50|30|38
470|1010|M|101008106|1|2012|33.5|75|23.7|44.4|38|45
470|1010|M|101007105|1|2012|33.5|68|23.1|50|26|28
470|1010|M|101007101|1|2012|26|78|12.5|32.6|40|43
470|1010|M|101007106|1|2012|38|77|10.8|29.3|37|41
470|1010|M|101008201|2|2012|55|25|75.7|63.4|37|41
470|1010|M|101007102|1|2012|41.5|70.5|28.6|40.9|42|44
470|1010|M|101006101|1|2012|47|67|24|45.2|25|31
470|1010|M|101008202|2|2012|57.5|28|70|61.8|30|34
470|1010|M|101006106|1|2012|49|69|29.3|40.9|41|44
470|1010|M|101006102|1|2012|47|67|25.7|40|35|40
470|1010|M|101008203|2|2012|59|32|60.6|53.8|33|39
470|1010|M|101006201|2|2012|44.5|49.5|47.9|51|48|51
470|1010|M|101006103|1|2012|47|66|27.9|47.8|43|46
470|1010|M|101008204|2|2012|50.5|39.5|57.9|53.5|38|43
470|1010|M|101006202|2|2012|40|41|53.5|59.1|43|44
470|1010|M|101006104|1|2012|49.5|68|39.5|50|38|42
470|1010|M|101008205|2|2012|46|42|58.6|61.3|29|31
470|1010|M|101006203|2|2012|62|58|58.1|52.2|43|46
470|1010|M|101006105|1|2012|43.5|75|28.9|45.2|38|42
470|1010|M|101008206|2|2012|51.5|24.5|55.3|54.8|38|42
470|1010|M|101006204|2|2012|65|56|57.1|50|35|36
1040|1053|E|105304001|1|2010|68|33|66.7|100|9|14
1040|1053|E|105304005|2|2010|57|33|100|100|9|10
1040|1053|E|105304008|1|2010|34.5|36.5|33.3|100|6|7
1040|1053|E|105304001|2|2010|80|37|88.9|100|9|11
1040|1053|E|105304006|1|2010|70.5|37.5|70|100|10|12
1040|1053|E|105304008|2|2010|55|28|58.3|80|12|15
1040|1053|E|105304002|1|2010|70.5|32|85.7|92.9|14|14
1040|1053|E|105304006|2|2010|60|28|72.7|84.6|11|13
1040|1053|E|105304004|2|2010|66.5|37.5|80|90.9|10|11
1040|1053|E|105304002|2|2010|64|31|100|100|9|12
1040|1053|E|105305001|1|2010|23|23|60|100|5|7
1040|1053|E|105304005|1|2010|78|31|85.7|87.5|7|8
1040|1053|E|105304003|1|2010|77.5|41.5|78.6|100|14|15
1040|1053|E|105305001|2|2010|58|25|73.3|88.2|15|17
1040|1053|E|105305006|1|2010|44.5|39.5|50|80|10|10
1040|1053|E|105304003|2|2010|48|30|71.4|90|7|10
1040|1053|E|105305002|1|2010|52|30|61.5|100|13|13
1040|1053|E|105305006|2|2010|46|32|66.7|73.3|15|15
1040|1053|E|105304004|1|2010|51|35|76.9|92.3|13|13
1040|1053|E|105305002|2|2010|49|21|66.7|93.3|15|15
1040|1053|E|105305007|1|2010|50|33.5|66.7|94.7|18|19
1040|1053|E|105305005|1|2010|47|38|44.4|77.8|9|9
1040|1053|E|105305003|1|2010|50.5|34.5|64.3|85.7|14|14
1040|1053|E|105304007|1|2010|78|35|87.5|90|8|10
1040|1053|E|105305005|2|2010|33|21|53.8|84.6|13|13
1040|1053|E|105305003|2|2010|59.5|35.5|83.3|71.4|6|7
1040|1053|E|105304007|2|2010|72|35|86.7|87.5|15|16
1040|1053|E|105305004|2|2010|60.5|25|83.3|85.7|6|7
1040|1053|E|105305004|1|2010|41|40|57.1|86.7|14|15
1040|1053|E|105305008|2|2010|40|25|85.7|100|7|7
1040|1053|E|105305009|2|2010|41|42|45.5|71.4|11|14
1040|1053|E|105305009|1|2010|38|23|50|100|6|6
1040|1053|E|105305008|1|2010|36.5|52|37.5|70|8|10
1040|1053|E|105305007|2|2010|39.5|28|41.7|58.3|12|12
1040|1053|E|105304001|2|2011|51|23|100|100|5|6
1040|1053|E|105304002|1|2011|89|44|88.9|90|9|10
1040|1053|E|105304009|1|2011|72|48|77.8|90.9|9|11
1040|1053|E|105305001|1|2011|38|39|71.4|100|7|10
1040|1053|E|105305005|2|2011|11|23|30.8|100|13|16
1040|1053|E|105304001|1|2011|78|55|77.8|90|9|10
1040|1053|E|105305001|2|2011|49|13|66.7|87.5|6|8
1040|1053|E|105305006|1|2011|33|41.5|50|91.7|10|12
1040|1053|E|105305004|1|2011|38|38|55.6|90|9|10
1040|1053|E|105305002|1|2011|49|38|81.8|92.3|11|13
1040|1053|E|105305006|2|2011|42|16|69.2|92.3|13|13
1040|1053|E|105305004|2|2011|50|35.5|50|77.8|8|9
1040|1053|E|105305002|2|2011|47|33|70|84.6|10|13
1040|1053|E|105305007|1|2011|44|40.5|50|92.3|12|13
1040|1053|E|105305005|1|2011|38|32|63.6|81.8|11|11
1040|1053|E|105305003|1|2011|54.5|45|60|91.7|10|12
1040|1053|E|105304002|2|2011|74|24|85.7|90|7|10
1040|1053|E|105304007|1|2011|64.5|51|75|88.9|8|9
1040|1053|E|105305003|2|2011|36|30|77.8|88.9|9|9
1040|1053|E|105304003|1|2011|53|50|54.5|83.3|11|12
1040|1053|E|105304007|2|2011|57|28|85.7|100|7|9
1040|1053|E|105304005|2|2011|53|31|80|83.3|5|6
1040|1053|E|105304003|2|2011|56|28|76.9|92.3|13|13
1040|1053|E|105304008|1|2011|79|52|76.9|86.7|13|15
1040|1053|E|105304006|1|2011|80|50|80|100|10|13
1040|1053|E|105304004|1|2011|81|51|77.8|80|9|10
1040|1053|E|105304008|2|2011|59.5|31.5|85.7|85.7|14|14
1040|1053|E|105304006|2|2011|53.5|25.5|83.3|100|6|6
1040|1053|E|105304004|2|2011|72|25|100|100|12|12
1040|1053|E|105304009|2|2011|80.5|33|83.3|87.5|12|16
1040|1053|E|105305007|2|2011|29|29.5|80|80|5|6
1040|1053|E|105304005|1|2011|70|43|71.4|87.5|7|8
1040|1053|E|105305008|2|2011|29|19.5|57.1|94.1|14|17
1040|1053|E|105305008|1|2011|54.5|39|70|100|10|11
1040|1053|E|105305009|2|2011|22|29|33.3|90.9|9|11
1040|1053|E|105305009|1|2011|48|46|63.6|91.7|11|12
1040|1053|E|105304005|1|2012|77|45|66.7|87.5|6|8
1040|1053|E|105304001|2|2012|53|23|88.9|100|9|10
1040|1053|E|105304001|1|2012|59|30|66.7|92.3|12|13
1040|1053|E|105304005|2|2012|54.5|20|80|90.9|10|11
1040|1053|E|105304002|1|2012|63|25|88.9|100|9|10
1040|1053|E|105304006|2|2012|55|43.5|50|75|2|4
1040|1053|E|105304006|1|2012|54|35|70|84.6|10|13
1040|1053|E|105304002|2|2012|73.5|37.5|75|66.7|8|9
1040|1053|E|105304007|1|2012|77|42.5|87.5|100|8|10
1040|1053|E|105305005|2|2012|54.5|17|81.2|94.7|16|19
1040|1053|E|105304003|1|2012|58|33|80|100|10|12
1040|1053|E|105304007|2|2012|57|21.5|71.4|82.4|14|17
1040|1053|E|105305006|1|2012|56|28.5|70|69.2|10|13
1040|1053|E|105304003|2|2012|62|21|90|91.7|10|12
1040|1053|E|105304008|1|2012|84|34|81.8|100|11|11
1040|1053|E|105305006|2|2012|50|11|90|90.9|10|11
1040|1053|E|105304004|1|2012|66|27|70|85.7|10|14
1040|1053|E|105304008|2|2012|76|28|100|100|5|7
1040|1053|E|105305007|1|2012|33|27|55.6|80|9|10
1040|1053|E|105304004|2|2012|79|30|100|100|7|8
1040|1053|E|105305003|1|2012|53|34.5|87.5|100|8|8
1040|1053|E|105305007|2|2012|43.5|15|70|90.9|10|11
1040|1053|E|105305001|1|2012|45.5|39|62.5|80|8|10
1040|1053|E|105305003|2|2012|77|27|80|66.7|5|6
1040|1053|E|105305008|1|2012|59|34|72.7|78.6|11|14
1040|1053|E|105305001|2|2012|36|12|90|100|10|13
1040|1053|E|105305004|1|2012|60.5|25|100|100|10|11
1040|1053|E|105305008|2|2012|42.5|11.5|87.5|88.9|8|9
1040|1053|E|105305002|1|2012|36.5|28|60|66.7|10|12
1040|1053|E|105305004|2|2012|66|18|77.8|70|9|10
1040|1053|E|105305009|1|2012|23|26.5|40|80|10|10
1040|1053|E|105305002|2|2012|66|19|88.9|100|9|9
1040|1053|E|105305005|1|2012|36|30|77.8|88.9|9|9
1040|1053|E|105305009|2|2012|34|15|71.4|100|7|10
2690|1077|E|107704001|1|2010|37.5|45.5|50|88.9|8|9
2690|1077|E|107704005|2|2010|29|47|66.7|63.6|9|11
2690|1077|E|107705007|2|2010|35|34|50|81.8|10|11
2690|1077|E|107704001|2|2010|46|36|61.5|69.2|13|13
2690|1077|E|107705001|1|2010|29.5|32.5|35.7|71.4|14|14
2690|1077|E|107704004|1|2010|46|39.5|60|100|10|10
2690|1077|E|107704002|1|2010|38|37|57.1|100|7|8
2690|1077|E|107705001|2|2010|35.5|29|56.2|75|16|16
2690|1077|E|107704004|2|2010|38.5|45.5|50|50|10|10
2690|1077|E|107704002|2|2010|38.5|33.5|62.5|77.8|8|9
2690|1077|E|107705002|1|2010|42|32|45.5|81.8|11|11
2690|1077|E|107704005|1|2010|50|34.5|62.5|88.9|8|9
2690|1077|E|107704003|1|2010|28|37|54.5|90.9|11|11
2690|1077|E|107705002|2|2010|34|33|62.5|66.7|8|9
2690|1077|E|107705007|1|2010|25|30.5|25|77.8|8|9
2690|1077|E|107704003|2|2010|34|26|66.7|81.8|9|11
2690|1077|E|107705003|1|2010|50|35|54.5|91.7|11|12
2690|1077|E|107704006|1|2010|30.5|37.5|33.3|86.7|12|15
2690|1077|E|107705005|2|2010|49.5|31|83.3|75|12|12
2690|1077|E|107705003|2|2010|61.5|24.5|60|80|10|10
2690|1077|E|107704006|2|2010|36|19|66.7|100|9|9
2690|1077|E|107705006|1|2010|29|44|54.5|75|11|12
2690|1077|E|107705004|1|2010|34|46|40|80|5|5
2690|1077|E|107705008|1|2010|28|56|30.8|50|13|14
2690|1077|E|107705006|2|2010|40.5|20.5|80|80|10|10
2690|1077|E|107705004|2|2010|33|22|70|90.9|10|11
2690|1077|E|107705005|1|2010|24|35|40|81.2|15|16
2690|1077|E|107705008|2|2010|42|33|50|63.6|10|11
2690|1077|E|107705004|2|2011|47|30|77.8|77.8|9|9
2690|1077|E|107705004|1|2011|15|67|27.3|36.4|11|11
2690|1077|E|107705003|1|2011|36|58|44.4|80|9|10
2690|1077|E|107704001|1|2011|28.5|48.5|30|100|10|10
2690|1077|E|107705005|2|2011|44|28.5|70|90|10|10
2690|1077|E|107705005|1|2011|41.5|61.5|25|85.7|12|14
2690|1077|E|107705001|2|2011|47|16|72.7|93.8|11|16
2690|1077|E|107705006|1|2011|28|53|36.4|78.6|11|14
2690|1077|E|107704007|1|2011|40|51|57.1|77.8|7|9
2690|1077|E|107705002|1|2011|36|60|50|75|16|16
2690|1077|E|107704007|2|2011|53|25|50|100|4|6
2690|1077|E|107704005|1|2011|55|57|45.5|83.3|11|12
2690|1077|E|107705002|2|2011|36|39|62.5|64.7|16|17
2690|1077|E|107704008|1|2011|25.5|40|40|91.7|10|12
2690|1077|E|107704008|2|2011|23|42|33.3|70|9|10
2690|1077|E|107704003|2|2011|30|32|63.6|91.7|11|12
2690|1077|E|107705001|1|2011|50.5|59.5|50|66.7|8|9
2690|1077|E|107704006|1|2011|64|48.5|71.4|93.8|14|16
2690|1077|E|107705003|2|2011|41|27|70.6|88.2|17|17
2690|1077|E|107704002|1|2011|40|56.5|25|90|8|10
2690|1077|E|107704006|2|2011|21|29|44.4|83.3|9|12
2690|1077|E|107704004|2|2011|23|32|54.5|75|11|12
2690|1077|E|107704002|2|2011|50|33|62.5|81.8|8|11
2690|1077|E|107704005|2|2011|41|23.5|60|100|10|12
2690|1077|E|107705006|2|2011|36|32|60|100|5|5
2690|1077|E|107704003|1|2011|54|43|28.6|100|7|8
2690|1077|E|107704001|2|2011|20.5|30|20|100|10|10
2690|1077|E|107704004|1|2011|52|48.5|40|66.7|10|12
2690|1077|E|107704008|2|2012|19.5|21.5|25|100|8|8
2690|1077|E|107704003|2|2012|39.5|25|68.8|93.8|16|16
2690|1077|E|107704008|1|2012|63.5|37|83.3|91.7|12|12
2690|1077|E|107704002|2|2012|32.5|25.5|57.1|85.7|14|14
2690|1077|E|107704004|1|2012|67.5|56|91.7|91.7|12|12
2690|1077|E|107704002|1|2012|71|34|83.3|100|12|12
2690|1077|E|107705001|2|2012|33|41|61.5|69.2|13|13
2690|1077|E|107704004|2|2012|38.5|26|33.3|75|6|8
2690|1077|E|107705004|1|2012|37|35|36.4|66.7|11|12
2690|1077|E|107704007|2|2012|32.5|36.5|62.5|60|16|20
2690|1077|E|107704005|1|2012|87|40|100|87.5|7|8
2690|1077|E|107704003|1|2012|68|47.5|75|73.3|12|15
2690|1077|E|107705002|2|2012|20.5|32.5|40|70|10|10
2690|1077|E|107704005|2|2012|26.5|31.5|30|70|10|10
2690|1077|E|107705005|1|2012|15.5|33.5|37.5|66.7|8|9
2690|1077|E|107704001|2|2012|43|23|80|80|15|15
2690|1077|E|107704006|1|2012|53|31.5|80|100|10|11
2690|1077|E|107705005|2|2012|17.5|37|25|60|4|5
2690|1077|E|107705003|2|2012|28|27|61.5|64.3|13|14
2690|1077|E|107704006|2|2012|24|19|60|100|5|5
2690|1077|E|107705006|1|2012|34|30|40|63.6|10|11
2690|1077|E|107704007|1|2012|68|42.5|83.3|83.3|12|12
2690|1077|E|107705002|1|2012|32|46|33.3|60|9|10
2690|1077|E|107705006|2|2012|50.5|30.5|75|75|4|4
2690|1077|E|107705004|2|2012|34|27|46.2|92.3|13|13
2690|1077|E|107705007|1|2012|37|37|40|54.5|10|11
2690|1077|E|107704001|1|2012|80.5|31.5|92.9|93.3|14|15
2690|1077|E|107705007|2|2012|35|23|66.7|100|12|13
2690|1077|E|107705003|1|2012|42|35|50|71.4|14|14
2690|1077|E|107705008|1|2012|43.5|33|37.5|62.5|8|8
2690|1077|E|107705001|1|2012|35|34|46.2|64.3|13|14
2690|1077|E|107705008|2|2012|20|22|53.8|100|13|14
470|1171|H|117109101|1|2010|68|85.5|26.5|36.6|34|41
470|1171|H|117110202|2|2010|36.5|10|68.8|72.5|32|40
470|1171|H|117109103|1|2010|59.5|83|21.4|31.4|28|35
470|1171|H|117109102|1|2010|53.5|81|40.9|44.8|22|29
470|1171|H|117109201|2|2010|33|21|64.5|67.5|31|40
470|1171|H|117110203|2|2010|37|4|78.8|77.8|33|36
470|1171|H|117109203|2|2010|59|11|76.9|77.8|26|37
470|1171|H|117109202|2|2010|62|18|91.3|87.1|23|31
470|1171|H|117110101|1|2010|35|83|24.3|29.2|37|48
470|1171|H|117109104|1|2010|55|84|17.4|32.3|23|32
470|1171|H|117110103|1|2010|42|96|26.7|27|30|38
470|1171|H|117110201|2|2010|38|12.5|65.4|62.5|26|32
470|1171|H|117109105|1|2010|53.5|89|23.1|32.4|26|37
470|1171|H|117109204|2|2010|48|30|54.5|57.1|22|28
470|1171|H|117110106|1|2010|37.5|98|20.6|20.5|34|39
470|1171|H|117109205|2|2010|32.5|21|53.6|57.1|28|42
470|1171|H|117110104|1|2010|44.5|92|25|24.2|24|34
470|1171|H|117110206|2|2010|44|11|78.8|75.6|33|41
470|1171|H|117110105|1|2010|54|91|24.2|23.7|33|38
470|1171|H|117110204|2|2010|50|9|71.4|71.1|28|38
470|1171|H|117110102|1|2010|44.5|96|27.3|24.1|22|29
470|1171|H|117110205|2|2010|54|9|81.5|80|27|36
470|1171|H|117109106|1|2011|57|74|35.3|53.8|34|39
470|1171|H|117109201|2|2011|60|28.5|75|75|36|44
470|1171|H|117110101|1|2011|44|96|21.2|18.9|33|37
470|1171|H|117110103|1|2011|50|93|23.1|23.3|39|43
470|1171|H|117109105|1|2011|74|84|32.3|38.5|31|39
470|1171|H|117109206|2|2011|60|14.5|76.9|84.4|26|32
470|1171|H|117110203|2|2011|51|29|75.8|72.2|33|36
470|1171|H|117110102|1|2011|65|71|48.5|40|33|40
470|1171|H|117109102|1|2011|63.5|75.5|50|48.4|24|31
470|1171|H|117110104|1|2011|43|99|19.6|18.4|46|49
470|1171|H|117109104|1|2011|68.5|77.5|42.3|47.2|26|37
470|1171|H|117110202|2|2011|47|6|71.4|70.7|35|41
470|1171|H|117109202|2|2011|62|28|75.8|82.5|33|40
470|1171|H|117110204|2|2011|50.5|7|78.1|80|32|35
470|1171|H|117109101|1|2011|68|79|38.7|47.2|31|36
470|1171|H|117109103|1|2011|62.5|77|33.3|52.6|30|38
470|1171|H|117110205|2|2011|51|10|78.9|72.7|38|44
470|1171|H|117110201|2|2011|51|9|71|74.3|31|35
470|1171|H|117109204|2|2011|66|24.5|85|78.8|20|34
470|1171|H|117109203|2|2011|50|17.5|76.9|77.4|26|31
470|1171|H|117109205|2|2011|55|9.5|76.5|84.6|34|40
470|1171|H|117110105|1|2011|37|92|32|28.1|25|32
470|1171|H|117109101|1|2012|43|74|44.4|46.7|27|30
470|1171|H|117109102|1|2012|38|79|32.3|41.5|31|41
470|1171|H|117109204|2|2012|55|7|84.2|88.9|38|45
470|1171|H|117109106|1|2012|52|57|51.9|54.3|27|35
470|1171|H|117109202|2|2012|55|12|75|77.8|36|45
470|1171|H|117109201|2|2012|56|6|84.6|80.6|26|31
470|1171|H|117109206|2|2012|56.5|8.5|72.7|81.5|22|27
470|1171|H|117109203|2|2012|35.5|13.5|67.9|76.3|28|38
470|1171|H|117110102|1|2012|41|65|38.5|37.2|39|43
470|1171|H|117110101|1|2012|44.5|72|36.1|32.5|36|40
470|1171|H|117109105|1|2012|57|35|55.3|61.7|38|47
470|1171|H|117110103|1|2012|41|95|32.3|29.4|31|34
470|1171|H|117110202|2|2012|36|5|70.7|71.7|41|46
470|1171|H|117109205|2|2012|46|15|82.9|79.5|35|44
470|1171|H|117110104|1|2012|43|79|44.8|45.5|29|33
470|1171|H|117110203|2|2012|34|6|75.8|75.7|33|37
470|1171|H|117109103|1|2012|58|77|47.5|54.3|40|46
470|1171|H|117110105|1|2012|26.5|85.5|25|24.3|32|37
470|1171|H|117110204|2|2012|44.5|5.5|81.2|80.6|32|36
470|1171|H|117110106|1|2012|34|84|37.5|39.1|40|46
470|1171|H|117109104|1|2012|32|63|45.2|45|31|40
470|1171|H|117110205|2|2012|29|5|85.4|84.4|41|45
470|1171|H|117110201|2|2012|41|3|78|75.5|41|49
470|1171|H|117110206|2|2012|38|4|90.9|86.8|33|38
470|1310|M|131006101|1|2010|58|65|47.5|57.1|40|42
470|1310|M|131008206|2|2010|58|46|72|60.7|25|28
470|1310|M|131006106|1|2010|47|63|43.2|59.5|37|37
470|1310|M|131006102|1|2010|41|60|45.7|56.4|35|39
470|1310|M|131007101|1|2010|69.5|74.5|44.7|47.5|38|40
470|1310|M|131006107|1|2010|39.5|66|40.9|55.3|44|47
470|1310|M|131006103|1|2010|59|56|54.3|63.3|46|49
470|1310|M|131007102|1|2010|57|75|36.4|45.7|33|35
470|1310|M|131008106|1|2010|43.5|74|23.3|33.3|30|32
470|1310|M|131006104|1|2010|68|60|55.9|67.6|34|34
470|1310|M|131007103|1|2010|56|73|30.8|40.5|39|42
470|1310|M|131006206|2|2010|58|33|71.4|70|49|50
470|1310|M|131006105|1|2010|59.5|57|56.5|68|46|50
470|1310|M|131007104|1|2010|51|70|40.5|48.9|42|45
470|1310|M|131006207|2|2010|48.5|33|60.5|65|38|40
470|1310|M|131006203|2|2010|48|34|55.1|68.6|49|51
470|1310|M|131007105|1|2010|67|69|41.7|57.7|24|26
470|1310|M|131007207|2|2010|55.5|40|61.4|61.4|44|44
470|1310|M|131006204|2|2010|51|32|66|83|47|47
470|1310|M|131007106|1|2010|45|70|31|48.5|29|33
470|1310|M|131008101|1|2010|40|85.5|10|22.6|30|31
470|1310|M|131006205|2|2010|38|43|40.7|61.3|27|31
470|1310|M|131006201|2|2010|47|33|77.4|71.4|31|35
470|1310|M|131008102|1|2010|42|82|23.1|35|39|40
470|1310|M|131007206|2|2010|56|29|62.8|66|43|47
470|1310|M|131006202|2|2010|48|20|65.7|81.1|35|37
470|1310|M|131008201|2|2010|44|19|71.4|70.3|35|37
470|1310|M|131008204|2|2010|56|26|77.1|73|35|37
470|1310|M|131008203|2|2010|44|28|61.5|58.1|39|43
470|1310|M|131008202|2|2010|44.5|31|63.6|60.9|44|46
470|1310|M|131008205|2|2010|48|22|60|79.3|25|29
470|1310|M|131008103|1|2010|36|69|29.4|50|34|36
470|1310|M|131007107|1|2010|57|71|40.8|52.9|49|51
470|1310|M|131008105|1|2010|40|69|24.2|45.9|33|37
470|1310|M|131008104|1|2010|55|80|19.4|41.2|31|34
470|1310|M|131007205|2|2010|52|35|65.5|64.5|29|31
470|1310|M|131007204|2|2010|58|47.5|62.5|57.1|40|42
470|1310|M|131007203|2|2010|46|30|69.4|71.1|36|38
470|1310|M|131007202|2|2010|69|43|68.6|63.4|35|41
470|1310|M|131007201|2|2010|65.5|45|68.8|63.6|32|33
470|1310|M|131007106|1|2011|57.5|68|38.1|51.2|42|43
470|1310|M|131008107|1|2011|57|83|35.9|40|39|40
470|1310|M|131007105|1|2011|72|67|50|55|34|40
470|1310|M|131007104|1|2011|55.5|77.5|42.9|47.7|42|44
470|1310|M|131007103|1|2011|47.5|84.5|26.7|27|30|37
470|1310|M|131008206|2|2011|44|26.5|47.4|56.4|38|39
470|1310|M|131007102|1|2011|79|70|51.2|60|43|45
470|1310|M|131007101|1|2011|63.5|75|44.7|50|38|40
470|1310|M|131008201|2|2011|47.5|36.5|52.9|55.9|34|34
470|1310|M|131006201|2|2011|61|26|77.4|85.3|31|34
470|1310|M|131008203|2|2011|49|28|68.3|71.4|41|42
