DISTRICT_NUMBER|CONTENT_AREA|YEAR|GRADE|MEDIAN_SGP|MEDIAN_SGP_TARGET|PERCENT_AT_ABOVE_TARGET|PERCENT_AT_ABOVE_PROFICIENT|MEDIAN_SGP_COUNT|PERCENT_AT_ABOVE_PROFICIENT_COUNT
470|2|2012|8|50|19|71|71.2|1572|1736
470|2|2012|9|50|11|73.7|73.2|1527|1737
1040|1|2010|10|61|73|44.9|44.1|1502|1680
1040|1|2010|4|57|38|66|85.9|1321|1537
1040|1|2010|5|53|39|61.9|83|1319|1538
1040|1|2010|6|56|46|61.2|77.9|1401|1622
1040|1|2010|7|55|56|49.6|71.9|1385|1635
1040|1|2010|8|50|57|44.8|66.7|1404|1595
1040|1|2010|9|57|63|45.2|55.6|1486|1737
1040|1|2011|10|56|61|49.6|47.7|1563|1765
1040|1|2011|4|53|50|55.2|85.6|1305|1518
1040|1|2011|5|56|49|56.2|82|1366|1551
1040|1|2011|6|52|52|51.2|76.9|1356|1599
1040|1|2011|7|51|59|44.6|62.4|1451|1650
1040|1|2011|8|47|51|47|64.1|1480|1666
1040|1|2011|9|57|59|50.3|58.5|1437|1672
1040|1|2012|10|55|55|50.3|48.9|1480|1645
1040|1|2012|4|56|38|65.9|86.8|1343|1574
1040|1|2012|5|58|34|68.2|80.9|1362|1542
1040|1|2012|6|53|45|55.3|78|1398|1670
1040|1|2012|7|56|57|52.2|73.7|1438|1656
1040|1|2012|8|49|56|45.1|65.9|1514|1705
1040|1|2012|9|55|67|45|52.5|1503|1813
1040|2|2010|10|53|2|88.1|87.7|1498|1680
1040|2|2010|4|57|32|71.9|83.8|1314|1535
1040|2|2010|5|55|28|73.5|85.4|1314|1538
1040|2|2010|6|58|25|78.8|86.8|1404|1622
1040|2|2010|7|54|23|79.2|85.6|1379|1637
1040|2|2010|8|53|15|79.8|83.3|1399|1593
1040|2|2010|9|55|7|86.3|87.9|1478|1737
1040|2|2011|10|51|4|88.1|87|1557|1757
1040|2|2011|4|57|31|73.7|84.2|1292|1517
1040|2|2011|5|52|24|73.5|86|1362|1553
1040|2|2011|6|54|20|78.3|85.5|1348|1598
1040|2|2011|7|50|22|73.9|82.2|1447|1648
1040|2|2011|8|49|13|78.6|84.5|1476|1665
1040|2|2011|9|48|8|83.4|86.8|1425|1671
1040|2|2012|10|54|2|89.5|88.4|1470|1642
1040|2|2012|4|53|27|72.7|83.2|1338|1572
1040|2|2012|5|54|22|77.6|83.9|1359|1543
1040|2|2012|6|52|18|79.1|86.9|1394|1666
1040|2|2012|7|52|18|79.3|83.7|1433|1654
1040|2|2012|8|52|14|80.8|82.9|1510|1702
1040|2|2012|9|56|5|87.2|86.7|1498|1806
2690|1|2010|10|38|99|18.6|17|1010|1207
2690|1|2010|4|41|44|48.2|76.5|1127|1249
2690|1|2010|5|38|46|42|69.2|1175|1283
2690|1|2010|6|25|59|19.4|45.6|1090|1240
2690|1|2010|7|30|71|13.8|35.7|1036|1237
2690|1|2010|8|35|83|13.6|27.9|1177|1326
2690|1|2010|9|35|97|11.3|17.1|1111|1518
2690|1|2011|10|42|99|14.9|13.5|1059|1320
2690|1|2011|4|48|58|43.2|70.7|1149|1271
2690|1|2011|5|35|61|29.2|59.3|1149|1258
2690|1|2011|6|29|65|20.7|48.3|1123|1238
2690|1|2011|7|42|82|19.3|28.4|1074|1186
2690|1|2011|8|36|88|13.8|25.6|1065|1193
2690|1|2011|9|35|96|13.1|19.7|1152|1679
2690|1|2012|10|44|99|14.4|13.8|1137|1291
2690|1|2012|4|49|49|53.5|76.2|1227|1330
2690|1|2012|5|37|53|36.3|55.9|1139|1246
2690|1|2012|6|34|67|22.9|46.2|1060|1160
2690|1|2012|7|34|73|15.6|35.5|1105|1210
2690|1|2012|8|40|85|20|31.8|1036|1156
2690|1|2012|9|37|99|9.7|14.2|1068|1447
2690|2|2010|10|40|12|68.6|65.3|1004|1206
2690|2|2010|4|40|40|50.8|66.6|1125|1247
2690|2|2010|5|39|37|53.8|68.7|1173|1283
2690|2|2010|6|36|36|48.1|63.5|1086|1237
2690|2|2010|7|35|37|46.3|52.5|1037|1237
2690|2|2010|8|41|37|53.1|52.2|1173|1329
2690|2|2010|9|43|33|57.5|57.3|1108|1516
2690|2|2011|10|37|23|59.8|55.7|1063|1317
2690|2|2011|4|43|38|53.6|66.1|1156|1265
2690|2|2011|5|39|36|52.7|68.3|1147|1255
2690|2|2011|6|34|33|49.9|62.6|1121|1236
2690|2|2011|7|37|39|47.1|53.7|1068|1189
2690|2|2011|8|39|37|50.9|54.4|1056|1191
2690|2|2011|9|40|37|51.4|54.3|1155|1681
2690|2|2012|10|46|17|66.4|63|1136|1287
2690|2|2012|4|42|35|57.1|67.7|1218|1329
2690|2|2012|5|38|35|52.8|65.6|1151|1244
2690|2|2012|6|40|36|53.3|63.3|1057|1158
2690|2|2012|7|39|32|54.5|59|1105|1209
2690|2|2012|8|44|31|57.8|57.5|1030|1154
2690|2|2012|9|41|31|54.7|53.9|1052|1427
